Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
101,686643,A. Dalquist,Andrew Dalquist,Dalquist,Andrew,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,R,R,23.5,25,135,41,277.1,4948,1245,53.3%,93.3,94.7,20.6,5.66,20.2%,15.3%,58.8%,47.1%,18.6%,55.0%,54.6%,17.49%,46.70%,26.2%,24.8%,16.9%,22.3%,75.2%,15.7%,.333,.353,-0.32,-.000
101,699223,P. Aquino,Patricio Aquino,Aquino,Patricio,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Biloxi Shuckers,BLX,5015,Biloxi,AAX,MIL,R,R,21.2,22,87,38,277.1,4427,1189,18.2%,92.3,93.0,14.6,5.74,21.5%,8.6%,64.1%,47.2%,17.8%,62.2%,58.9%,20.60%,49.57%,27.9%,26.6%,19.1%,31.1%,73.4%,14.1%,.291,.316,37.18,.008
103,687547,R. Ramsey,Ryan Ramsey,Ramsey,Ryan,P,Omaha Storm Chasers,OMA,541,Omaha,aaa,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,L,23.8,25,69,45,277.0,4706,1195,49.3%,89.4,90.6,20.0,5.54,25.4%,10.0%,62.7%,47.5%,16.8%,59.7%,56.9%,21.14%,51.33%,28.9%,30.9%,25.3%,29.3%,69.1%,13.3%,.296,.308,33.56,.007
104,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Biloxi Shuckers,BLX,5015,Biloxi,AAX,MIL,R,R,18.8,20,62,50,275.2,3988,1112,16.5%,88.3,88.8,17.4,5.93,21.1%,4.4%,68.1%,53.6%,14.7%,68.3%,70.2%,17.70%,43.84%,28.9%,26.1%,19.4%,30.6%,73.9%,14.2%,.276,.296,43.36,.011
105,814098,S. Armstrong,Sam Armstrong,Armstrong,Sam,P,Wichita Wind Surge,WCH,3898,Wichita,aax,MIN,Wichita Wind Surge,WCH,3898,Wichita,AAX,MIN,R,R,24.1,25,67,49,275.1,4326,1156,26.1%,92.1,93.3,15.2,6.44,19.6%,8.0%,63.6%,51.0%,16.6%,62.8%,63.2%,18.67%,45.72%,27.2%,24.0%,17.5%,27.5%,76.0%,14.6%,.285,.291,39.63,.009
106,686799,J. Kochanowicz,Jack Kochanowicz,Kochanowicz,Jack,P,Los Angeles Angels,LAA,108,LA Angels,mlb,LAA,Salt Lake Bees,SL,561,Salt Lake,AAA,LAA,L,R,22.7,25,60,52,273.1,4148,1192,10.2%,94.0,96.8,14.4,6.13,18.8%,7.2%,66.2%,53.3%,15.5%,63.4%,64.4%,19.90%,45.91%,26.4%,22.7%,17.0%,27.8%,77.3%,13.0%,.304,.324,24.85,.006
107,691263,E. Vinicio,Esmerlin Vinicio,Vinicio,Esmerlin,P,Eugene Emeralds,EUG,461,Eugene,afa,SF,Eugene Emeralds,EUG,461,Eugene,AFA,SF,L,L,21.0,23,118,26,272.2,4663,1228,27.7%,90.8,92.4,16.9,5.23,23.5%,13.9%,58.6%,46.0%,19.2%,55.1%,54.9%,25.62%,55.47%,28.6%,27.2%,18.3%,23.4%,72.8%,12.5%,.314,.341,7.78,.002
107,801725,L. De León,Luis De León,De León,Luis,P,Chesapeake Baysox,CHE,418,Chesapeake,aax,BAL,Chesapeake Baysox,CHE,418,Chesapeake,AAX,BAL,L,L,21.1,23,75,56,272.2,4549,1200,14.8%,94.6,96.0,15.3,5.88,28.6%,11.9%,61.4%,46.4%,18.3%,58.7%,56.7%,29.34%,59.37%,31.4%,35.2%,25.4%,29.5%,64.8%,8.1%,.264,.282,63.64,.014
109,802087,F. Arias,Frankeli Arias,Arias,Frankeli,P,Winston-Salem Dash,WS,580,Winston-Salem,afa,CWS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,L,L,21.2,23,87,41,271.2,4375,1172,40.3%,89.2,90.9,21.5,5.80,22.2%,9.8%,63.8%,47.0%,16.1%,59.6%,61.5%,23.14%,48.67%,29.3%,28.3%,20.3%,29.4%,71.7%,13.7%,.293,.314,33.58,.008
110,695065,R. Costeiu,Ryan Costeiu,Costeiu,Ryan,P,Rocket City Trash Pandas,RCT,559,Rocket City,aax,LAA,Rocket City Trash Pandas,RCT,559,Rocket City,AAX,LAA,R,R,23.6,25,64,52,271.1,4537,1152,48.9%,92.6,93.5,21.9,5.69,25.9%,9.8%,63.4%,49.8%,14.8%,64.3%,61.9%,21.33%,54.12%,29.5%,29.9%,22.8%,27.2%,70.1%,17.8%,.278,.316,46.63,.010
110,680736,J. Wrobleski,Justin Wrobleski,Wrobleski,Justin,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,L,L,23.4,25,69,61,271.1,4380,1131,48.0%,94.6,96.1,18.3,5.02,25.3%,8.3%,65.4%,53.9%,14.0%,63.9%,62.6%,21.35%,53.04%,29.5%,26.7%,20.3%,27.5%,73.3%,15.3%,.289,.302,39.56,.009
112,806270,D. Perachi,Dominic Perachi,Perachi,Dominic,P,Altoona Curve,ALT,452,Altoona,aax,PIT,Altoona Curve,ALT,452,Altoona,AAX,PIT,L,L,23.3,25,64,51,271.0,4477,1151,51.3%,90.7,92.1,18.4,6.07,22.9%,10.1%,61.5%,48.1%,17.7%,57.6%,55.3%,21.34%,49.88%,27.9%,25.2%,15.4%,26.2%,74.8%,14.0%,.291,.297,34.06,.008
112,809109,R. Angelo,Roman Angelo,Angelo,Roman,P,Amarillo Sod Poodles,AMA,5368,Amarillo,aax,AZ,Amarillo Sod Poodles,AMA,5368,Amarillo,AAX,AZ,R,R,24.7,25,60,51,271.0,4616,1189,16.6%,94.0,94.6,14.9,6.12,25.0%,11.3%,61.1%,48.1%,19.7%,58.5%,59.8%,23.71%,56.98%,28.4%,30.3%,22.3%,25.0%,69.7%,18.1%,.305,.326,17.48,.004
114,690370,T. Schlaffer,Tyler Schlaffer,Schlaffer,Tyler,P,Knoxville Smokies,KNX,553,Knoxville,aax,CHC,Knoxville Smokies,KNX,553,Knoxville,AAX,CHC,R,R,22.9,24,64,58,270.0,4404,1146,47.8%,92.6,93.8,16.2,6.12,23.1%,10.8%,60.8%,49.7%,17.4%,61.3%,58.3%,22.20%,51.56%,27.7%,26.4%,19.0%,23.4%,73.6%,14.8%,.287,.307,32.77,.007
114,800213,H. Chang,Hung-Leng Chang,Chang,Hung-Leng,P,Greensboro Grasshoppers,GBO,477,Greensboro,afa,PIT,Greensboro Grasshoppers,GBO,477,Greensboro,AFA,PIT,R,R,22.8,24,71,54,270.0,4227,1179,24.8%,92.1,93.5,16.4,6.33,20.7%,8.3%,64.6%,50.0%,16.6%,61.8%,62.6%,20.20%,46.60%,26.8%,24.1%,17.6%,26.5%,75.9%,15.5%,.304,.334,34.99,.008
114,686470,R. Hawks,Ryan Hawks,Hawks,Ryan,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,R,R,24.0,25,57,55,270.0,4097,1145,0.1%,92.2,92.7,10.5,6.38,18.8%,6.8%,66.0%,53.7%,14.7%,63.1%,65.6%,17.88%,44.08%,27.0%,21.9%,15.4%,28.9%,78.1%,14.9%,.303,.325,27.63,.007
117,811307,J. Wenninger,Jack Wenninger,Wenninger,Jack,P,Syracuse Mets,SYR,552,Syracuse,aaa,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,L,R,22.9,24,57,50,269.2,4402,1144,26.4%,93.6,95.1,18.4,6.27,27.1%,8.3%,63.2%,48.3%,18.2%,63.5%,61.0%,23.86%,55.00%,31.2%,31.9%,20.5%,28.5%,68.1%,12.8%,.272,.290,46.25,.011
118,805060,Y. Rojas,Yenrri Rojas,Rojas,Yenrri,P,Knoxville Smokies,KNX,553,Knoxville,aax,CHC,Knoxville Smokies,KNX,553,Knoxville,AAX,CHC,R,R,20.5,22,67,50,268.1,4172,1147,22.3%,90.8,92.7,15.2,6.25,17.2%,9.1%,62.7%,50.2%,16.2%,58.8%,60.6%,17.99%,41.82%,24.6%,21.1%,15.7%,24.8%,78.9%,11.1%,.293,.310,30.74,.007
119,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Lake County Captains,LC,437,Lake County,AFA,CLE,L,L,19.4,21,70,51,268.0,4521,1170,44.8%,91.3,92.3,18.0,5.98,24.0%,13.1%,59.5%,44.1%,20.6%,57.7%,55.5%,23.70%,55.31%,29.8%,31.7%,21.3%,26.5%,68.3%,13.1%,.289,.309,36.29,.008
120,683681,J. Gonzalez,Jose Gonzalez,Gonzalez,Jose,P,Rocket City Trash Pandas,RCT,559,Rocket City,aax,LAA,Rocket City Trash Pandas,RCT,559,Rocket City,AAX,LAA,R,R,23.1,24,64,49,267.1,3920,1116,20.3%,92.0,93.5,16.2,6.59,27.0%,6.1%,66.4%,51.7%,17.3%,64.1%,65.2%,28.28%,60.61%,29.9%,29.8%,20.4%,31.0%,70.2%,14.4%,.272,.291,41.68,.011
121,685719,F. Sanchez,Fernando Sanchez,Sanchez,Fernando,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,L,L,23.7,25,105,27,266.0,4749,1182,18.2%,90.9,92.3,14.4,6.24,25.1%,10.2%,62.3%,49.5%,18.5%,57.9%,59.4%,20.79%,51.42%,29.0%,27.8%,20.0%,25.6%,72.2%,12.0%,.291,.315,36.16,.008
122,809814,F. Texido,Francis Texido,Texido,Francis,P,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,afx,LAA,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAA,L,L,19.6,21,71,55,265.2,4926,1220,21.8%,89.5,91.4,18.4,5.90,22.8%,15.4%,56.7%,46.0%,20.4%,53.5%,53.8%,22.43%,54.48%,27.6%,27.8%,21.0%,21.3%,72.2%,15.8%,.332,.339,-6.53,-.001
123,691315,Y. Sanchez,Yehizon Sanchez,Sanchez,Yehizon,P,Cedar Rapids Kernels,CR,492,Cedar Rapids,afa,MIN,Cedar Rapids Kernels,CR,492,Cedar Rapids,AFA,MIN,R,R,23.5,25,129,26,264.1,4417,1244,1.9%,93.9,95.3,12.7,5.43,19.0%,10.8%,61.0%,43.6%,22.2%,56.0%,57.3%,21.45%,49.23%,26.6%,25.1%,17.4%,29.2%,74.9%,12.3%,.333,.372,-11.00,-.002
124,696070,K. Rojas,Kendry Rojas,Rojas,Kendry,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,Fort Myers Mighty Mussels,FTM,509,Fort Myers,AFX,MIN,L,L,21.3,23,68,58,263.2,4369,1125,39.2%,93.5,94.9,19.3,6.59,26.1%,9.1%,64.0%,47.2%,18.1%,61.4%,62.1%,24.34%,51.37%,29.0%,31.2%,22.8%,30.5%,68.8%,15.6%,.272,.303,68.41,.016
125,699276,J. Olivares,Jose Olivares,Olivares,Jose,P,Wichita Wind Surge,WCH,3898,Wichita,aax,MIN,Wichita Wind Surge,WCH,3898,Wichita,AAX,MIN,R,R,21.2,23,69,58,263.0,4475,1141,45.1%,94.1,95.5,20.6,6.45,25.0%,12.2%,60.8%,46.1%,20.1%,59.7%,57.8%,21.36%,55.97%,29.1%,32.1%,23.6%,26.5%,67.9%,15.0%,.288,.305,46.76,.010
126,811229,U. Mejias,Ubert Mejias,Mejias,Ubert,P,San Jose Giants,SJ,476,San Jose,afx,SF,San Jose Giants,SJ,476,San Jose,AFX,SF,R,R,23.6,25,71,35,261.0,3947,1135,45.1%,90.3,91.5,19.2,6.18,17.9%,5.6%,68.1%,52.6%,13.3%,64.3%,65.6%,18.46%,40.87%,27.5%,23.8%,17.8%,30.8%,76.2%,15.1%,.296,.321,32.77,.008
127,808051,W. Paredes,Wilkin Paredes,Paredes,Wilkin,P,Visalia Rawhide,VIS,516,Visalia,afx,AZ,Visalia Rawhide,VIS,516,Visalia,AFX,AZ,L,L,21.1,22,55,51,260.2,4002,1145,22.4%,90.4,92.2,15.7,5.61,17.4%,6.9%,65.1%,50.5%,14.8%,61.7%,62.5%,19.48%,42.27%,26.0%,23.7%,16.8%,29.3%,76.3%,16.2%,.314,.331,11.83,.003
128,678868,E. Yean,Eddy Yean,Yean,Eddy,P,Rochester Red Wings,ROC,534,Rochester,aaa,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,R,R,22.7,24,191,5,260.1,4245,1160,20.6%,95.9,97.4,13.8,6.20,20.4%,10.7%,64.0%,51.7%,15.9%,60.1%,58.9%,19.67%,48.82%,27.6%,24.9%,18.8%,25.3%,75.1%,13.1%,.314,.330,20.46,.005
129,800320,L. Sequera,Leonel Sequera,Sequera,Leonel,P,Peoria Chiefs,PEO,443,Peoria,afa,STL,Peoria Chiefs,PEO,443,Peoria,AFA,STL,R,R,19.0,20,63,62,260.0,3950,1134,41.1%,92.3,94.1,16.8,6.63,21.6%,7.8%,64.0%,50.2%,19.7%,61.3%,61.0%,22.46%,55.09%,28.7%,25.7%,14.6%,27.0%,74.3%,11.7%,.272,.301,40.53,.010
130,805272,L. Young,Luke Young,Young,Luke,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Harrisburg Senators,HBG,547,Harrisburg,AAX,WSH,R,R,23.0,24,109,31,259.1,4175,1108,44.9%,92.2,93.7,20.5,5.66,21.5%,9.0%,62.1%,50.3%,16.2%,60.6%,57.1%,20.14%,50.63%,26.5%,24.5%,17.9%,25.8%,75.5%,17.0%,.304,.343,14.99,.004
131,700322,K. Key,Keythel Key,Key,Keythel,P,Tri-City Dust Devils,TRI,460,Tri-City,afa,LAA,Tri-City Dust Devils,TRI,460,Tri-City,AFA,LAA,R,R,21.1,22,75,44,259.0,4776,1209,50.0%,95.5,97.0,16.2,6.04,24.1%,14.4%,58.9%,46.8%,18.5%,56.1%,56.0%,21.48%,51.46%,28.6%,30.4%,23.4%,24.4%,69.6%,13.7%,.317,.352,16.30,.003
132,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Portland Sea Dogs,POR,546,Portland,AAX,BOS,R,R,19.9,22,61,45,258.1,3663,1048,5.3%,89.9,91.0,13.2,6.29,24.7%,3.8%,68.7%,48.2%,13.3%,65.8%,67.5%,20.86%,54.29%,30.0%,28.8%,18.3%,37.9%,71.2%,14.2%,.276,.282,36.16,.010
133,700167,B. Mena,Bryan Mena,Mena,Bryan,P,Greensboro Grasshoppers,GBO,477,Greensboro,afa,PIT,Greensboro Grasshoppers,GBO,477,Greensboro,AFA,PIT,R,R,20.2,21,67,44,258.0,4273,1175,39.1%,91.7,92.9,15.2,5.63,20.9%,10.3%,60.6%,45.2%,19.9%,57.4%,56.6%,21.23%,53.58%,26.6%,25.9%,18.4%,24.9%,74.1%,16.3%,.335,.348,-20.12,-.005
133,801293,E. Yost,Eric Yost,Yost,Eric,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,R,R,22.1,23,61,44,258.0,4100,1126,15.4%,91.5,92.5,13.3,6.16,21.0%,9.3%,62.1%,49.8%,16.6%,58.5%,60.9%,22.20%,50.77%,27.7%,23.2%,14.0%,24.8%,76.8%,17.5%,.292,.319,25.17,.006
133,687273,Q. Mathews,Quinn Mathews,Mathews,Quinn,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,L,L,24.3,25,54,54,258.0,4393,1083,41.7%,94.0,95.1,18.1,6.18,31.4%,12.8%,60.2%,45.6%,20.5%,61.3%,57.2%,26.81%,62.06%,31.6%,35.7%,26.3%,26.8%,64.3%,12.3%,.272,.277,43.27,.010
136,701056,J. Grosz,Josh Grosz,Grosz,Josh,P,Amarillo Sod Poodles,AMA,5368,Amarillo,aax,AZ,Amarillo Sod Poodles,AMA,5368,Amarillo,AAX,AZ,R,R,22.4,23,51,49,257.2,4242,1098,18.5%,94.0,94.9,16.9,6.02,25.8%,10.3%,63.7%,50.4%,17.3%,62.1%,61.4%,20.50%,53.17%,30.3%,28.1%,19.4%,25.9%,71.9%,16.8%,.298,.319,28.60,.007
137,690986,K. Harrison,Kyle Harrison,Harrison,Kyle,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,R,L,22.1,24,64,64,257.0,4595,1111,49.2%,94.0,95.0,15.4,6.38,34.5%,11.9%,61.5%,48.8%,18.1%,59.7%,56.8%,28.53%,63.51%,33.3%,34.4%,27.3%,26.0%,65.6%,15.9%,.268,.308,54.38,.012
138,680573,S. Woods Richardson,Simeon Woods Richardson,Woods Richardson,Simeon,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,22.6,25,55,51,256.2,4266,1078,40.7%,91.0,92.4,19.4,6.67,23.2%,10.0%,63.0%,51.3%,13.9%,59.8%,60.0%,20.31%,47.25%,29.5%,29.6%,24.3%,26.9%,70.4%,11.6%,.284,.301,61.61,.014
139,682769,E. Castellano,Eiberson Castellano,Castellano,Eiberson,P,Hartford Yard Goats,HFD,538,Hartford,aax,COL,Hartford Yard Goats,HFD,538,Hartford,AAX,COL,R,R,22.8,24,85,40,256.1,4255,1111,33.6%,93.5,94.8,16.3,6.48,27.5%,8.7%,61.7%,48.5%,20.5%,57.2%,59.0%,27.24%,58.25%,29.8%,29.0%,18.1%,26.4%,71.0%,12.3%,.283,.313,32.52,.008
139,694860,J. Brooks,Jake Brooks,Brooks,Jake,P,Hartford Yard Goats,HFD,538,Hartford,aax,COL,Hartford Yard Goats,HFD,538,Hartford,AAX,COL,R,R,23.5,24,52,48,256.1,3790,1053,0.7%,90.3,92.4,13.8,6.62,20.3%,5.0%,68.5%,54.6%,14.4%,67.3%,68.0%,18.97%,44.85%,28.5%,21.5%,16.3%,31.4%,78.5%,13.4%,.268,.284,48.83,.013
141,811315,B. Hopkins,Brody Hopkins,Hopkins,Brody,P,Durham Bulls,DUR,234,Durham,aaa,TB,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,23.1,24,55,55,255.1,4224,1085,28.4%,96.3,97.5,17.4,6.32,27.6%,12.3%,60.0%,47.2%,18.2%,57.1%,53.3%,29.03%,58.64%,30.0%,31.2%,22.5%,26.2%,68.8%,16.5%,.278,.281,39.64,.009
142,800283,E. Segura,Enrique Segura,Segura,Enrique,P,Hub City Spartanburgers,HCS,6324,Hub City,afa,TEX,Hub City Spartanburgers,HCS,6324,Hub City,AFA,TEX,R,R,19.4,21,65,54,255.0,4185,1112,12.8%,91.8,92.9,14.8,6.74,22.4%,11.3%,61.6%,47.2%,21.9%,59.4%,55.4%,22.20%,52.05%,29.2%,25.4%,18.7%,22.8%,74.6%,14.4%,.304,.327,18.43,.004
143,688609,H. Parks,Hunter Parks,Parks,Hunter,P,Chattanooga Lookouts,CHA,498,Chattanooga,aax,CIN,Chattanooga Lookouts,CHA,498,Chattanooga,AAX,CIN,R,R,22.8,24,90,50,253.0,4752,1164,40.7%,95.1,96.4,18.8,6.46,24.1%,15.6%,58.9%,46.7%,22.0%,55.4%,55.5%,18.77%,51.91%,29.7%,28.0%,18.9%,22.9%,72.0%,14.2%,.324,.335,11.33,.002
144,800338,F. Gómez,Franklin Gómez,Gómez,Franklin,P,Lake County Captains,LC,437,Lake County,afa,CLE,Lake County Captains,LC,437,Lake County,AFA,CLE,L,L,18.8,20,73,50,252.2,3797,1098,30.2%,90.8,92.2,17.4,6.30,25.6%,10.7%,63.9%,50.3%,15.3%,63.3%,64.4%,24.47%,60.25%,31.0%,29.5%,19.9%,27.2%,70.5%,11.7%,.267,.295,60.78,.016
145,691721,J. Kelley,Jared Kelley,Kelley,Jared,P,Birmingham Barons,BIR,247,Birmingham,aax,CWS,Birmingham Barons,BIR,247,Birmingham,AAX,CWS,R,R,22.6,24,122,26,250.2,4405,1129,9.9%,94.7,95.4,15.6,6.61,22.1%,14.8%,58.2%,46.9%,18.5%,55.0%,56.1%,22.45%,56.03%,26.5%,27.5%,20.9%,22.9%,72.5%,14.4%,.315,.338,13.82,.003
146,690989,B. Hernandez,Ben Hernandez,Hernandez,Ben,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Everett AquaSox,EVE,403,Everett,AFA,SEA,R,R,22.9,24,104,33,250.1,4183,1125,4.7%,91.7,93.4,14.0,4.76,17.7%,11.1%,60.5%,47.8%,19.4%,60.1%,58.4%,16.45%,46.84%,24.4%,23.2%,16.4%,26.0%,76.8%,12.6%,.307,.333,21.84,.005
146,699309,J. Díaz,Joel Díaz,Díaz,Joel,P,Brooklyn Cyclones,BRK,453,Brooklyn,afa,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,R,R,20.4,22,65,47,250.1,4078,1097,25.9%,92.5,93.8,18.3,5.96,21.4%,8.5%,64.0%,50.2%,15.3%,61.3%,58.6%,20.39%,47.55%,27.9%,26.6%,19.7%,28.1%,73.4%,17.0%,.289,.324,40.59,.010
146,694805,K. Carr,Kyle Carr,Carr,Kyle,P,Somerset Patriots,SOM,1956,Somerset,aax,NYY,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,L,L,22.8,23,52,52,250.1,4052,1053,37.0%,90.2,91.5,13.8,6.11,21.6%,11.1%,62.6%,53.1%,13.5%,63.1%,60.9%,18.89%,46.91%,28.2%,24.4%,18.0%,21.9%,75.6%,10.5%,.287,.292,38.83,.010
149,695247,J. Haynes,Jagger Haynes,Haynes,Jagger,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,L,L,22.1,23,63,61,250.0,4154,1077,27.3%,92.4,93.5,17.8,6.16,23.3%,13.6%,60.6%,46.8%,18.9%,58.5%,59.2%,21.72%,51.43%,28.0%,28.8%,18.8%,25.7%,71.2%,16.5%,.317,.323,12.62,.003
149,809223,T. Sha,Tzu-Chen Sha,Sha,Tzu-Chen,P,Lansing Lugnuts,LAN,499,Lansing,afa,ATH,Lansing Lugnuts,LAN,499,Lansing,AFA,ATH,R,R,21.0,22,65,39,250.0,3962,1098,42.5%,90.0,91.6,18.3,5.66,19.3%,6.5%,65.2%,53.0%,13.8%,59.5%,60.9%,17.93%,43.81%,26.9%,23.6%,16.6%,26.1%,76.4%,17.2%,.319,.342,6.48,.002
151,692632,Y. Herrera,Yujanyer Herrera,Herrera,Yujanyer,P,Spokane Indians,SPO,486,Spokane,afa,COL,Spokane Indians,SPO,486,Spokane,AFA,COL,R,R,20.2,22,63,40,249.2,4049,1084,20.7%,93.5,94.4,13.6,6.36,22.1%,10.3%,61.8%,46.6%,19.7%,58.8%,59.8%,24.01%,50.89%,27.1%,28.5%,18.1%,28.0%,71.5%,12.5%,.290,.311,31.38,.008
152,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Lake County Captains,LC,437,Lake County,AFA,CLE,R,L,20.2,21,68,67,249.1,4421,1105,44.0%,91.1,92.6,20.3,6.02,26.9%,15.0%,58.0%,45.8%,19.1%,54.9%,55.7%,24.96%,60.58%,30.8%,34.0%,25.5%,22.2%,66.0%,15.4%,.309,.328,12.93,.003
152,690981,L. Gordon,Lucas Gordon,Gordon,Lucas,P,Birmingham Barons,BIR,247,Birmingham,aax,CWS,Birmingham Barons,BIR,247,Birmingham,AAX,CWS,L,L,22.8,24,58,53,249.1,4093,1016,28.3%,90.5,91.4,19.1,5.80,23.8%,11.6%,60.1%,46.9%,18.1%,60.4%,57.5%,21.43%,51.78%,29.3%,33.5%,25.5%,25.1%,66.5%,13.1%,.271,.287,49.29,.012
154,802126,J. Whitman,Joe Whitman,Whitman,Joe,P,Richmond Flying Squirrels,RIC,3410,Richmond,aax,SF,Richmond Flying Squirrels,RIC,3410,Richmond,AAX,SF,L,L,23.3,24,59,58,249.0,4093,1067,28.1%,92.5,93.9,17.4,6.09,25.3%,8.7%,62.9%,49.3%,15.7%,60.9%,59.3%,25.20%,51.24%,28.4%,27.0%,19.0%,27.5%,73.0%,14.9%,.287,.313,24.73,.006
155,800260,A. Flores,Anthony Flores,Flores,Anthony,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Biloxi Shuckers,BLX,5015,Biloxi,AAX,MIL,L,L,19.8,21,79,36,248.0,3993,1089,19.5%,88.2,88.7,11.6,5.57,24.8%,11.3%,62.4%,47.0%,20.5%,58.5%,58.9%,24.07%,55.84%,31.0%,30.8%,17.6%,26.7%,69.2%,13.7%,.290,.317,32.77,.008
156,682785,A. Bastardo,Angel Bastardo,Bastardo,Angel,P,Worcester Red Sox,WOR,533,Worcester,aaa,BOS,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,R,R,20.9,23,57,56,247.2,4211,1073,33.2%,94.2,95.3,17.4,5.95,27.0%,11.5%,62.4%,48.0%,17.4%,59.8%,59.9%,24.83%,54.57%,30.4%,32.3%,22.6%,28.1%,67.7%,15.4%,.292,.310,35.82,.009
157,815073,E. Bosacker,Ethan Bosacker,Bosacker,Ethan,P,Omaha Storm Chasers,OMA,541,Omaha,aaa,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,24.0,25,59,35,245.0,3699,1014,27.1%,90.3,91.1,17.6,6.26,16.7%,8.0%,64.4%,49.8%,16.3%,65.1%,63.3%,16.25%,39.61%,25.4%,23.5%,17.7%,28.4%,76.5%,14.7%,.289,.294,34.30,.009
157,807744,T. Cummings,Ty Cummings,Cummings,Ty,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Montgomery Biscuits,MTG,421,Montgomery,AAX,TB,R,R,23.3,24,57,45,245.0,3823,1042,2.2%,92.8,93.1,10.5,5.43,21.3%,8.3%,62.2%,48.6%,18.6%,62.0%,61.0%,23.66%,51.25%,27.6%,26.2%,15.9%,26.9%,73.8%,16.7%,.302,.320,14.27,.004
159,686763,G. Mayer,Gunner Mayer,Mayer,Gunner,P,Tacoma Rainiers,TAC,529,Tacoma,aaa,SEA,Tacoma Rainiers,TAC,529,Tacoma,AAA,SEA,R,R,23.9,25,128,32,244.2,4457,1098,25.7%,92.8,94.6,19.4,6.19,27.6%,14.4%,59.3%,44.5%,21.1%,57.1%,53.1%,23.82%,59.08%,29.5%,35.1%,24.6%,26.2%,64.9%,18.8%,.299,.328,27.46,.006
159,702275,J. Ritchie,JR Ritchie,Ritchie,JR,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,21.4,22,52,51,244.2,3822,984,30.4%,93.1,94.4,15.7,6.29,26.7%,9.3%,63.5%,47.2%,17.8%,63.0%,61.4%,24.01%,52.67%,29.0%,27.5%,18.2%,30.5%,72.5%,12.7%,.264,.265,44.83,.012
