Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
57,695034,K. Morris,Kade Morris,Morris,Kade,P,Las Vegas Aviators,LV,400,Las Vegas,aaa,ATH,Las Vegas Aviators,LV,400,Las Vegas,AAA,ATH,R,R,22.6,23,62,59,315.1,5027,1367,17.7%,94.3,95.2,14.1,6.22,20.2%,7.7%,64.1%,51.9%,16.1%,61.5%,61.6%,20.90%,45.51%,27.0%,22.0%,16.6%,26.6%,78.0%,14.3%,.310,.329,17.74,.004
59,700354,C. Marcano,Carlos Marcano,Marcano,Carlos,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,R,R,20.4,22,94,53,314.0,5057,1371,4.2%,92.6,93.9,13.9,5.83,18.9%,9.0%,61.9%,48.1%,18.0%,58.1%,59.1%,19.39%,44.54%,26.1%,23.4%,16.5%,25.6%,76.6%,14.4%,.304,.319,26.47,.005
59,687060,B. Adams,Blake Adams,Adams,Blake,P,Hartford Yard Goats,HFD,538,Hartford,aax,COL,Hartford Yard Goats,HFD,538,Hartford,AAX,COL,R,R,24.0,25,78,54,314.0,4904,1313,47.3%,92.3,93.3,19.7,5.78,23.4%,6.2%,67.3%,55.3%,10.2%,62.2%,64.0%,21.42%,45.62%,29.7%,24.4%,17.5%,27.8%,75.6%,17.9%,.279,.312,51.02,.010
61,702571,J. Miller,Jacob Miller,Miller,Jacob,P,Pensacola Blue Wahoos,PNS,4124,Pensacola,aax,MIA,Pensacola Blue Wahoos,PNS,4124,Pensacola,AAX,MIA,R,R,21.0,22,69,67,313.1,5166,1336,18.0%,92.3,93.2,15.0,6.01,20.4%,9.4%,61.7%,48.8%,17.1%,60.5%,58.1%,20.34%,45.53%,27.2%,25.8%,17.6%,26.0%,74.2%,14.5%,.292,.296,40.96,.008
62,687721,C. Weston,Cameron Weston,Weston,Cameron,P,Norfolk Tides,NOR,568,Norfolk,aaa,BAL,Norfolk Tides,NOR,568,Norfolk,AAA,BAL,R,R,24.0,25,79,48,311.0,5243,1326,<0.1%,-,92.3,7.8,6.03,25.4%,9.5%,61.1%,46.5%,20.4%,59.3%,60.7%,22.76%,55.81%,30.1%,30.3%,20.4%,26.6%,69.7%,15.2%,.278,.303,39.55,.008
63,702885,C. Perdomo,Cesar Perdomo,Perdomo,Cesar,P,Richmond Flying Squirrels,RIC,3410,Richmond,aax,SF,Richmond Flying Squirrels,RIC,3410,Richmond,AAX,SF,L,L,22.5,24,74,50,310.0,4778,1335,30.6%,90.9,92.1,18.5,5.64,22.8%,7.5%,66.0%,52.4%,13.1%,61.5%,63.6%,23.24%,51.56%,28.1%,26.0%,19.5%,30.8%,74.0%,14.1%,.291,.308,43.09,.009
64,687195,J. Garland,Jake Garland,Garland,Jake,P,Lansing Lugnuts,LAN,499,Lansing,afa,ATH,Lansing Lugnuts,LAN,499,Lansing,AFA,ATH,R,R,23.7,25,78,48,309.2,4705,1342,7.8%,90.0,90.7,12.0,6.07,16.5%,7.5%,63.9%,53.2%,13.6%,60.7%,62.7%,17.87%,41.33%,25.7%,19.2%,13.3%,24.6%,80.8%,16.8%,.306,.331,18.01,.004
65,695769,D. McCarty,D.J. McCarty,McCarty,D.J.,P,Hub City Spartanburgers,HCS,6324,Hub City,afa,TEX,Hub City Spartanburgers,HCS,6324,Hub City,AFA,TEX,R,R,21.6,23,81,61,307.2,5297,1395,7.6%,93.0,93.5,12.6,5.16,25.2%,10.3%,62.1%,46.0%,21.1%,58.9%,57.4%,25.64%,52.72%,29.8%,27.4%,17.8%,26.7%,72.6%,10.2%,.291,.323,28.52,.005
66,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,R,R,20.1,21,65,62,307.1,4454,1288,10.3%,93.9,94.7,13.8,6.12,21.0%,6.6%,67.0%,56.3%,12.5%,64.8%,65.5%,20.54%,48.16%,28.0%,23.6%,17.2%,27.5%,76.4%,15.5%,.291,.310,42.31,.009
67,800539,E. Reyes,Emmanuel Reyes,Reyes,Emmanuel,P,Quad Cities River Bandits,QC,565,Quad Cities,afa,KC,Quad Cities River Bandits,QC,565,Quad Cities,AFA,KC,R,R,19.9,21,71,57,306.1,4512,1262,47.2%,91.4,92.9,17.1,5.98,20.8%,6.7%,65.8%,50.9%,13.5%,64.2%,63.3%,20.53%,48.39%,26.4%,23.6%,17.9%,27.6%,76.4%,13.1%,.265,.282,52.83,.012
