Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
221,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,R,R,19.3,20,19,19,70.1,1101,292,51.4%,94.1,95.3,18.3,6.65,23.6%,8.9%,61.9%,48.8%,17.4%,61.0%,55.1%,22.78%,53.21%,28.2%,27.0%,20.5%,25.2%,73.0%,18.6%,.299,.309,3.09,.003
221,815789,D. Shields,David Shields,Shields,David,P,Quad Cities River Bandits,QC,565,Quad Cities,afa,KC,Columbia Fireflies,COL,3705,Columbia,AFX,KC,S,L,18.8,19,19,19,75.2,1196,302,1.4%,90.6,91.0,15.6,6.52,28.5%,5.0%,64.7%,51.6%,15.1%,62.9%,61.6%,21.47%,53.38%,32.5%,26.7%,18.5%,26.3%,73.3%,13.1%,.259,.249,9.67,.008
221,824026,K. Mayfield,Kash Mayfield,Mayfield,Kash,P,Fort Wayne TinCaps,FW,584,Fort Wayne,afa,SD,Lake Elsinore Storm,LE,103,Lake Elsinore,AFX,SD,L,L,20.4,21,19,19,60.2,1068,258,18.9%,91.4,92.6,16.4,6.44,34.1%,10.9%,63.5%,48.2%,15.8%,65.5%,63.4%,25.00%,65.14%,32.1%,32.3%,24.2%,29.8%,67.7%,12.7%,.244,.270,15.93,.015
221,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,R,R,19.3,20,19,11,82.1,1218,339,12.5%,91.7,92.8,17.6,6.73,18.9%,5.6%,64.1%,51.4%,14.6%,61.9%,62.1%,21.51%,39.47%,27.9%,25.6%,22.0%,26.5%,74.4%,14.3%,.293,.280,7.28,.006
221,828475,E. Dorchies,Ethan Dorchies,Dorchies,Ethan,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,R,R,18.7,19,19,11,82.0,1302,333,35.2%,92.4,93.5,16.7,6.84,26.7%,10.5%,63.1%,50.2%,17.8%,64.6%,58.9%,23.86%,54.11%,30.7%,29.5%,18.5%,25.6%,70.5%,13.2%,.254,.246,17.45,.013
249,702674,C. Dana,Caden Dana,Dana,Caden,P,Salt Lake Bees,SL,561,Salt Lake,aaa,LAA,Salt Lake Bees,SL,561,Salt Lake,AAA,LAA,L,R,21.5,22,18,18,82.0,1513,370,55.5%,94.4,95.3,17.3,6.59,23.0%,12.4%,60.7%,45.1%,20.8%,55.9%,60.0%,19.91%,50.74%,26.0%,24.6%,12.6%,27.4%,75.4%,22.3%,.345,.357,-7.24,-.005
249,691641,J. Acuna,Jose Acuna,Acuna,Jose,P,Chattanooga Lookouts,CHA,498,Chattanooga,aax,CIN,Chattanooga Lookouts,CHA,498,Chattanooga,AAX,CIN,R,R,22.7,23,18,18,71.2,1181,301,30.7%,91.4,92.9,17.7,6.46,22.9%,12.6%,62.0%,54.1%,13.5%,58.8%,55.8%,22.22%,47.41%,26.1%,27.4%,23.6%,21.0%,72.6%,14.6%,.302,.314,9.52,.008
249,800539,E. Reyes,Emmanuel Reyes,Reyes,Emmanuel,P,Quad Cities River Bandits,QC,565,Quad Cities,afa,KC,Quad Cities River Bandits,QC,565,Quad Cities,AFA,KC,R,R,21.1,21,18,12,69.1,1083,300,48.3%,91.4,93.0,16.3,5.98,17.3%,8.0%,64.2%,52.9%,12.7%,57.3%,61.8%,17.39%,44.00%,25.7%,24.0%,19.9%,23.8%,76.0%,17.9%,.308,.314,4.18,.004
249,702604,M. Kennedy,Michael Kennedy,Kennedy,Michael,P,Lake County Captains,LC,437,Lake County,afa,CLE,Lake County Captains,LC,437,Lake County,AFA,CLE,L,L,20.6,21,18,11,65.1,1138,289,12.0%,90.3,91.0,13.0,6.56,22.5%,10.7%,62.6%,50.6%,14.4%,59.5%,59.2%,21.16%,48.15%,28.9%,26.5%,18.5%,24.6%,73.5%,10.0%,.309,.323,6.64,.006
249,806948,L. Aguilar,Luis Aguilar,Aguilar,Luis,P,Fayetteville Woodpeckers,FAY,3712,Fayetteville,afx,HOU,Fayetteville Woodpeckers,FAY,3712,Fayetteville,AFX,HOU,R,R,21.2,22,18,7,63.1,970,257,47.3%,88.9,90.4,19.3,6.34,25.3%,7.8%,64.7%,48.4%,16.7%,67.3%,63.0%,22.22%,54.39%,28.5%,25.1%,18.4%,28.3%,74.9%,13.0%,.241,.286,14.74,.015
249,702271,N. Mulé,Nazier Mulé,Mulé,Nazier,P,South Bend Cubs,SB,550,South Bend,afa,CHC,South Bend Cubs,SB,550,South Bend,AFA,CHC,R,R,20.7,21,18,18,67.0,1240,306,47.5%,95.0,96.4,16.9,5.98,22.5%,18.0%,54.7%,44.2%,22.5%,53.9%,52.8%,22.16%,55.21%,27.3%,33.5%,26.8%,20.4%,66.5%,11.1%,.327,.335,1.13,.001
249,802416,A. Izzi,Ashton Izzi,Izzi,Ashton,P,Amarillo Sod Poodles,AMA,5368,Amarillo,aax,AZ,Hillsboro Hops,HIL,419,Hillsboro,AFA,AZ,R,R,21.6,22,18,18,75.0,1224,334,27.7%,94.6,95.4,17.8,6.69,24.0%,8.4%,64.8%,51.9%,14.8%,60.5%,58.2%,23.08%,50.00%,28.3%,25.4%,17.8%,29.2%,74.6%,15.1%,.294,.329,9.26,.008
