Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
56,696070,K. Rojas,Kendry Rojas,Rojas,Kendry,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,Fort Myers Mighty Mussels,FTM,509,Fort Myers,AFX,MIN,L,L,21.3,23,68,58,263.2,4369,1125,39.2%,93.5,94.9,19.3,6.59,26.1%,9.1%,64.0%,47.2%,18.1%,61.4%,62.1%,24.34%,51.37%,29.0%,31.2%,22.8%,30.5%,68.8%,15.6%,.272,.303,68.41,.016
57,686632,S. Zobac,Steven Zobac,Zobac,Steven,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,AAX,KC,L,R,23.6,25,61,55,261.1,4092,1102,56.8%,93.4,94.7,20.0,6.22,24.1%,6.3%,67.6%,52.9%,13.1%,64.0%,62.2%,22.93%,47.99%,28.0%,27.2%,20.9%,32.1%,72.8%,16.7%,.276,.308,51.64,.013
58,683003,J. Jones,Jared Jones,Jones,Jared,P,Pittsburgh Pirates,PIT,134,Pittsburgh,mlb,PIT,Indianapolis Indians,IND,484,Indianapolis,AAA,PIT,L,R,21.5,24,55,54,260.0,4308,1104,46.1%,96.1,97.4,18.1,6.42,27.5%,9.4%,63.9%,51.5%,16.4%,60.7%,61.1%,22.49%,52.65%,31.1%,31.9%,24.9%,27.8%,68.1%,15.3%,.289,.312,43.65,.010
59,683004,J. Leiter,Jack Leiter,Leiter,Jack,P,Texas Rangers,TEX,140,Texas,mlb,TEX,Round Rock Express,RR,102,Round Rock,AAA,TEX,R,R,23.1,26,61,59,259.1,4742,1141,55.7%,95.5,97.0,19.0,6.47,29.5%,12.4%,60.7%,46.5%,19.8%,58.5%,57.4%,23.47%,59.91%,28.7%,31.6%,22.0%,26.5%,68.4%,18.7%,.307,.325,21.98,.005
60,690986,K. Harrison,Kyle Harrison,Harrison,Kyle,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,R,L,22.1,24,64,64,257.0,4595,1111,49.2%,94.0,95.0,15.4,6.38,34.5%,11.9%,61.5%,48.8%,18.1%,59.7%,56.8%,28.53%,63.51%,33.3%,34.4%,27.3%,26.0%,65.6%,15.9%,.268,.308,54.38,.012
61,680573,S. Woods Richardson,Simeon Woods Richardson,Woods Richardson,Simeon,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,22.6,25,55,51,256.2,4266,1078,40.7%,91.0,92.4,19.4,6.67,23.2%,10.0%,63.0%,51.3%,13.9%,59.8%,60.0%,20.31%,47.25%,29.5%,29.6%,24.3%,26.9%,70.4%,11.6%,.284,.301,61.61,.014
62,676272,B. Miller,Bobby Miller,Miller,Bobby,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,L,R,25.0,27,71,49,250.1,4460,1092,39.6%,98.5,99.5,17.4,6.45,24.5%,11.4%,61.5%,47.4%,18.7%,61.6%,57.1%,19.62%,53.92%,27.7%,26.8%,18.8%,26.9%,73.2%,14.5%,.296,.302,31.02,.007
63,678022,J. Perkins,Jack Perkins,Perkins,Jack,P,Athletics,ATH,133,Athletics,mlb,ATH,Las Vegas Aviators,LV,400,Las Vegas,AAA,ATH,R,R,24.2,26,58,47,247.1,4095,1030,51.0%,95.3,96.5,17.0,5.97,27.9%,10.8%,62.5%,49.1%,17.2%,61.0%,59.9%,25.90%,55.21%,28.1%,28.4%,19.3%,28.2%,71.6%,14.6%,.275,.279,39.61,.010
64,681190,R. Vásquez,Randy Vásquez,Vásquez,Randy,P,San Diego Padres,SD,135,San Diego,mlb,SD,El Paso Chihuahuas,ELP,4904,El Paso,AAA,SD,R,R,24.5,27,54,54,245.1,4194,1090,22.4%,94.3,94.9,14.6,6.18,24.4%,9.1%,63.0%,50.1%,16.0%,59.3%,58.8%,21.17%,53.44%,28.3%,25.4%,17.7%,28.9%,74.6%,15.1%,.308,.336,21.56,.005
65,702275,J. Ritchie,JR Ritchie,Ritchie,JR,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,21.4,22,52,51,244.2,3822,984,30.4%,93.1,94.4,15.7,6.29,26.7%,9.3%,63.5%,47.2%,17.8%,63.0%,61.4%,24.01%,52.67%,29.0%,27.5%,18.2%,30.5%,72.5%,12.7%,.264,.265,44.83,.012
66,693645,C. Schlittler,Cam Schlittler,Schlittler,Cam,P,New York Yankees,NYY,147,NY Yankees,mlb,NYY,Scranton/Wilkes-Barre RailRiders,SWB,531,Scranton/WB,AAA,NYY,R,R,23.4,25,54,50,243.1,4128,1032,42.3%,93.9,95.5,17.1,6.41,29.4%,9.9%,64.8%,51.2%,15.0%,62.8%,62.5%,23.12%,53.25%,30.8%,30.4%,23.0%,28.4%,69.6%,11.9%,.264,.298,58.41,.014
67,672782,Y. Gómez,Yoendrys Gómez,Gómez,Yoendrys,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,R,R,24.2,26,71,66,242.1,4186,1009,50.0%,93.2,94.5,18.1,6.71,28.1%,11.4%,61.8%,48.0%,19.6%,59.0%,57.7%,20.88%,55.75%,29.4%,29.9%,22.2%,26.3%,70.1%,15.3%,.306,.290,19.49,.005
68,680730,M. Parker,Mitchell Parker,Parker,Mitchell,P,Washington Nationals,WSH,120,Washington,mlb,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,L,L,23.5,26,56,54,241.1,4221,1049,62.7%,92.0,93.5,22.4,6.56,27.5%,12.6%,63.3%,52.5%,13.4%,62.5%,59.8%,20.77%,54.99%,29.3%,29.2%,22.8%,26.1%,70.8%,15.3%,.303,.299,35.41,.008
68,671109,J. Eder,Jake Eder,Eder,Jake,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,L,L,25.9,27,57,54,241.1,4269,1108,50.8%,92.7,93.8,16.1,6.42,23.2%,10.5%,62.5%,48.5%,17.6%,56.2%,58.8%,22.39%,49.65%,28.0%,29.2%,20.7%,27.9%,70.8%,16.4%,.330,.367,2.72,.001
70,676282,J. Cantillo,Joey Cantillo,Cantillo,Joey,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,L,L,23.7,26,57,53,241.0,4261,1036,51.7%,92.7,94.2,19.5,7.05,30.2%,12.7%,61.1%,49.4%,17.3%,58.1%,57.8%,24.53%,61.01%,31.6%,34.1%,26.4%,25.0%,65.9%,13.5%,.281,.310,50.11,.012
71,693312,K. Nicolas,Kyle Nicolas,Nicolas,Kyle,P,Cincinnati Reds,CIN,113,Cincinnati,mlb,CIN,Louisville Bats,LOU,416,Louisville,AAA,CIN,R,R,24.9,27,102,41,240.0,4280,1059,57.4%,95.3,97.3,20.4,6.42,28.1%,12.3%,60.7%,46.7%,20.3%,57.6%,56.7%,24.13%,57.45%,29.0%,29.8%,20.7%,26.1%,70.2%,19.6%,.308,.317,18.07,.004
72,687075,B. Sproat,Brandon Sproat,Sproat,Brandon,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,R,R,24.3,25,50,48,237.1,3810,975,27.7%,96.5,97.5,15.2,6.34,25.0%,9.7%,64.0%,49.3%,16.2%,64.1%,63.8%,22.33%,50.75%,29.4%,28.3%,22.0%,29.3%,71.7%,12.7%,.276,.288,43.45,.011
73,695418,B. Lord,Brad Lord,Lord,Brad,P,Washington Nationals,WSH,120,Washington,mlb,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,R,R,23.9,26,52,42,234.1,3708,986,6.0%,92.3,93.8,11.9,5.58,22.2%,7.8%,64.8%,51.3%,14.5%,63.6%,61.8%,18.36%,49.07%,25.6%,23.0%,18.4%,29.5%,77.0%,12.2%,.283,.293,35.74,.010
74,694819,J. Misiorowski,Jacob Misiorowski,Misiorowski,Jacob,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,22.1,24,68,55,233.2,4147,998,47.6%,97.3,99.0,16.9,7.34,32.1%,14.0%,59.9%,48.0%,18.8%,58.8%,51.8%,27.75%,62.20%,31.9%,35.3%,26.2%,23.7%,64.7%,12.4%,.270,.270,46.39,.011
75,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,R,R,20.9,23,58,58,233.0,3684,966,45.5%,95.9,97.1,19.2,6.13,27.0%,8.4%,65.6%,50.2%,15.9%,68.7%,65.8%,23.91%,55.31%,30.9%,29.5%,22.3%,30.8%,70.5%,17.8%,.268,.280,47.83,.013
76,669684,C. Murphy,Chris Murphy,Murphy,Chris,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,L,L,25.2,27,63,42,232.1,3997,1015,47.7%,92.6,93.8,18.9,6.14,23.5%,11.7%,62.4%,49.1%,16.5%,58.6%,58.5%,18.78%,49.61%,28.1%,26.9%,19.6%,27.3%,73.1%,13.5%,.315,.322,23.81,.006
77,677960,R. Weathers,Ryan Weathers,Weathers,Ryan,P,New York Yankees,NYY,147,NY Yankees,mlb,NYY,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,AAA,MIA,R,L,23.2,26,54,45,231.1,4036,1008,51.2%,94.4,96.0,16.1,5.75,21.4%,10.6%,61.7%,49.4%,17.4%,56.6%,57.9%,18.49%,49.33%,27.1%,27.3%,20.3%,25.7%,72.7%,17.9%,.351,.369,14.07,.003
78,680684,G. Hoglund,Gunnar Hoglund,Hoglund,Gunnar,P,Athletics,ATH,133,Athletics,mlb,ATH,Las Vegas Aviators,LV,400,Las Vegas,AAA,ATH,L,R,24.2,26,49,48,229.1,3544,931,45.0%,91.8,93.0,17.8,6.45,21.8%,6.1%,63.7%,49.9%,16.2%,62.6%,61.2%,19.69%,50.46%,26.9%,25.6%,16.9%,27.7%,74.4%,16.0%,.300,.300,11.79,.003
79,680732,S. Burke,Sean Burke,Burke,Sean,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,R,R,23.5,26,58,57,229.0,4107,1003,52.0%,94.0,95.4,20.1,6.53,28.8%,12.1%,63.0%,50.8%,16.3%,61.6%,58.2%,20.59%,56.13%,29.6%,30.2%,22.6%,27.0%,69.8%,15.6%,.290,.347,43.68,.011
79,687792,D. Herz,DJ Herz,Herz,DJ,P,Washington Nationals,WSH,120,Washington,mlb,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,R,L,22.2,25,58,58,229.0,4240,997,52.6%,92.0,93.1,18.9,6.21,31.9%,15.9%,59.7%,47.6%,20.2%,58.9%,53.5%,25.23%,60.45%,31.5%,35.3%,28.0%,25.7%,64.7%,13.7%,.278,.284,54.75,.013
79,700363,A. Smith-Shawver,AJ Smith-Shawver,Smith-Shawver,AJ,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,20.8,23,55,55,229.0,3911,963,54.6%,95.0,96.5,21.0,6.37,31.5%,12.0%,63.0%,49.7%,18.4%,63.4%,61.9%,23.05%,63.66%,30.4%,32.6%,23.6%,27.0%,67.4%,20.1%,.289,.298,38.11,.010
82,694297,B. Pfaadt,Brandon Pfaadt,Pfaadt,Brandon,P,Arizona Diamondbacks,AZ,109,Arizona,mlb,AZ,Reno Aces,RNO,2310,Reno,AAA,AZ,R,R,24.0,27,41,41,227.2,3594,944,52.3%,93.8,94.8,15.8,6.57,30.4%,5.2%,68.0%,54.2%,13.4%,66.1%,68.2%,27.38%,56.94%,32.6%,31.2%,22.9%,31.1%,68.8%,13.7%,.292,.320,36.25,.010
83,700413,T. Uberstine,Tyler Uberstine,Uberstine,Tyler,P,Boston Red Sox,BOS,111,Boston,mlb,BOS,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,R,R,24.9,26,52,40,226.2,3737,961,32.2%,92.5,93.3,15.6,5.88,26.3%,8.6%,64.7%,50.6%,15.2%,62.5%,64.7%,22.42%,51.91%,30.2%,28.5%,21.5%,28.2%,71.5%,15.7%,.298,.304,22.90,.006
83,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,R,R,23.1,24,48,44,226.2,3595,942,15.5%,94.8,95.5,15.3,6.24,26.0%,10.0%,63.4%,50.7%,15.3%,65.4%,61.9%,23.80%,55.01%,29.8%,26.0%,17.7%,26.3%,74.0%,12.4%,.271,.286,39.57,.011
85,687863,P. Hodge,Porter Hodge,Hodge,Porter,P,Chicago Cubs,CHC,112,Chi Cubs,mlb,CHC,Iowa Cubs,IOW,451,Iowa,AAA,CHC,R,R,22.6,25,90,36,226.0,4030,994,51.4%,94.1,95.4,17.4,6.96,30.0%,13.3%,61.4%,49.2%,18.0%,59.6%,58.4%,24.01%,58.92%,31.1%,33.9%,25.8%,25.2%,66.1%,13.0%,.273,.290,49.49,.012
86,693821,B. Elder,Bryce Elder,Elder,Bryce,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,24.2,26,39,38,224.2,3541,947,12.2%,91.3,91.8,14.4,5.75,23.1%,8.3%,63.3%,44.7%,17.1%,63.3%,60.4%,21.06%,53.30%,27.7%,26.9%,16.0%,33.0%,73.1%,16.7%,.311,.302,8.69,.002
86,691330,M. Chace,Moisés Chace,Chace,Moisés,P,Philadelphia Phillies,PHI,143,Philadelphia,mlb,PHI,Reading Fightin Phils,REA,522,Reading,AAX,PHI,R,R,20.3,22,69,44,224.2,4229,982,48.2%,92.6,94.7,19.7,6.25,31.3%,15.0%,59.7%,46.4%,18.5%,56.7%,55.2%,24.18%,58.65%,31.7%,35.4%,27.8%,25.6%,64.6%,13.6%,.279,.310,44.55,.011
88,694813,G. Stone,Gavin Stone,Stone,Gavin,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,R,R,24.2,27,47,44,222.1,3613,927,38.7%,94.6,95.6,17.2,6.27,31.1%,9.7%,64.2%,49.8%,14.6%,61.6%,57.1%,23.66%,64.58%,31.4%,34.9%,25.1%,31.4%,65.1%,16.9%,.274,.273,55.03,.015
88,689520,C. Laweryson,Cody Laweryson,Laweryson,Cody,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,L,R,25.6,27,128,14,222.1,3712,935,41.8%,91.2,93.2,17.0,6.13,25.7%,8.3%,65.1%,54.5%,11.5%,61.5%,59.0%,19.47%,53.28%,30.8%,27.1%,24.3%,25.9%,72.9%,15.1%,.280,.294,44.76,.012
90,691725,A. Painter,Andrew Painter,Painter,Andrew,P,Philadelphia Phillies,PHI,143,Philadelphia,mlb,PHI,Lehigh Valley IronPigs,LHV,1410,Lehigh Valley,AAA,PHI,R,R,20.8,23,48,48,221.2,3562,921,52.0%,96.6,97.7,19.5,6.20,30.2%,7.8%,66.2%,49.5%,16.7%,65.0%,63.1%,23.74%,58.71%,30.3%,30.0%,21.4%,31.7%,70.0%,16.5%,.276,.300,32.48,.009
91,694335,M. Svanson,Matt Svanson,Svanson,Matt,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,R,R,24.8,27,137,9,221.0,3528,941,1.7%,94.7,96.0,11.4,6.15,24.2%,7.8%,64.2%,52.6%,15.2%,63.2%,61.2%,22.76%,53.43%,27.7%,24.8%,18.4%,26.9%,75.2%,13.2%,.263,.303,47.66,.014
92,688883,P. Pallette,Peyton Pallette,Pallette,Peyton,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,R,R,23.4,24,106,34,218.2,3720,941,37.1%,94.2,95.5,18.6,5.28,27.5%,10.9%,62.8%,49.5%,18.1%,64.2%,57.1%,25.31%,55.11%,31.8%,31.6%,24.8%,26.9%,68.4%,15.8%,.283,.299,35.42,.010
93,681168,L. Curvelo,Luis Curvelo,Curvelo,Luis,P,Texas Rangers,TEX,140,Texas,mlb,TEX,Round Rock Express,RR,102,Round Rock,AAA,TEX,R,R,23.3,25,166,1,215.0,3389,897,27.7%,94.8,95.9,16.5,6.31,26.6%,9.3%,64.3%,48.9%,17.9%,64.1%,63.1%,23.47%,56.50%,30.5%,31.7%,23.0%,30.9%,68.3%,13.8%,.273,.297,41.93,.012
94,687064,B. Young,Brandon Young,Young,Brandon,P,Baltimore Orioles,BAL,110,Baltimore,mlb,BAL,Norfolk Tides,NOR,568,Norfolk,AAA,BAL,R,R,25.8,27,51,48,214.1,3334,873,42.7%,92.5,93.7,19.8,6.42,27.1%,6.8%,66.6%,52.0%,13.2%,64.3%,66.8%,22.99%,53.85%,30.8%,29.5%,21.8%,29.7%,70.5%,10.6%,.258,.288,48.56,.015
94,694462,H. Waldrep,Hurston Waldrep,Waldrep,Hurston,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,22.6,24,46,46,214.1,3559,941,31.3%,94.9,95.8,14.9,6.41,24.4%,11.8%,61.0%,46.0%,19.5%,59.1%,60.8%,23.98%,57.01%,30.0%,31.7%,20.6%,27.7%,68.3%,16.0%,.303,.301,17.29,.005
96,804556,B. Nett,Braden Nett,Nett,Braden,P,Athletics,ATH,133,Athletics,mlb,ATH,Midland RockHounds,MID,237,Midland,AAX,ATH,R,R,22.1,23,61,54,214.0,3733,953,44.9%,95.3,96.7,17.4,6.12,25.1%,13.3%,60.9%,48.0%,17.9%,59.2%,54.6%,24.95%,54.67%,28.9%,28.3%,20.1%,24.9%,71.7%,14.1%,.288,.311,31.38,.008
97,672860,P. Berroa,Prelander Berroa,Berroa,Prelander,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,R,R,23.4,26,112,31,212.1,3834,905,40.7%,96.8,97.7,20.7,5.62,33.1%,15.1%,60.6%,45.7%,19.2%,57.8%,57.9%,26.78%,62.70%,34.9%,42.6%,29.6%,29.1%,57.4%,16.0%,.266,.291,63.83,.017
98,678692,R. Henriquez,Ronny Henriquez,Henriquez,Ronny,P,Miami Marlins,MIA,146,Miami,mlb,MIA,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,23.1,25,97,17,211.0,3647,929,31.0%,95.0,95.7,18.6,6.43,23.5%,9.6%,62.6%,47.7%,16.3%,56.6%,60.0%,22.14%,47.54%,29.5%,31.7%,23.0%,29.1%,68.3%,17.4%,.306,.340,34.07,.009
99,681217,C. Silseth,Chase Silseth,Silseth,Chase,P,Los Angeles Angels,LAA,108,LA Angels,mlb,LAA,Salt Lake Bees,SL,561,Salt Lake,AAA,LAA,R,R,23.8,25,58,43,210.0,3381,865,36.9%,94.6,95.5,15.4,5.67,27.7%,10.4%,62.6%,47.4%,20.2%,62.1%,57.5%,23.80%,58.26%,29.6%,31.3%,19.6%,29.8%,68.7%,13.9%,.289,.286,32.47,.010
100,806185,H. Birdsong,Hayden Birdsong,Birdsong,Hayden,P,San Francisco Giants,SF,137,San Francisco,mlb,SF,Sacramento River Cats,SAC,105,Sacramento,AAA,SF,R,R,22.3,24,58,48,208.2,3688,911,54.4%,94.8,95.8,20.3,6.26,32.3%,11.3%,62.6%,47.2%,18.6%,61.1%,58.3%,25.93%,61.93%,32.0%,32.6%,23.3%,29.2%,67.4%,15.4%,.286,.309,25.65,.007
101,676962,B. Brown,Ben Brown,Brown,Ben,P,Chicago Cubs,CHC,112,Chi Cubs,mlb,CHC,Iowa Cubs,IOW,451,Iowa,AAA,CHC,R,R,23.5,26,52,43,207.2,3458,873,58.2%,95.4,96.4,18.6,6.29,32.9%,10.9%,64.4%,50.5%,16.6%,63.5%,58.0%,28.34%,59.81%,33.5%,34.7%,23.3%,29.2%,65.3%,15.1%,.269,.293,54.26,.016
102,686563,J. Cannon,Jonathan Cannon,Cannon,Jonathan,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,R,R,23.5,25,46,45,206.1,3577,898,25.7%,94.0,95.2,14.6,5.80,19.6%,8.7%,62.1%,49.6%,16.8%,60.6%,59.4%,17.61%,41.56%,25.7%,23.3%,15.5%,25.8%,76.7%,13.1%,.309,.338,15.18,.004
103,813349,C. Early,Connelly Early,Early,Connelly,P,Boston Red Sox,BOS,111,Boston,mlb,BOS,Worcester Red Sox,WOR,533,Worcester,AAA,BOS,L,L,22.7,24,45,42,206.0,3388,870,13.8%,93.2,93.7,15.9,6.53,31.5%,9.1%,64.3%,49.9%,15.6%,63.3%,61.8%,27.04%,56.96%,33.0%,34.0%,24.5%,29.9%,66.0%,17.4%,.266,.277,41.42,.012
104,679525,A. Marsh,Alec Marsh,Marsh,Alec,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,24.7,27,46,46,205.2,3623,927,50.3%,94.1,95.4,17.5,5.97,27.6%,10.4%,62.6%,48.4%,16.0%,59.3%,59.1%,25.46%,54.64%,30.8%,34.4%,23.4%,28.9%,65.6%,18.1%,.305,.349,26.31,.007
105,671382,C. Foster,Cameron Foster,Foster,Cameron,P,Baltimore Orioles,BAL,110,Baltimore,mlb,BAL,Norfolk Tides,NOR,568,Norfolk,AAA,BAL,R,R,25.6,27,85,26,205.1,3402,882,47.8%,93.4,94.9,19.3,6.78,25.3%,9.2%,65.0%,51.2%,14.8%,62.0%,61.9%,22.38%,50.51%,29.4%,28.3%,20.2%,28.2%,71.7%,15.2%,.290,.319,31.48,.009
106,671737,T. Bradley,Taj Bradley,Bradley,Taj,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,21.9,25,44,44,203.1,3212,831,54.8%,95.1,96.4,20.7,6.02,25.8%,7.2%,64.8%,51.5%,16.3%,64.7%,59.3%,21.13%,52.82%,28.1%,28.2%,21.6%,29.3%,71.8%,17.9%,.290,.291,30.11,.009
107,681035,C. Scott,Christian Scott,Scott,Christian,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,R,R,24.0,26,49,40,202.1,3231,818,37.2%,94.3,95.2,17.2,6.67,31.3%,5.9%,67.0%,51.6%,16.3%,64.2%,64.2%,22.67%,56.53%,31.9%,31.8%,24.3%,31.9%,68.2%,13.5%,.246,.279,56.84,.018
107,702273,N. Schultz,Noah Schultz,Schultz,Noah,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,L,L,21.2,22,53,52,202.1,3267,836,11.3%,94.2,96.2,11.0,6.01,29.7%,9.2%,63.9%,52.5%,15.1%,62.7%,59.5%,27.59%,58.15%,31.5%,29.6%,21.3%,26.8%,70.4%,13.3%,.261,.284,43.23,.013
109,669438,M. Englert,Mason Englert,Englert,Mason,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Durham Bulls,DUR,234,Durham,AAA,TB,S,R,24.1,26,79,30,201.2,3287,823,29.3%,92.4,93.1,16.5,5.95,30.1%,7.0%,65.8%,46.9%,16.8%,65.1%,64.2%,23.38%,54.38%,32.2%,34.2%,25.0%,34.8%,65.8%,16.3%,.263,.287,50.10,.015
