Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
18,696062,W. Dotel,Wilber Dotel,Dotel,Wilber,P,Pittsburgh Pirates,PIT,134,Pittsburgh,mlb,PIT,Indianapolis Indians,IND,484,Indianapolis,AAA,PIT,R,R,21.6,23,87,79,363.2,6167,1576,28.5%,95.0,97.0,16.5,6.38,22.0%,11.0%,62.4%,49.2%,17.8%,59.6%,56.7%,19.50%,45.74%,27.0%,26.6%,19.9%,26.5%,73.4%,14.4%,.303,.314,48.83,.008
19,700712,W. Urena,Walbert Urena,Urena,Walbert,P,Los Angeles Angels,LAA,108,LA Angels,mlb,LAA,Salt Lake Bees,SL,561,Salt Lake,AAA,LAA,R,R,20.3,22,80,77,362.2,6266,1603,22.4%,96.3,98.3,14.8,5.60,21.1%,13.9%,58.4%,48.2%,17.8%,55.1%,52.9%,20.73%,51.44%,26.4%,27.5%,19.6%,23.8%,72.5%,13.1%,.313,.312,35.80,.006
20,686701,R. Bergert,Ryan Bergert,Bergert,Ryan,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,23.7,26,84,81,361.1,6225,1557,51.2%,92.9,94.1,21.1,6.09,25.4%,9.2%,64.0%,50.1%,16.3%,60.6%,61.9%,20.54%,50.24%,29.0%,28.7%,21.4%,28.1%,71.3%,16.9%,.296,.326,45.88,.007
21,689266,D. Dodd,Dylan Dodd,Dodd,Dylan,P,Atlanta Braves,ATL,144,Atlanta,mlb,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,L,L,25.7,27,98,61,360.1,5865,1545,35.1%,92.3,93.4,17.1,6.32,23.8%,6.3%,67.5%,52.0%,13.9%,65.7%,65.7%,19.06%,46.32%,29.5%,29.1%,21.3%,32.9%,70.9%,15.7%,.293,.331,69.72,.012
22,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,L,L,23.6,25,73,70,354.0,5842,1476,49.6%,92.1,93.2,17.7,6.28,28.5%,8.5%,63.2%,48.3%,16.2%,62.2%,59.4%,24.66%,56.34%,30.0%,31.8%,21.6%,29.8%,68.2%,13.7%,.272,.294,63.30,.011
23,671212,J. Boyle,Joe Boyle,Boyle,Joe,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,24.2,26,81,77,349.2,6320,1484,53.4%,97.7,98.8,20.7,5.98,34.1%,17.3%,58.3%,44.9%,21.0%,56.0%,52.6%,30.35%,63.58%,32.0%,36.0%,25.0%,24.5%,64.0%,13.2%,.273,.280,62.93,.010
24,694477,C. Patrick,Chad Patrick,Patrick,Chad,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,25.3,27,74,68,349.0,5825,1489,38.7%,93.0,93.8,17.7,5.80,25.1%,8.5%,64.2%,49.9%,16.4%,62.0%,65.0%,21.36%,50.43%,27.6%,27.3%,21.6%,28.6%,72.7%,17.1%,.289,.322,51.81,.009
25,687924,J. Aguiar,Julian Aguiar,Aguiar,Julian,P,Cincinnati Reds,CIN,113,Cincinnati,mlb,CIN,Louisville Bats,LOU,416,Louisville,AAA,CIN,L,R,22.2,24,75,67,348.1,5504,1457,11.9%,94.3,95.4,14.4,5.94,24.6%,6.9%,65.8%,53.1%,15.7%,65.5%,59.9%,21.99%,49.84%,30.0%,26.9%,19.6%,27.0%,73.1%,13.8%,.290,.301,42.39,.008
26,694918,B. Tidwell,Blade Tidwell,Tidwell,Blade,P,San Francisco Giants,SF,137,San Francisco,mlb,SF,Sacramento River Cats,SAC,105,Sacramento,AAA,SF,R,R,22.9,24,78,70,347.1,5916,1478,40.0%,94.8,96.1,18.9,6.35,27.0%,11.6%,61.7%,47.7%,19.3%,61.8%,59.4%,23.28%,55.28%,29.9%,31.1%,23.3%,26.7%,68.9%,16.6%,.284,.303,55.81,.009
27,805123,A. Blubaugh,AJ Blubaugh,Blubaugh,AJ,P,Houston Astros,HOU,117,Houston,mlb,HOU,Sugar Land Space Cowboys,SUG,5434,Sugar Land,AAA,HOU,R,R,23.8,25,82,59,346.1,6014,1493,47.1%,92.6,93.9,18.5,6.39,24.8%,10.7%,62.8%,46.7%,19.0%,61.4%,59.4%,19.73%,50.08%,27.9%,26.8%,18.9%,29.5%,73.2%,16.8%,.297,.316,42.35,.007
