Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786698,2025-06-29 17:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,233,CHS,CHS,L 1-3,CLE,TB,20.4,21,1,1,5.0,73,18,23.3%,91.0,91.4,14.1,6.06,27.8%,11.1%,63.0%,49.3%,20.5%,55.6%,66.7%,25.00%,44.44%,34.2%,32.3%,18.2%,24.3%,67.7%,9.1%,.255,.224,1.12,.015,RiverDogs,HC vs. CHS (2025-06-29)<br>L 1-3,6/29/25
12,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786703,2025-06-24 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,233,CHS,CHS,W 6-4,CLE,TB,20.4,21,1,1,3.2,82,19,12.2%,91.5,92.2,14.4,6.03,15.8%,21.1%,52.4%,41.5%,22.0%,42.1%,52.6%,25.00%,37.50%,26.8%,30.0%,28.6%,18.8%,70.0%,25.0%,.308,.414,0.14,.002,RiverDogs,HC vs. CHS (2025-06-24)<br>W 6-4,6/24/25
13,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786842,2025-06-18 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,478,AUG,AUG,L 6-9,CLE,ATL,20.4,21,1,1,1.2,46,12,6.5%,91.3,92.5,12.0,6.23,16.7%,0.0%,69.6%,56.5%,10.9%,58.3%,50.0%,40.00%,16.67%,30.4%,25.0%,15.8%,25.0%,75.0%,20.0%,.329,.458,-0.00,-.000,GreenJackets,HC vs. AUG (2025-06-18)<br>L 6-9,6/18/25
14,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786243,2025-06-12 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,249,WIL,WIL,W 13-1,CLE,MIL,20.4,21,1,0,5.0,58,20,34.5%,90.9,91.4,13.5,6.02,10.0%,10.0%,62.1%,53.4%,12.1%,60.0%,40.0%,0.00%,40.00%,25.9%,19.2%,13.6%,14.8%,80.8%,6.3%,.229,.260,1.70,.029,Mudcats,HC vs. WIL (2025-06-12)<br>W 13-1,6/12/25
15,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786125,2025-06-06 18:35:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 8-5,CLE,BOS,20.4,21,1,1,6.0,78,22,20.5%,91.5,91.4,13.2,6.21,27.3%,4.5%,62.8%,48.7%,24.4%,54.5%,63.6%,55.56%,83.33%,29.5%,40.9%,25.0%,30.0%,59.1%,26.7%,.197,.277,2.11,.027,Red Sox,HC vs. SAL (2025-06-06)<br>W 8-5,6/6/25
16,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786247,2025-05-31 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,436,FBG,FBG,W 8-5,CLE,WSH,20.4,21,1,1,3.0,70,18,28.6%,90.6,90.9,13.6,6.19,5.6%,22.2%,52.9%,48.6%,27.1%,38.9%,50.0%,0.00%,25.00%,22.9%,25.0%,17.4%,13.9%,75.0%,23.1%,.460,.460,-1.07,-.015,Nationals,HC vs. FBG (2025-05-31)<br>W 8-5,5/31/25
17,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786514,2025-05-25 17:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,3712,FAY,FAY,W 8-0,CLE,HOU,20.4,21,1,1,6.0,75,20,21.3%,90.6,91.0,12.7,6.15,35.0%,5.0%,69.3%,46.7%,9.3%,85.0%,65.0%,14.29%,55.56%,40.0%,35.3%,29.4%,42.5%,64.7%,8.3%,.192,.123,1.97,.026,Woodpeckers,HC vs. FAY (2025-05-25)<br>W 8-0,5/25/25
18,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786519,2025-05-20 18:35:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,3712,FAY,FAY,L 2-3 (10),CLE,HOU,20.4,21,1,1,4.2,77,19,26.0%,90.6,91.0,12.0,5.94,31.6%,5.3%,58.4%,54.5%,15.6%,63.2%,57.9%,41.67%,66.67%,29.9%,29.0%,26.1%,22.9%,71.0%,18.2%,.272,.299,0.26,.003,Woodpeckers,HC vs. FAY (2025-05-20)<br>L 2-3,5/20/25
19,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786255,2025-05-14 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,521,MB,MB,W 3-2 (8),CLE,CHC,20.4,21,1,1,6.0,70,22,28.6%,90.4,91.0,12.6,5.87,22.7%,0.0%,64.3%,52.9%,17.1%,63.6%,54.5%,25.00%,57.14%,31.4%,25.8%,9.1%,27.3%,74.2%,6.7%,.244,.243,0.57,.008,Pelicans,HC vs. MB (2025-05-14)<br>W 3-2,5/14/25
20,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786458,2025-05-08 18:35:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,436,FBG,FBG,W 7-2,CLE,WSH,20.4,21,1,1,5.0,76,20,28.9%,91.1,91.4,15.6,5.78,30.0%,10.0%,69.7%,47.4%,13.2%,60.0%,70.0%,36.36%,45.45%,36.8%,30.6%,12.0%,27.5%,69.4%,0.0%,.208,.245,1.70,.022,Nationals,HC vs. FBG (2025-05-08)<br>W 7-2,5/8/25
21,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786263,2025-05-02 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,233,CHS,CHS,W 6-0,CLE,TB,20.4,21,1,1,5.1,77,19,36.4%,90.1,90.6,12.4,6.03,31.6%,15.8%,54.5%,36.4%,22.1%,47.4%,38.9%,50.00%,80.00%,35.1%,51.6%,31.6%,24.5%,48.4%,0.0%,.177,.115,2.02,.026,RiverDogs,HC vs. CHS (2025-05-02)<br>W 6-0,5/2/25
22,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786266,2025-04-26 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,3712,FAY,FAY,L 0-2,CLE,HOU,20.4,21,1,0,4.0,70,17,27.1%,90.2,90.6,13.9,5.93,41.2%,5.9%,68.6%,54.3%,14.3%,64.7%,70.6%,44.44%,63.64%,44.3%,51.4%,40.0%,31.3%,48.6%,33.3%,.216,.270,1.70,.024,Woodpeckers,HC vs. FAY (2025-04-26)<br>L 0-2,4/26/25
23,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786137,2025-04-20 13:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 5-2,CLE,BOS,20.4,21,1,0,5.0,68,17,30.9%,91.4,91.7,12.3,6.18,35.3%,5.9%,63.2%,48.5%,16.2%,52.9%,47.1%,40.00%,55.56%,36.8%,41.9%,33.3%,28.6%,58.1%,0.0%,.132,.092,2.40,.035,Red Sox,HC vs. SAL (2025-04-20)<br>W 5-2,4/20/25
24,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786143,2025-04-15 16:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 10-8,CLE,BOS,20.4,21,1,1,4.0,75,21,28.0%,89.6,90.1,11.7,6.30,19.0%,14.3%,54.7%,45.3%,21.3%,57.1%,57.1%,11.11%,57.14%,26.7%,27.6%,19.0%,19.5%,72.4%,16.7%,.309,.410,0.36,.005,Red Sox,HC vs. SAL (2025-04-15)<br>W 10-8,4/15/25
25,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786276,2025-04-09 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,487,KAN,KAN,L 1-5,CLE,CWS,20.4,21,1,1,2.2,64,15,31.3%,89.3,89.9,12.1,6.64,6.7%,20.0%,54.7%,40.6%,28.1%,60.0%,46.7%,0.00%,0.00%,23.4%,16.7%,14.3%,26.3%,83.3%,10.0%,.320,.434,0.56,.009,Cannon Ballers,HC vs. KAN (2025-04-09)<br>L 1-5,4/9/25
