Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786704,2025-06-25 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,481,HC,HC,W 7-0 (8),TB,CLE,20,1,6.0,79,19,60.8%,94.9,96.6,20.1,6.32,42.1%,5.3%,65.8%,53.2%,12.7%,68.4%,57.9%,30.00%,72.73%,32.9%,33.3%,32.1%,29.7%,66.7%,0.0%,.139,.036,2.49,.031,Hillcats,CHS vs. HC (2025-06-25)<br>W 7-0,6/25/25
12,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786303,2025-06-18 19:00:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 14-5,TB,CWS,20,1,5.0,88,25,52.3%,95.1,96.4,21.3,5.03,20.0%,12.0%,63.6%,45.5%,10.2%,52.0%,64.0%,12.50%,55.56%,33.0%,34.1%,29.6%,29.2%,65.9%,0.0%,.229,.324,2.31,.026,Cannon Ballers,CHS vs. KAN (2025-06-18)<br>W 14-5,6/18/25
13,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786710,2025-06-11 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 7-3,TB,ATL,20,1,4.2,87,21,31.0%,94.1,95.2,20.3,6.39,4.8%,23.8%,49.4%,39.1%,21.8%,38.1%,42.9%,8.33%,25.00%,17.2%,12.5%,9.1%,18.9%,87.5%,6.7%,.441,.430,-1.31,-.015,GreenJackets,CHS vs. AUG (2025-06-11)<br>W 7-3,6/11/25
14,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786775,2025-06-04 18:30:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 8-5 (13),TB,MIL,20,1,2.0,26,7,50.0%,92.9,94.5,20.2,6.27,28.6%,14.3%,61.5%,50.0%,7.7%,71.4%,57.1%,33.33%,66.67%,26.9%,30.8%,22.2%,30.8%,69.2%,0.0%,.144,.098,1.07,.041,Mudcats,CHS vs. WIL (2025-06-04)<br>W 8-5,6/4/25
15,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786713,2025-05-28 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 7-4,TB,CWS,20,1,5.2,90,24,42.2%,94.9,96.3,19.8,6.31,20.8%,16.7%,64.4%,58.9%,12.2%,79.2%,58.3%,11.76%,40.00%,30.0%,27.9%,22.2%,18.9%,72.1%,13.3%,.289,.262,1.82,.020,Cannon Ballers,CHS vs. KAN (2025-05-28)<br>W 7-4,5/28/25
16,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786846,2025-05-21 19:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 4-5,TB,ATL,20,1,5.1,92,22,37.0%,94.9,95.7,20.2,6.08,13.6%,4.5%,57.6%,50.0%,12.0%,59.1%,40.9%,6.67%,60.00%,19.6%,18.6%,15.6%,23.9%,81.4%,11.1%,.235,.299,1.05,.011,GreenJackets,CHS vs. AUG (2025-05-21)<br>L 4-5,5/21/25
17,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786723,2025-05-14 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,414,SAL,SAL,W 4-2,TB,BOS,20,1,5.2,92,22,38.0%,94.7,96.6,19.4,6.04,13.6%,9.1%,57.6%,48.9%,15.2%,54.5%,45.5%,8.33%,30.00%,23.9%,29.5%,20.6%,21.3%,70.5%,17.6%,.203,.320,2.27,.025,Red Sox,CHS vs. SAL (2025-05-14)<br>W 4-2,5/14/25
18,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786728,2025-05-07 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-2,TB,KC,20,1,6.0,73,19,56.2%,94.3,95.6,20.7,6.36,15.8%,0.0%,65.8%,54.8%,11.0%,78.9%,65.0%,11.11%,33.33%,27.4%,17.6%,18.5%,21.2%,82.4%,12.5%,.179,.112,1.94,.027,Fireflies,CHS vs. COL (2025-05-07)<br>W 3-2,5/7/25
19,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786262,2025-05-01 18:30:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,481,HC,HC,L 2-8,TB,CLE,20,1,3.0,60,17,38.3%,95.7,96.5,17.1,6.15,17.6%,17.6%,56.7%,56.7%,18.3%,41.2%,70.6%,75.00%,40.00%,18.3%,17.9%,16.0%,11.5%,82.1%,9.1%,.357,.496,-0.18,-.003,Hillcats,CHS vs. HC (2025-05-01)<br>L 2-8,5/1/25
20,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786472,2025-04-24 18:35:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,436,FBG,FBG,W 6-0,TB,WSH,20,1,5.0,74,21,66.2%,94.8,96.3,18.5,6.18,33.3%,9.5%,67.6%,52.7%,12.2%,71.4%,66.7%,37.50%,75.00%,32.4%,35.0%,30.0%,28.6%,65.0%,16.7%,.227,.192,1.68,.023,Nationals,CHS vs. FBG (2025-04-24)<br>W 6-0,4/24/25
21,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786734,2025-04-17 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,448,HIC,HIC,W 6-1,TB,TEX,20,1,4.2,87,19,31.0%,94.9,96.7,19.0,6.15,26.3%,26.3%,57.5%,43.7%,18.4%,73.7%,63.2%,15.00%,57.14%,24.1%,23.7%,12.0%,26.5%,76.3%,0.0%,.345,.181,0.38,.004,Crawdads,CHS vs. HIC (2025-04-17)<br>W 6-1,4/17/25
22,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786671,2025-04-11 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3705,COL,COL,W 7-3,TB,KC,20,1,5.0,77,21,45.5%,94.8,96.2,19.8,5.99,19.0%,4.8%,66.2%,53.2%,9.1%,61.9%,59.1%,33.33%,44.44%,23.4%,21.4%,16.7%,33.3%,78.6%,12.5%,.197,.327,2.28,.030,Fireflies,CHS vs. COL (2025-04-11)<br>W 7-3,4/11/25
23,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786733,2025-04-04 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 2-13,TB,CHC,20,1,2.1,65,14,52.3%,97.0,98.8,19.9,6.05,42.9%,28.6%,58.5%,49.2%,13.8%,50.0%,71.4%,25.00%,83.33%,27.7%,35.5%,21.1%,36.4%,64.5%,25.0%,.311,.412,1.09,.017,Pelicans,CHS vs. MB (2025-04-04)<br>L 2-13,4/4/25
