Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760586,2024-06-23 12:00:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 3-6,DET,PIT,21.8,23,1,1,4.0,69,16,29.0%,92.1,92.8,17.2,6.79,50.0%,25.0%,56.5%,30.4%,23.2%,56.3%,50.0%,75.00%,100.00%,37.7%,59.4%,23.1%,39.6%,40.6%,0.0%,.180,.172,2.07,.030,Marauders,LAK vs. BRD (2024-06-23)<br>L 3-6,6/23/24
12,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760329,2024-06-16 15:04:00 (2),LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,509,FTM,FTM,W 6-2 (7),DET,MIN,21.8,23,1,1,5.0,83,23,25.3%,92.3,92.7,16.7,6.64,17.4%,8.7%,65.1%,51.8%,22.9%,69.6%,65.2%,25.00%,36.36%,30.1%,21.6%,10.3%,20.0%,78.4%,21.4%,.265,.301,0.72,.009,Mighty Mussels,LAK vs. FTM (2024-06-16)<br>W 6-2,6/16/24
13,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760197,2024-06-08 18:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,479,JUP,JUP,L 3-6,DET,MIA,21.8,23,1,1,4.0,87,19,24.1%,91.9,92.8,16.8,6.92,26.3%,26.3%,60.9%,49.4%,21.8%,68.4%,52.6%,12.50%,55.56%,29.9%,32.5%,28.6%,27.3%,67.5%,11.1%,.414,.402,-0.04,-.000,Hammerheads,LAK vs. JUP (2024-06-08)<br>L 3-6,6/8/24
14,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760533,2024-06-01 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 2-0,DET,PHI,21.8,23,1,1,4.1,81,17,58.0%,92.7,93.6,17.4,6.88,17.6%,23.5%,56.8%,39.5%,18.5%,58.8%,41.2%,14.29%,42.86%,29.6%,33.3%,14.3%,24.5%,66.7%,0.0%,.221,.162,1.96,.024,Threshers,LAK vs. CLR (2024-06-01)<br>W 2-0,6/1/24
15,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760206,2024-05-25 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,279,PMB,PMB,W 8-3,DET,STL,21.8,23,1,1,4.2,79,18,41.8%,92.5,93.2,16.7,6.93,33.3%,16.7%,60.8%,40.5%,31.6%,55.6%,44.4%,33.33%,57.14%,32.9%,35.3%,19.0%,27.7%,64.7%,11.1%,.234,.282,1.26,.016,Cardinals,LAK vs. PMB (2024-05-25)<br>W 8-3,5/25/24
16,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760209,2024-05-18 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,509,FTM,FTM,W 5-2,DET,MIN,21.8,23,1,1,5.0,71,16,43.7%,93.1,94.2,18.2,6.95,18.8%,18.8%,57.7%,39.4%,22.5%,43.8%,52.9%,25.00%,40.00%,23.9%,25.0%,20.0%,27.9%,75.0%,10.0%,.228,.184,1.52,.021,Mighty Mussels,LAK vs. FTM (2024-05-18)<br>W 5-2,5/18/24
17,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760476,2024-05-11 18:35:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,450,DBT,DBT,W 6-0,DET,CIN,21.8,23,1,1,5.0,69,17,53.6%,93.0,93.9,18.3,6.30,52.9%,5.9%,66.7%,40.6%,23.2%,70.6%,82.4%,46.15%,87.50%,34.8%,43.6%,34.8%,39.0%,56.4%,0.0%,.105,.135,2.46,.036,Tortugas,LAK vs. DBT (2024-05-11)<br>W 6-0,5/11/24
18,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760215,2024-05-04 18:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,566,CLR,CLR,L 1-4,DET,PHI,21.8,23,1,1,4.0,64,18,46.9%,93.5,94.9,16.7,6.95,5.6%,16.7%,59.4%,51.6%,14.1%,61.1%,50.0%,0.00%,25.00%,18.8%,10.3%,4.2%,16.1%,89.7%,7.7%,.345,.253,0.20,.003,Threshers,LAK vs. CLR (2024-05-04)<br>L 1-4,5/4/24
19,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760018,2024-04-27 18:30:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,587,TAM,TAM,L 2-10,DET,NYY,21.8,23,1,1,3.0,51,14,19.6%,94.2,95.2,15.9,6.99,28.6%,7.1%,78.4%,37.3%,13.7%,64.3%,78.6%,28.57%,44.44%,35.3%,29.0%,0.0%,53.1%,71.0%,22.2%,.351,.378,0.11,.002,Tarpons,LAK vs. TAM (2024-04-27)<br>L 2-10,4/27/24
20,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760153,2024-04-20 18:00:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,279,PMB,PMB,L 1-6,DET,STL,21.8,23,1,0,3.0,60,14,56.7%,93.9,95.3,17.9,6.74,7.1%,7.1%,63.3%,43.3%,21.7%,50.0%,60.0%,0.00%,14.29%,28.3%,22.2%,0.0%,29.4%,77.8%,36.4%,.521,.432,-2.12,-.035,Cardinals,LAK vs. PMB (2024-04-20)<br>L 1-6,4/20/24
21,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760224,2024-04-13 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,3390,BRD,BRD,W 4-3,DET,PIT,21.8,23,1,1,2.1,64,13,48.4%,91.6,92.8,18.9,6.67,30.8%,23.1%,57.8%,42.2%,21.9%,38.5%,42.9%,25.00%,66.67%,26.6%,33.3%,30.0%,27.0%,66.7%,0.0%,.282,.295,0.84,.013,Marauders,LAK vs. BRD (2024-04-13)<br>W 4-3,4/13/24
22,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760425,2024-04-06 18:30:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 2-7,DET,TOR,21.8,23,1,1,3.0,67,13,44.8%,92.4,94.2,18.6,6.70,23.1%,30.8%,49.3%,43.3%,19.4%,38.5%,50.0%,20.00%,33.33%,26.9%,21.1%,13.3%,10.5%,78.9%,0.0%,.267,.348,0.71,.011,Blue Jays,LAK vs. DUN (2024-04-06)<br>L 2-7,4/6/24
