Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754370,2024-06-30 13:35:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 0-2,TB,ATL,19.5,21,1,1,7.0,86,26,47.7%,94.6,95.8,19.1,7.01,15.4%,3.8%,74.4%,60.5%,5.8%,65.4%,61.5%,22.22%,33.33%,24.4%,23.2%,14.6%,44.1%,76.8%,4.8%,.264,.270,2.13,.025,GreenJackets,CHS vs. AUG (2024-06-30)<br>L 0-2,6/30/24
12,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754243,2024-06-23 17:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,481,HC,HC,L 5-7,TB,CLE,19.5,21,1,1,5.0,80,20,68.8%,94.4,95.8,19.9,6.93,15.0%,15.0%,63.7%,48.8%,8.8%,75.0%,60.0%,8.33%,37.50%,12.5%,12.8%,6.3%,36.6%,87.2%,7.1%,.283,.263,1.20,.015,Hillcats,CHS vs. HC (2024-06-23)<br>L 5-7,6/23/24
13,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754050,2024-06-16 13:00:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,485,DE,DE,W 4-0,TB,TEX,19.5,21,1,1,5.0,60,16,53.3%,95.2,96.0,19.3,6.24,43.8%,0.0%,75.0%,65.0%,6.7%,75.0%,50.0%,50.00%,75.00%,36.7%,42.5%,33.3%,61.9%,57.5%,12.5%,.075,.078,3.87,.064,Wood Ducks,CHS vs. DE (2024-06-16)<br>W 4-0,6/16/24
14,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754254,2024-06-06 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 7-0,TB,MIL,19.5,21,1,1,6.0,91,20,47.3%,94.1,94.8,18.1,6.99,25.0%,0.0%,65.9%,46.2%,14.3%,50.0%,55.0%,22.22%,62.50%,27.5%,31.4%,28.6%,32.7%,68.6%,14.3%,.191,.088,2.14,.024,Mudcats,CHS vs. WIL (2024-06-06)<br>W 7-0,6/6/24
15,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753723,2024-05-31 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,521,MB,MB,W 5-3,TB,CHC,19.5,21,1,1,5.0,85,20,55.3%,95.0,96.1,20.4,6.58,50.0%,5.0%,63.5%,51.8%,15.3%,65.0%,55.0%,37.50%,90.00%,35.3%,45.5%,35.7%,39.0%,54.5%,33.3%,.306,.284,0.24,.003,Pelicans,CHS vs. MB (2024-05-31)<br>W 5-3,5/31/24
16,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754261,2024-05-22 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,485,DE,DE,L 5-7,TB,TEX,19.5,21,1,1,4.2,76,23,50.0%,93.2,94.8,20.0,6.89,21.7%,4.3%,71.1%,59.2%,11.8%,47.8%,73.9%,36.36%,44.44%,26.3%,20.9%,6.5%,38.7%,79.1%,47.1%,.429,.438,-1.68,-.022,Wood Ducks,CHS vs. DE (2024-05-22)<br>L 5-7,5/22/24
17,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754191,2024-05-15 12:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,3705,COL,COL,L 5-9,TB,KC,19.5,21,1,1,4.1,73,23,67.1%,93.8,95.1,19.5,6.90,13.0%,0.0%,72.6%,57.5%,4.1%,56.5%,78.3%,20.00%,33.33%,23.3%,16.3%,9.7%,38.7%,83.7%,20.0%,.414,.577,-1.36,-.019,Fireflies,CHS vs. COL (2024-05-15)<br>L 5-9,5/15/24
18,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754268,2024-05-08 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,436,FBG,FBG,L 2-4,TB,WSH,19.5,21,1,1,6.0,87,23,46.0%,93.9,94.9,18.2,6.82,30.4%,0.0%,77.0%,57.5%,11.5%,78.3%,69.6%,20.00%,42.86%,27.6%,25.9%,22.5%,48.6%,74.1%,25.0%,.253,.348,1.59,.018,Nationals,CHS vs. FBG (2024-05-08)<br>L 2-4,5/8/24
19,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754399,2024-05-01 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 5-4,TB,ATL,19.5,21,1,1,6.0,80,21,56.3%,94.4,95.5,19.9,6.64,23.8%,4.8%,66.3%,57.5%,13.8%,71.4%,52.4%,33.33%,36.36%,35.0%,34.2%,24.1%,26.5%,65.8%,6.7%,.195,.201,2.46,.031,GreenJackets,CHS vs. AUG (2024-05-01)<br>W 5-4,5/1/24
20,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753873,2024-04-25 18:30:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 4-9,TB,CWS,19.5,21,1,1,2.0,48,12,70.8%,94.7,96.4,21.2,6.35,0.0%,0.0%,62.5%,43.8%,8.3%,50.0%,50.0%,0.00%,0.00%,16.7%,15.4%,11.8%,33.3%,84.6%,8.3%,.335,.441,0.00,.000,Cannon Ballers,CHS vs. KAN (2024-04-25)<br>L 4-9,4/25/24
21,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754269,2024-04-18 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,3705,COL,COL,L 3-7,TB,KC,19.5,21,1,1,6.0,78,23,48.7%,93.9,94.7,19.5,6.78,17.4%,4.3%,74.4%,52.6%,10.3%,73.9%,73.9%,25.00%,33.33%,26.9%,21.3%,18.2%,37.8%,78.7%,11.1%,.241,.311,1.88,.024,Fireflies,CHS vs. COL (2024-04-18)<br>L 3-7,4/18/24
22,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754012,2024-04-12 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 7-1,TB,HOU,19.5,21,1,1,5.0,61,16,68.9%,95.0,96.3,21.5,6.64,56.3%,0.0%,68.9%,59.0%,6.6%,81.3%,62.5%,71.43%,80.00%,36.1%,35.5%,27.3%,36.0%,64.5%,33.3%,.105,.110,2.08,.034,Woodpeckers,CHS vs. FAY (2024-04-12)<br>W 7-1,4/12/24
23,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754277,2024-04-05 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 2-0,TB,CWS,19.5,21,1,1,5.0,59,16,54.2%,94.6,95.9,20.2,6.81,37.5%,0.0%,72.9%,64.4%,1.7%,93.8%,68.8%,11.11%,66.67%,37.3%,36.4%,29.2%,42.9%,63.6%,30.0%,.239,.055,1.24,.021,Cannon Ballers,CHS vs. KAN (2024-04-05)<br>W 2-0,4/5/24
