Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754309,2024-06-15 17:00:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 4-6,MIL,WSH,18.9,20,1,4.0,74,17,50.0%,92.9,93.6,17.8,6.44,35.3%,11.8%,64.9%,55.4%,20.3%,76.5%,70.6%,16.67%,66.67%,31.1%,34.2%,26.7%,24.2%,65.8%,11.1%,.263,.289,0.92,.012,Nationals,WIL vs. FBG (2024-06-15)<br>L 4-6,6/15/24
12,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754257,2024-06-07 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,233,CHS,CHS,W 7-4,MIL,TB,18.9,20,1,5.0,72,21,50.0%,92.7,93.5,17.6,6.40,19.0%,23.8%,59.7%,40.3%,23.6%,61.9%,70.0%,25.00%,80.00%,19.4%,21.6%,11.5%,25.6%,78.4%,9.1%,.379,.332,-0.43,-.006,RiverDogs,WIL vs. CHS (2024-06-07)<br>W 7-4,6/7/24
13,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754318,2024-05-31 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 4-2,MIL,BAL,18.9,20,1,5.0,73,20,38.4%,93.5,94.3,18.9,6.39,25.0%,10.0%,65.8%,34.2%,15.1%,65.0%,75.0%,27.27%,44.44%,26.0%,31.0%,30.0%,45.8%,69.0%,15.4%,.281,.308,0.87,.012,Shorebirds,WIL vs. DEL (2024-05-31)<br>W 4-2,5/31/24
14,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754324,2024-05-24 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,521,MB,MB,W 12-4,MIL,CHC,18.9,20,1,4.0,65,16,58.5%,93.5,94.6,18.0,6.49,43.8%,6.3%,64.6%,46.2%,16.9%,81.3%,56.3%,25.00%,85.71%,33.8%,37.5%,23.8%,31.4%,62.5%,12.5%,.274,.349,0.01,.000,Pelicans,WIL vs. MB (2024-05-24)<br>W 12-4,5/24/24
15,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754062,2024-05-17 19:00:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,485,DE,DE,L 4-5,MIL,TEX,18.9,20,1,3.0,64,16,34.9%,93.0,93.6,17.9,5.91,37.5%,6.3%,64.1%,44.4%,23.8%,56.3%,31.3%,27.27%,75.00%,35.9%,43.8%,15.8%,34.3%,56.3%,25.0%,.301,.467,0.29,.004,Wood Ducks,WIL vs. DE (2024-05-17)<br>L 4-5,5/17/24
16,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753997,2024-05-10 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 0-6,MIL,HOU,18.9,20,1,4.1,57,16,38.6%,93.2,93.7,19.3,6.47,12.5%,12.5%,61.4%,54.4%,17.5%,56.3%,64.7%,40.00%,33.33%,22.8%,15.4%,14.3%,19.2%,84.6%,8.3%,.375,.275,-0.40,-.007,Woodpeckers,WIL vs. FAY (2024-05-10)<br>L 0-6,5/10/24
17,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754328,2024-05-03 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,3705,COL,COL,L 1-9,MIL,KC,18.9,20,1,3.0,58,13,56.9%,93.9,94.3,16.3,6.50,15.4%,15.4%,58.6%,43.1%,20.7%,53.8%,46.2%,0.00%,20.00%,25.9%,17.4%,13.3%,24.2%,82.6%,0.0%,.285,.270,0.44,.008,Fireflies,WIL vs. COL (2024-05-03)<br>L 1-9,5/3/24
18,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754334,2024-04-26 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,414,SAL,SAL,L 1-3,MIL,BOS,18.9,20,1,3.1,60,15,48.3%,93.6,94.6,19.2,6.36,40.0%,26.7%,55.0%,41.7%,16.7%,66.7%,46.7%,16.67%,83.33%,31.7%,39.1%,41.7%,31.4%,60.9%,20.0%,.221,.243,1.36,.023,Red Sox,WIL vs. SAL (2024-04-26)<br>L 1-3,4/26/24
19,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754403,2024-04-19 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,478,AUG,AUG,W 5-3,MIL,ATL,18.9,20,1,2.1,54,10,40.7%,92.9,93.9,18.0,6.43,30.0%,20.0%,55.6%,50.0%,24.1%,60.0%,50.0%,20.00%,50.00%,27.8%,16.7%,14.3%,14.8%,83.3%,0.0%,.243,.351,0.74,.014,GreenJackets,WIL vs. AUG (2024-04-19)<br>W 5-3,4/19/24
20,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754342,2024-04-12 12:05:00 (1),WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,485,DE,DE,W 6-0 (7),MIL,TEX,18.9,20,1,3.0,53,12,43.4%,94.0,94.7,20.6,6.48,25.0%,16.7%,64.2%,45.3%,13.2%,83.3%,75.0%,5.56%,100.00%,32.1%,26.1%,14.3%,31.0%,73.9%,0.0%,.237,.188,1.32,.025,Wood Ducks,WIL vs. DE (2024-04-12)<br>W 6-0,4/12/24
21,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753684,2024-04-05 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,414,SAL,SAL,W 6-4 (10),MIL,BOS,18.9,20,1,3.0,53,14,62.3%,91.9,92.8,18.3,6.51,28.6%,14.3%,54.7%,37.7%,22.6%,57.1%,42.9%,28.57%,75.00%,26.4%,28.6%,13.3%,18.2%,71.4%,0.0%,.246,.276,0.36,.007,Red Sox,WIL vs. SAL (2024-04-05)<br>W 6-4,4/5/24
