Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785649,2025-06-27 18:30:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 1-0,DET,PHI,20.9,21,1,1,4.2,78,21,47.4%,91.2,92.0,18.0,6.73,23.8%,19.0%,61.5%,48.7%,21.8%,66.7%,76.2%,33.33%,55.56%,35.9%,41.2%,20.8%,25.0%,58.8%,0.0%,.301,.173,1.22,.016,Threshers,LAK vs. CLR (2025-06-27)<br>W 1-0,6/27/25
12,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785785,2025-06-20 19:05:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 5-6,DET,MIN,20.9,21,1,0,3.0,54,13,48.1%,91.9,92.7,18.7,6.59,30.8%,7.7%,72.2%,55.6%,11.1%,53.8%,69.2%,12.50%,50.00%,44.4%,31.8%,18.8%,25.0%,68.2%,14.3%,.255,.312,0.84,.016,Mighty Mussels,LAK vs. FTM (2025-06-20)<br>L 5-6,6/20/25
13,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785584,2025-06-13 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,279,PMB,PMB,W 10-7 (10),DET,STL,20.9,21,1,0,5.0,81,21,45.7%,91.1,92.0,18.6,6.66,28.6%,4.8%,71.6%,58.0%,9.9%,81.0%,57.1%,20.00%,38.46%,30.9%,19.5%,16.7%,32.4%,80.5%,7.1%,.177,.194,2.55,.031,Cardinals,LAK vs. PMB (2025-06-13)<br>W 10-7,6/13/25
14,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785660,2025-06-06 18:30:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,450,DBT,DBT,L 8-10 (10),DET,CIN,20.9,21,1,1,5.0,72,22,47.2%,91.4,92.2,18.8,6.60,31.8%,0.0%,72.2%,61.1%,12.5%,50.0%,77.3%,16.67%,70.00%,36.1%,33.3%,23.3%,32.1%,66.7%,13.3%,.268,.355,0.71,.010,Tortugas,LAK vs. DBT (2025-06-06)<br>L 8-10,6/6/25
15,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,786056,2025-05-30 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,3390,BRD,BRD,W 9-3,DET,PIT,20.9,21,1,1,5.0,74,21,37.8%,91.3,91.8,18.8,6.43,38.1%,4.8%,71.6%,47.3%,20.3%,81.0%,76.2%,50.00%,66.67%,43.2%,46.2%,27.3%,43.6%,53.8%,18.2%,.179,.211,2.56,.035,Marauders,LAK vs. BRD (2025-05-30)<br>W 9-3,5/30/25
16,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785662,2025-05-22 18:30:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,509,FTM,FTM,W 4-1,DET,MIN,20.9,21,1,1,3.1,61,13,55.7%,91.8,92.3,18.7,6.67,46.2%,7.7%,70.5%,57.4%,14.8%,61.5%,61.5%,25.00%,66.67%,31.1%,20.0%,15.0%,38.5%,80.0%,0.0%,.154,.121,1.67,.027,Mighty Mussels,LAK vs. FTM (2025-05-22)<br>W 4-1,5/22/25
17,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785993,2025-05-15 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 4-0,DET,PHI,20.9,21,1,1,5.0,71,17,60.6%,90.3,91.3,19.3,6.67,41.2%,0.0%,62.0%,50.7%,19.7%,58.8%,52.9%,33.33%,55.56%,35.2%,32.1%,23.5%,31.4%,67.9%,11.1%,.090,.116,2.19,.031,Threshers,LAK vs. CLR (2025-05-15)<br>W 4-0,5/15/25
18,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,786067,2025-05-07 18:30:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 3-12,DET,PIT,20.9,21,1,1,4.0,64,19,34.4%,89.6,90.1,18.0,6.52,26.3%,10.5%,62.5%,46.9%,23.4%,52.6%,57.9%,0.00%,62.50%,32.8%,44.1%,29.2%,29.4%,55.9%,16.7%,.308,.386,0.48,.008,Marauders,LAK vs. BRD (2025-05-07)<br>L 3-12,5/7/25
19,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785932,2025-04-30 18:35:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,450,DBT,DBT,W 5-1,DET,CIN,20.9,21,1,1,4.0,53,15,58.5%,91.5,92.2,21.6,6.08,40.0%,0.0%,71.7%,54.7%,13.2%,53.3%,85.7%,20.00%,66.67%,32.1%,32.3%,23.8%,41.7%,67.7%,0.0%,.114,.224,2.20,.041,Tortugas,LAK vs. DBT (2025-04-30)<br>W 5-1,4/30/25
20,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785676,2025-04-23 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,3390,BRD,BRD,W 5-2,DET,PIT,20.9,21,1,0,2.0,39,9,71.8%,92.0,92.9,18.1,6.71,33.3%,11.1%,69.2%,64.1%,12.8%,55.6%,83.3%,15.38%,100.00%,25.6%,10.5%,6.3%,21.4%,89.5%,20.0%,.163,.314,1.23,.032,Marauders,LAK vs. BRD (2025-04-23)<br>W 5-2,4/23/25
21,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785873,2025-04-16 18:05:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 2-18,DET,TOR,20.9,21,1,0,0.2,31,7,58.1%,92.2,92.9,19.7,6.71,14.3%,28.6%,58.1%,51.6%,16.1%,42.9%,28.6%,0.00%,50.00%,22.6%,8.3%,10.0%,13.3%,91.7%,25.0%,.561,.616,-1.05,-.034,Blue Jays,LAK vs. DUN (2025-04-16)<br>L 2-18,4/16/25
22,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785679,2025-04-09 18:30:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,507,SLU,SLU,L 8-13 (11),DET,NYM,20.9,21,1,0,3.2,66,16,53.0%,92.1,92.9,18.5,6.55,6.3%,6.3%,63.6%,51.5%,21.2%,75.0%,68.8%,7.14%,16.67%,27.3%,22.6%,22.7%,28.1%,77.4%,7.7%,.291,.397,0.70,.011,Mets,LAK vs. SLU (2025-04-09)<br>L 8-13,4/9/25
