Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753771,2024-07-13 12:05:00 (1),HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,548,DEL,DEL,W 5-1 (7),CLE,BAL,19.0,20,1,4.1,66,18,43.9%,95.3,96.3,13.9,6.30,33.3%,5.6%,60.6%,50.0%,15.2%,61.1%,55.6%,50.00%,60.00%,27.3%,31.3%,16.0%,21.2%,68.8%,18.2%,.184,.206,1.35,.020,Shorebirds,HC vs. DEL (2024-07-13)<br>W 5-1,7/13/24
12,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753772,2024-07-05 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,414,SAL,SAL,W 6-5 (10),CLE,BOS,19.0,20,1,4.0,63,14,27.0%,94.8,95.2,15.1,6.28,50.0%,14.3%,66.7%,52.4%,12.7%,57.1%,57.1%,33.33%,85.71%,34.9%,35.5%,15.8%,40.0%,64.5%,20.0%,.241,.098,1.08,.017,Red Sox,HC vs. SAL (2024-07-05)<br>W 6-5,7/5/24
13,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754304,2024-06-30 13:00:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,249,WIL,WIL,W 4-2,CLE,MIL,19.0,20,1,3.0,57,13,45.6%,94.3,95.1,14.7,6.33,23.1%,15.4%,54.4%,43.9%,31.6%,38.5%,53.8%,37.50%,33.33%,26.3%,27.3%,27.8%,12.5%,72.7%,14.3%,.326,.367,-0.25,-.004,Mudcats,HC vs. WIL (2024-06-30)<br>W 4-2,6/30/24
14,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754307,2024-06-25 18:00:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,249,WIL,WIL,L 3-5,CLE,MIL,19.0,20,1,4.0,64,16,56.3%,94.1,95.4,13.5,6.37,37.5%,12.5%,65.6%,54.7%,6.3%,62.5%,56.3%,40.00%,71.43%,32.8%,32.3%,19.0%,34.5%,67.7%,12.5%,.194,.196,1.79,.028,Mudcats,HC vs. WIL (2024-06-25)<br>L 3-5,6/25/24
15,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754249,2024-06-18 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,233,CHS,CHS,W 16-10,CLE,TB,19.0,20,1,2.1,59,12,27.1%,94.8,96.0,16.5,6.26,25.0%,33.3%,59.3%,47.5%,16.9%,66.7%,66.7%,8.33%,42.86%,30.5%,26.1%,23.5%,19.4%,73.9%,0.0%,.329,.377,0.78,.013,RiverDogs,HC vs. CHS (2024-06-18)<br>W 16-10,6/18/24
16,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753782,2024-06-12 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,478,AUG,AUG,W 5-0,CLE,ATL,19.0,20,1,4.2,68,17,35.3%,95.0,95.6,14.9,6.33,47.1%,5.9%,61.8%,50.0%,11.8%,52.9%,64.7%,75.00%,83.33%,44.1%,50.0%,50.0%,17.6%,50.0%,25.0%,.207,.218,0.84,.012,GreenJackets,HC vs. AUG (2024-06-12)<br>W 5-0,6/12/24
17,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754121,2024-06-06 12:05:00 (1),HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,548,DEL,DEL,L 4-5 (7),CLE,BAL,19.0,20,1,4.0,60,16,55.0%,94.8,95.9,15.7,6.28,25.0%,18.8%,61.7%,48.3%,26.7%,68.8%,50.0%,0.00%,50.00%,30.0%,32.1%,20.0%,25.8%,67.9%,12.5%,.293,.373,0.80,.013,Shorebirds,HC vs. DEL (2024-06-06)<br>L 4-5,6/6/24
18,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753793,2024-05-30 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,414,SAL,SAL,L 3-8 (11),CLE,BOS,19.0,20,1,3.1,66,17,22.7%,94.9,96.2,15.7,6.43,47.1%,17.6%,59.1%,42.4%,19.7%,41.2%,76.5%,40.00%,87.50%,37.9%,36.4%,21.4%,21.1%,63.6%,16.7%,.182,.351,1.13,.017,Red Sox,HC vs. SAL (2024-05-30)<br>L 3-8,5/30/24
19,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753931,2024-05-24 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,436,FBG,FBG,W 6-2,CLE,WSH,19.0,20,1,5.0,61,17,41.0%,94.7,96.3,14.1,6.39,29.4%,5.9%,60.7%,42.6%,19.7%,70.6%,47.1%,60.00%,71.43%,24.6%,29.0%,14.3%,28.6%,71.0%,0.0%,.247,.135,0.51,.008,Nationals,HC vs. FBG (2024-05-24)<br>W 6-2,5/24/24
20,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753790,2024-05-18 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,548,DEL,DEL,L 6-7,CLE,BAL,19.0,20,1,2.1,53,12,64.2%,94.5,95.3,14.7,6.37,33.3%,41.7%,52.8%,41.5%,28.3%,41.7%,50.0%,20.00%,50.00%,30.2%,47.8%,33.3%,25.8%,52.2%,33.3%,.341,.361,0.71,.013,Shorebirds,HC vs. DEL (2024-05-18)<br>L 6-7,5/18/24
21,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754066,2024-05-11 17:00:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,485,DE,DE,L 3-4,CLE,TEX,19.0,20,1,4.2,64,16,70.3%,94.8,95.5,17.3,5.86,37.5%,6.3%,60.9%,57.8%,10.9%,68.8%,50.0%,50.00%,50.00%,42.2%,47.8%,33.3%,18.5%,52.2%,22.2%,.170,.121,1.67,.026,Wood Ducks,HC vs. DE (2024-05-11)<br>L 3-4,5/11/24
22,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753797,2024-05-05 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,487,KAN,KAN,W 5-3,CLE,CWS,19.0,20,1,4.0,64,18,28.1%,93.6,94.3,15.7,6.43,11.1%,16.7%,53.1%,42.2%,18.8%,38.9%,38.9%,0.00%,66.67%,20.3%,19.2%,14.3%,13.5%,80.8%,15.4%,.332,.331,-0.33,-.005,Cannon Ballers,HC vs. KAN (2024-05-05)<br>W 5-3,5/5/24
23,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753803,2024-04-30 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,487,KAN,KAN,W 7-6 (10),CLE,CWS,19.0,20,1,2.1,64,15,26.6%,93.8,94.7,15.6,6.33,6.7%,20.0%,59.4%,46.9%,26.6%,60.0%,66.7%,0.00%,14.29%,25.0%,24.1%,19.0%,23.5%,75.9%,9.1%,.310,.457,1.11,.017,Cannon Ballers,HC vs. KAN (2024-04-30)<br>W 7-6,4/30/24
24,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753806,2024-04-24 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,521,MB,MB,L 2-15,CLE,CHC,19.0,20,1,3.2,65,18,13.8%,93.9,94.3,15.6,6.33,27.8%,5.6%,69.2%,63.1%,7.7%,66.7%,61.1%,10.00%,44.44%,32.3%,29.4%,27.6%,20.8%,70.6%,8.3%,.396,.478,-0.69,-.011,Pelicans,HC vs. MB (2024-04-24)<br>L 2-15,4/24/24
25,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753676,2024-04-18 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,414,SAL,SAL,L 4-5,CLE,BOS,19.0,20,1,2.2,62,14,45.2%,93.2,94.7,14.5,6.34,35.7%,35.7%,45.2%,37.1%,37.1%,35.7%,28.6%,42.86%,83.33%,25.8%,45.5%,41.2%,12.8%,54.5%,25.0%,.378,.372,-0.47,-.008,Red Sox,HC vs. SAL (2024-04-18)<br>L 4-5,4/18/24
26,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753812,2024-04-12 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,436,FBG,FBG,W 12-7,CLE,WSH,19.0,20,1,3.0,61,14,16.4%,93.2,94.2,17.0,6.33,42.9%,14.3%,59.0%,45.9%,14.8%,50.0%,50.0%,36.36%,80.00%,29.5%,28.0%,17.6%,24.2%,72.0%,16.7%,.287,.308,-0.07,-.001,Nationals,HC vs. FBG (2024-04-12)<br>W 12-7,4/12/24
27,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754078,2024-04-05 19:00:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,485,DE,DE,L 6-7,CLE,TEX,19.0,20,1,3.1,63,16,50.0%,94.4,95.3,16.4,6.01,31.3%,25.0%,63.5%,48.4%,14.5%,62.5%,66.7%,25.00%,55.56%,33.3%,34.5%,16.7%,34.4%,65.5%,14.3%,.340,.416,0.90,.014,Wood Ducks,HC vs. DE (2024-04-05)<br>L 6-7,4/5/24
