Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781917,2025-08-03 14:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,440,SPR,SPR,L 2-4,SEA,STL,22.9,AA,23,1,1,5.0,66,20,27.3%,90.2,90.6,16.6,5.87,10.0%,5.0%,66.7%,55.4%,12.3%,75.0%,75.0%,9.09%,16.67%,19.7%,13.9%,3.6%,24.1%,86.1%,6.3%,.283,.310,0.35,.005,Cardinals,ARK vs. SPR (2025-08-03)<br>L 2-4,8/3/25
12,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781920,2025-07-29 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,440,SPR,SPR,L 2-3,SEA,STL,22.9,AA,23,1,1,5.2,77,21,33.8%,91.1,91.8,17.3,5.58,19.0%,4.8%,67.5%,42.9%,13.0%,66.7%,57.1%,21.43%,44.44%,32.5%,32.5%,20.8%,36.4%,67.5%,28.6%,.355,.326,-0.42,-.005,Cardinals,ARK vs. SPR (2025-07-29)<br>L 2-3,7/29/25
13,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782335,2025-07-23 19:35:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,1350,NWA,NWA,L 2-3 (11),SEA,KC,22.9,AA,23,1,1,5.0,78,21,20.5%,89.1,89.3,15.6,6.50,23.8%,4.8%,62.8%,50.0%,21.8%,76.2%,47.6%,16.67%,75.00%,32.1%,29.4%,16.0%,23.1%,70.6%,6.7%,.240,.243,0.68,.009,Naturals,ARK vs. NWA (2025-07-23)<br>L 2-3,7/23/25
14,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782336,2025-07-13 14:35:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,260,TUL,TUL,L 3-5 (10),SEA,LAD,22.9,AA,23,1,1,4.0,62,19,45.2%,88.5,89.1,19.1,6.55,10.5%,10.5%,61.3%,54.8%,11.3%,57.9%,68.4%,0.00%,33.33%,22.6%,14.3%,12.5%,14.3%,85.7%,20.0%,.281,.381,0.69,.011,Drillers,ARK vs. TUL (2025-07-13)<br>L 3-5,7/13/25
15,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782343,2025-07-08 19:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,260,TUL,TUL,W 6-4,SEA,LAD,22.9,AA,23,1,1,5.0,87,23,31.0%,89.5,89.9,19.4,6.51,8.7%,17.4%,58.6%,52.9%,20.7%,69.6%,60.9%,6.25%,0.00%,24.1%,16.7%,16.7%,14.6%,83.3%,11.8%,.245,.273,2.17,.025,Drillers,ARK vs. TUL (2025-07-08)<br>W 6-4,7/8/25
16,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782203,2025-07-02 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,540,FRI,FRI,L 6-7,SEA,TEX,22.9,AA,23,1,1,3.2,76,18,32.9%,90.8,91.2,18.5,6.20,16.7%,5.6%,65.8%,44.7%,25.0%,50.0%,50.0%,16.67%,33.33%,28.9%,28.2%,29.2%,35.7%,71.8%,14.3%,.255,.353,1.19,.016,RoughRiders,ARK vs. FRI (2025-07-02)<br>L 6-7,7/2/25
17,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782416,2025-06-26 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,5368,AMA,AMA,L 3-4 (11),SEA,AZ,22.9,AA,23,1,1,5.0,74,23,31.1%,91.6,92.4,14.7,5.97,0.0%,8.7%,59.5%,47.3%,13.5%,52.2%,56.5%,0.00%,0.00%,16.2%,8.6%,7.4%,20.5%,91.4%,30.0%,.339,.361,-0.09,-.001,Sod Poodles,ARK vs. AMA (2025-06-26)<br>L 3-4,6/26/25
18,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782347,2025-06-20 20:05:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,3898,WCH,WCH,L 2-7,SEA,MIN,22.9,AA,23,1,1,5.1,89,26,14.6%,90.0,90.3,16.0,6.63,19.2%,11.5%,65.2%,49.4%,13.5%,57.7%,69.2%,26.67%,41.67%,25.8%,18.6%,15.6%,24.4%,81.4%,44.4%,.358,.394,-0.77,-.009,Wind Surge,ARK vs. WCH (2025-06-20)<br>L 2-7,6/20/25
19,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782354,2025-06-14 19:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 3-2,SEA,KC,22.9,AA,23,1,1,5.0,73,21,32.9%,89.4,90.1,18.2,6.42,14.3%,4.8%,67.1%,47.9%,15.1%,61.9%,66.7%,18.18%,37.50%,28.8%,15.2%,9.5%,31.6%,84.8%,18.8%,.296,.253,0.30,.004,Naturals,ARK vs. NWA (2025-06-14)<br>W 3-2,6/14/25
20,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782284,2025-06-08 18:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,482,CC,CC,W 6-1,SEA,HOU,22.9,AA,23,1,1,5.0,75,20,32.0%,90.2,90.6,16.4,6.50,10.0%,15.0%,61.3%,45.3%,20.0%,75.0%,65.0%,8.33%,28.57%,28.0%,24.2%,16.7%,22.0%,75.8%,6.7%,.332,.236,0.11,.001,Hooks,ARK vs. CC (2025-06-08)<br>W 6-1,6/8/25
21,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782290,2025-06-03 19:35:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,482,CC,CC,L 5-10,SEA,HOU,22.9,AA,23,1,1,0.2,31,7,12.9%,90.2,90.2,14.9,6.74,28.6%,28.6%,58.1%,48.4%,29.0%,71.4%,71.4%,11.11%,66.67%,29.0%,25.0%,0.0%,25.0%,75.0%,33.3%,.522,.628,-0.78,-.025,Hooks,ARK vs. CC (2025-06-03)<br>L 5-10,6/3/25
22,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782362,2025-05-28 13:05:00 (1),ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,510,SA,SA,L 1-4 (7),SEA,SD,22.9,AA,23,1,1,5.0,66,19,38.5%,89.6,90.1,18.6,6.51,15.8%,10.5%,57.6%,44.6%,13.8%,63.2%,63.2%,30.00%,40.00%,25.8%,25.0%,15.0%,22.2%,75.0%,14.3%,.321,.258,-0.35,-.005,Missions,ARK vs. SA (2025-05-28)<br>L 1-4,5/28/25
23,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782086,2025-05-21 20:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 7-5,SEA,KC,22.9,AA,23,1,1,4.1,73,19,31.5%,91.2,91.7,18.1,6.73,21.1%,0.0%,64.4%,57.5%,19.2%,57.9%,75.0%,20.00%,42.86%,27.4%,27.0%,19.4%,19.4%,73.0%,13.3%,.357,.406,-0.84,-.011,Naturals,ARK vs. NWA (2025-05-21)<br>W 7-5,5/21/25
24,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781817,2025-05-15 19:35:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,3898,WCH,WCH,W 5-3,SEA,MIN,22.9,AA,23,1,1,4.0,38,13,31.6%,91.1,91.3,15.5,6.02,23.1%,0.0%,78.9%,55.3%,5.3%,92.3%,76.9%,66.67%,50.00%,28.9%,29.6%,21.1%,47.1%,70.4%,10.0%,.181,.000,1.64,.043,Wind Surge,ARK vs. WCH (2025-05-15)<br>W 5-3,5/15/25
25,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782366,2025-05-09 20:05:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,440,SPR,SPR,L 2-4,SEA,STL,22.9,AA,23,1,1,3.0,57,15,22.8%,89.7,90.3,16.8,6.47,13.3%,13.3%,56.1%,45.6%,24.6%,46.7%,53.3%,14.29%,33.33%,15.8%,17.9%,13.0%,16.1%,82.1%,18.2%,.349,.455,-0.51,-.009,Cardinals,ARK vs. SPR (2025-05-09)<br>L 2-4,5/9/25
