Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
13,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784482,2025-04-25 19:35:00,BG - AFA,2498,AFA,true,true,true,Bowling Green,BG,BG,477,GBO,GBO,W 8-6,TB,PIT,20.5,A+,21,1,1,6.0,78,24,62.8%,94.6,95.9,20.5,6.99,29.2%,0.0%,79.5%,67.9%,6.4%,79.2%,83.3%,21.43%,46.15%,37.2%,35.3%,30.8%,48.0%,64.7%,5.9%,.136,.199,3.84,.049,Grasshoppers,BG vs. GBO (2025-04-25)<br>W 8-6,4/25/25
14,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784223,2025-04-19 16:35:00,BG - AFA,2498,AFA,false,false,true,Bowling Green,BG,BG,6324,HCS,HCS,L 4-15,TB,TEX,20.5,A+,21,1,1,5.0,72,23,70.8%,95.6,96.8,20.3,6.34,26.1%,8.7%,68.1%,62.0%,14.1%,73.9%,73.9%,28.57%,60.00%,34.7%,25.0%,21.4%,14.8%,75.0%,26.7%,.302,.373,0.02,.000,Spartanburgers,BG vs. HCS (2025-04-19)<br>L 4-15,4/19/25
15,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784486,2025-04-13 14:05:00,BG - AFA,2498,AFA,true,true,true,Bowling Green,BG,BG,432,ROM,ROM,W 3-2,TB,ATL,20.5,A+,21,1,1,4.0,52,13,64.7%,94.6,96.3,19.9,7.06,38.5%,0.0%,67.3%,58.8%,3.9%,76.9%,69.2%,27.27%,66.67%,32.7%,33.3%,27.3%,23.8%,66.7%,12.5%,.140,.096,1.66,.032,Emperors,BG vs. ROM (2025-04-13)<br>W 3-2,4/13/25
16,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784492,2025-04-08 19:35:00,BG - AFA,2498,AFA,true,true,true,Bowling Green,BG,BG,432,ROM,ROM,W 10-3,TB,ATL,20.5,A+,21,1,1,3.1,80,16,68.8%,93.9,95.1,20.8,6.96,31.3%,12.5%,67.5%,55.0%,12.5%,75.0%,68.8%,17.39%,37.50%,25.0%,24.4%,22.9%,27.8%,75.6%,44.4%,.289,.348,1.17,.015,Emperors,BG vs. ROM (2025-04-08)<br>W 10-3,4/8/25
17,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754145,2024-09-06 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3705,COL,COL,W 8-0,TB,KC,19.5,A,21,1,1,5.0,64,18,56.3%,95.5,96.3,20.4,6.79,38.9%,5.6%,68.8%,50.0%,15.6%,72.2%,66.7%,66.67%,57.14%,40.6%,47.1%,39.1%,34.4%,52.9%,0.0%,.125,.136,2.90,.045,Fireflies,CHS vs. COL (2024-09-06)<br>W 8-0,9/6/24
18,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754217,2024-08-31 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 3-2,TB,HOU,19.5,A,21,1,1,6.0,81,24,55.6%,94.3,94.9,19.8,6.88,29.2%,8.3%,69.1%,55.6%,9.9%,70.8%,58.3%,18.18%,70.00%,29.6%,23.8%,19.4%,30.6%,76.2%,20.0%,.298,.253,0.60,.007,Woodpeckers,CHS vs. FAY (2024-08-31)<br>W 3-2,8/31/24
19,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754218,2024-08-24 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 1-4,TB,CHC,19.5,A,21,1,1,5.0,84,23,63.1%,93.7,95.4,21.9,6.85,17.4%,4.3%,64.3%,44.0%,8.3%,56.5%,65.2%,14.29%,50.00%,28.6%,33.3%,29.6%,38.3%,66.7%,17.6%,.283,.338,1.19,.014,Pelicans,CHS vs. MB (2024-08-24)<br>L 1-4,8/24/24
20,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753821,2024-08-17 19:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 3-4,TB,CWS,19.5,A,21,1,1,5.0,86,22,66.3%,95.3,96.3,20.3,6.17,27.3%,0.0%,70.9%,51.2%,14.0%,63.6%,60.9%,11.76%,36.36%,33.7%,30.4%,29.4%,28.6%,69.6%,0.0%,.249,.387,1.03,.012,Cannon Ballers,CHS vs. KAN (2024-08-17)<br>L 3-4,8/17/24
21,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754223,2024-08-11 14:30:00 (1),CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 4-1 (7),TB,ATL,19.5,A,21,1,1,5.0,83,20,60.4%,93.8,95.2,19.4,6.95,20.0%,15.0%,62.7%,52.1%,18.8%,60.0%,60.0%,18.75%,66.67%,18.1%,15.9%,5.0%,34.8%,84.1%,11.1%,.313,.280,1.20,.014,GreenJackets,CHS vs. AUG (2024-08-11)<br>W 4-1,8/11/24
22,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754292,2024-08-03 17:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,249,WIL,WIL,L 5-10,TB,MIL,19.5,A,21,1,1,3.2,37,12,59.5%,94.5,95.3,21.4,6.94,25.0%,8.3%,73.0%,56.8%,8.1%,75.0%,66.7%,50.00%,60.00%,40.5%,40.0%,31.3%,25.0%,60.0%,0.0%,.277,.204,0.88,.024,Mudcats,CHS vs. WIL (2024-08-03)<br>L 5-10,8/3/24
