Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780676,2025-05-31 18:45:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,534,ROC,ROC,L 6-7,CLE,WSH,24.7,AAA,25,1,1,5.0,81,23,48.1%,92.8,93.6,18.5,6.30,26.1%,8.7%,60.5%,42.0%,24.7%,69.6%,73.9%,30.77%,66.67%,28.4%,35.0%,20.0%,31.9%,65.0%,13.3%,.267,.284,0.89,.011,Red Wings,COL vs. ROC (2025-05-31)<br>L 6-7,5/31/25
12,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781593,2025-05-21 12:05:00,COL - AAA,445,AAA,true,true,true,Columbus,COL,COL,451,IOW,IOW,W 14-5,CLE,CHC,24.7,AAA,25,1,1,5.0,81,21,50.6%,91.6,92.5,17.1,6.30,14.3%,19.0%,50.6%,45.7%,18.5%,57.1%,38.1%,25.00%,50.00%,21.0%,14.3%,0.0%,11.4%,85.7%,14.3%,.306,.326,0.18,.002,Cubs,COL vs. IOW (2025-05-21)<br>W 14-5,5/21/25
13,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780768,2025-05-16 20:05:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,541,OMA,OMA,L 7-9,CLE,KC,24.7,AAA,25,1,1,5.0,85,21,35.3%,91.6,92.0,17.6,6.33,23.8%,14.3%,55.3%,41.2%,15.3%,52.4%,42.9%,28.57%,57.14%,25.9%,26.5%,18.2%,24.0%,73.5%,30.8%,.320,.320,-0.46,-.005,Storm Chasers,COL vs. OMA (2025-05-16)<br>L 7-9,5/16/25
14,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781367,2025-05-10 18:35:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,484,IND,IND,W 1-0,CLE,PIT,24.7,AAA,25,1,1,5.0,91,20,54.9%,93.1,94.3,18.0,6.34,45.0%,10.0%,62.6%,50.5%,18.7%,75.0%,50.0%,28.57%,70.00%,36.3%,42.9%,27.6%,28.9%,57.1%,0.0%,.219,.245,1.44,.016,Indians,COL vs. IND (2025-05-10)<br>W 1-0,5/10/25
15,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781589,2025-05-04 13:05:00,COL - AAA,445,AAA,true,false,true,Columbus,COL,COL,1960,STP,STP,L 2-3 (10),CLE,MIN,24.7,AAA,25,1,1,5.1,86,22,53.5%,93.2,94.0,17.7,6.34,40.9%,13.6%,61.6%,44.2%,20.9%,59.1%,54.5%,26.67%,85.71%,32.6%,37.5%,18.5%,27.1%,62.5%,10.0%,.249,.267,0.80,.009,Saints,COL vs. STP (2025-05-04)<br>L 2-3,5/4/25
16,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781145,2025-04-27 13:35:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,1410,LHV,LHV,L 2-3,CLE,PHI,24.7,AAA,25,1,1,5.0,62,18,48.4%,91.9,93.1,18.1,6.23,44.4%,5.6%,69.4%,43.5%,21.0%,72.2%,77.8%,66.67%,80.00%,40.3%,41.9%,37.5%,42.9%,58.1%,0.0%,.105,.148,2.78,.045,IronPigs,COL vs. LHV (2025-04-27)<br>L 2-3,4/27/25
17,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781155,2025-04-22 18:45:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,1410,LHV,LHV,L 3-7,CLE,PHI,24.7,AAA,25,1,1,3.1,82,21,56.1%,92.8,94.2,18.3,6.29,23.8%,19.0%,57.3%,45.1%,14.6%,52.4%,47.6%,36.36%,55.56%,25.6%,25.7%,16.7%,24.4%,74.3%,12.5%,.308,.423,0.49,.006,IronPigs,COL vs. LHV (2025-04-22)<br>L 3-7,4/22/25
18,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781601,2025-04-16 18:15:00,COL - AAA,445,AAA,true,true,true,Columbus,COL,COL,416,LOU,LOU,W 5-4,CLE,CIN,24.7,AAA,25,1,1,5.0,74,22,39.2%,92.7,93.5,17.8,6.22,31.8%,13.6%,68.9%,44.6%,17.6%,63.6%,72.7%,25.00%,58.33%,40.5%,47.5%,22.7%,43.9%,52.5%,41.7%,.314,.394,1.18,.016,Bats,COL vs. LOU (2025-04-16)<br>W 5-4,4/16/25
19,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780328,2025-04-10 18:05:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,533,WOR,WOR,W 2-1,CLE,BOS,24.7,AAA,25,1,1,5.0,73,19,50.7%,92.3,93.5,19.7,6.36,42.1%,0.0%,68.5%,45.2%,20.5%,68.4%,52.6%,26.67%,77.78%,35.6%,42.9%,28.0%,42.5%,57.1%,0.0%,.144,.232,2.41,.033,Red Sox,COL vs. WOR (2025-04-10)<br>W 2-1,4/10/25
20,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781608,2025-04-02 18:15:00,COL - AAA,445,AAA,true,true,true,Columbus,COL,COL,1960,STP,STP,W 2-0,CLE,MIN,24.7,AAA,25,1,1,4.0,71,16,63.4%,93.7,94.6,17.3,6.32,12.5%,12.5%,60.6%,47.9%,16.9%,68.8%,56.3%,11.11%,40.00%,16.9%,13.9%,7.7%,27.0%,86.1%,16.7%,.292,.275,0.85,.012,Saints,COL vs. STP (2025-04-02)<br>W 2-0,4/2/25
