Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781922,2025-07-30 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,574,ARK,ARK,W 6-4,STL,SEA,24.9,AA,25,1,1,6.0,88,27,37.5%,91.3,91.8,15.7,6.51,22.2%,0.0%,73.9%,60.2%,8.0%,66.7%,66.7%,16.67%,41.67%,30.7%,25.5%,14.3%,45.7%,74.5%,10.0%,.274,.379,1.37,.016,Travelers,SPR vs. ARK (2025-07-30)<br>W 6-4,7/30/25
12,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781852,2025-07-24 20:00:00,SPR - AAX,440,AAX,false,false,true,Springfield,SPR,SPR,260,TUL,TUL,L 1-2 (10),STL,LAD,24.9,AA,25,1,1,6.1,88,24,37.5%,91.5,91.7,15.3,6.42,25.0%,4.2%,62.5%,51.1%,6.8%,66.7%,66.7%,33.33%,62.50%,27.3%,22.5%,7.7%,32.6%,77.5%,29.4%,.289,.176,0.35,.004,Drillers,SPR vs. TUL (2025-07-24)<br>L 1-2,7/24/25
13,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781925,2025-07-18 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,3898,WCH,WCH,W 4-3,STL,MIN,24.9,AA,25,1,1,5.2,84,22,27.4%,90.9,91.5,14.6,5.84,18.2%,0.0%,70.2%,52.4%,11.9%,77.3%,68.2%,21.05%,37.50%,26.2%,22.9%,14.7%,35.0%,77.1%,11.1%,.270,.234,0.75,.009,Wind Surge,SPR vs. WCH (2025-07-18)<br>W 4-3,7/18/25
14,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,782272,2025-07-10 13:05:00 (1),SPR - AAX,440,AAX,false,true,true,Springfield,SPR,SPR,482,CC,CC,W 5-4 (7),STL,HOU,24.9,AA,25,1,1,6.0,82,25,52.4%,91.2,91.8,15.1,6.90,36.0%,0.0%,70.7%,56.1%,11.0%,56.0%,64.0%,62.50%,100.00%,36.6%,33.3%,22.6%,30.6%,66.7%,33.3%,.264,.309,0.29,.004,Hooks,SPR vs. CC (2025-07-10)<br>W 5-4,7/10/25
15,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781928,2025-07-02 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,1350,NWA,NWA,W 7-3,STL,KC,24.9,AA,25,1,1,6.0,81,26,49.4%,91.1,91.6,16.1,5.98,15.4%,7.7%,64.2%,63.0%,12.3%,57.7%,53.8%,28.57%,50.00%,23.5%,15.4%,9.1%,20.0%,84.6%,26.3%,.328,.377,-0.20,-.002,Naturals,SPR vs. NWA (2025-07-02)<br>W 7-3,7/2/25
16,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781798,2025-06-26 20:05:00,SPR - AAX,440,AAX,false,false,true,Springfield,SPR,SPR,3898,WCH,WCH,L 0-5,STL,MIN,24.9,AA,25,1,1,3.2,89,18,29.2%,90.8,91.0,15.1,6.21,33.3%,11.1%,67.4%,49.4%,14.6%,61.1%,52.9%,12.00%,45.45%,32.6%,35.4%,32.3%,37.8%,64.6%,30.0%,.293,.456,1.57,.018,Wind Surge,SPR vs. WCH (2025-06-26)<br>L 0-5,6/26/25
17,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781934,2025-06-19 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,482,CC,CC,W 7-1,STL,HOU,24.9,AA,25,1,1,6.0,83,24,36.6%,90.9,91.3,16.9,5.93,25.0%,0.0%,74.7%,67.1%,8.5%,70.8%,60.9%,42.86%,41.67%,36.1%,22.0%,21.9%,29.6%,78.0%,16.7%,.240,.337,1.71,.021,Hooks,SPR vs. CC (2025-06-19)<br>W 7-1,6/19/25
18,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781937,2025-06-13 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,260,TUL,TUL,W 6-4,STL,LAD,24.9,AA,25,1,1,6.0,80,22,41.3%,90.2,90.7,16.9,5.90,18.2%,13.6%,70.0%,56.3%,13.8%,77.3%,65.2%,16.67%,40.00%,36.3%,32.5%,20.0%,28.6%,67.5%,0.0%,.200,.174,3.36,.042,Drillers,SPR vs. TUL (2025-06-13)<br>W 6-4,6/13/25
19,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,782211,2025-06-07 20:05:00,SPR - AAX,440,AAX,false,false,true,Springfield,SPR,SPR,540,FRI,FRI,L 7-12,STL,TEX,24.9,AA,25,1,1,5.0,82,24,52.4%,90.9,91.4,16.2,6.24,12.5%,12.5%,58.5%,46.3%,17.1%,54.2%,50.0%,33.33%,25.00%,20.7%,18.4%,11.1%,25.0%,81.6%,5.6%,.309,.408,0.47,.006,RoughRiders,SPR vs. FRI (2025-06-07)<br>L 7-12,6/7/25
20,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781942,2025-06-01 19:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,1350,NWA,NWA,W 5-4,STL,KC,24.9,AA,25,1,1,5.0,84,22,33.3%,90.5,90.9,15.7,5.87,9.1%,4.5%,69.0%,58.3%,6.0%,77.3%,59.1%,5.56%,25.00%,26.2%,16.3%,12.9%,34.3%,83.7%,5.6%,.257,.329,1.85,.022,Naturals,SPR vs. NWA (2025-06-01)<br>W 5-4,6/1/25
