Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
12,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,FCL Braves,F-BRV,464,FCL Braves,ROK,ATL,2025,807182,2025-07-15 12:37:00 (2),F-BRV - ROK,464,ROK,false,false,true,FCL Braves,F-BRV,F-BRV,474,F-TWI,F-TWI,L 0-1 (7),ATL,MIN,23.2,ROK,24,1,1,4.2,57,18,5.3%,92.8,92.8,10.0,5.64,38.9%,5.6%,70.2%,50.9%,21.1%,72.2%,61.1%,66.67%,75.00%,42.1%,42.9%,23.5%,39.3%,57.1%,10.0%,.167,.206,2.06,.036,FCL Twins,F-BRV vs. F-TWI (2025-07-15)<br>L 0-1,7/15/25
13,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,FCL Braves,F-BRV,464,FCL Braves,ROK,ATL,2025,807355,2025-07-08 18:35:00,F-BRV - ROK,464,ROK,false,false,true,FCL Braves,F-BRV,F-BRV,599,F-ORI,F-ORI,L 1-12,ATL,BAL,23.2,ROK,24,1,1,1.2,44,10,15.9%,93.5,93.5,13.7,4.47,30.0%,10.0%,54.5%,47.7%,6.8%,30.0%,30.0%,42.86%,0.00%,27.3%,33.3%,28.6%,17.4%,66.7%,0.0%,.239,.584,0.37,.008,FCL Orioles,F-BRV vs. F-ORI (2025-07-08)<br>L 1-12,7/8/25
14,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,FCL Braves,F-BRV,464,FCL Braves,ROK,ATL,2025,807307,2025-07-03 12:00:00,F-BRV - ROK,464,ROK,false,false,true,FCL Braves,F-BRV,F-BRV,470,F-PIR,F-PIR,L 1-5,ATL,PIT,23.2,ROK,24,1,1,2.0,27,7,18.5%,93.2,93.3,14.0,4.97,14.3%,0.0%,66.7%,55.6%,11.1%,57.1%,71.4%,0.00%,33.33%,14.8%,12.5%,7.7%,25.0%,87.5%,25.0%,.164,.126,0.80,.030,FCL Pirates,F-BRV vs. F-PIR (2025-07-03)<br>L 1-5,7/3/25
15,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782508,2025-05-14 19:00:00,COL - AAX,6325,AAX,false,true,true,Columbus,COL,COL,553,KNX,KNX,W 4-3 (10),ATL,CHC,23.2,AA,24,1,1,1.1,18,5,44.4%,93.6,94.2,13.5,5.70,20.0%,20.0%,61.1%,55.6%,22.2%,80.0%,100.0%,20.00%,100.00%,27.8%,14.3%,20.0%,25.0%,85.7%,33.3%,.237,.138,0.35,.019,Smokies,COL vs. KNX (2025-05-14)<br>W 4-3,5/14/25
16,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782783,2025-05-07 19:05:00,COL - AAX,6325,AAX,true,true,true,Columbus,COL,COL,247,BIR,BIR,W 13-7,ATL,CWS,23.2,AA,24,1,1,3.2,75,17,34.7%,93.5,94.1,15.1,5.70,17.6%,11.8%,57.3%,50.7%,17.3%,52.9%,61.1%,14.29%,37.50%,21.3%,6.9%,0.0%,18.9%,93.1%,16.7%,.345,.340,-0.56,-.007,Barons,COL vs. BIR (2025-05-07)<br>W 13-7,5/7/25
17,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782785,2025-05-01 19:05:00,COL - AAX,6325,AAX,true,true,true,Columbus,COL,COL,5015,BLX,BLX,W 9-5,ATL,MIL,23.2,AA,24,1,1,0.2,35,7,17.1%,93.5,93.7,10.6,5.65,14.3%,14.3%,62.9%,60.0%,11.4%,71.4%,85.7%,9.09%,25.00%,22.9%,6.7%,0.0%,7.1%,93.3%,25.0%,.486,.453,-0.69,-.020,Shuckers,COL vs. BLX (2025-05-01)<br>W 9-5,5/1/25
18,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782857,2025-04-26 12:05:00 (1),COL - AAX,6325,AAX,false,false,true,Columbus,COL,COL,498,CHA,CHA,L 2-8 (7),ATL,CIN,23.2,AA,24,1,1,4.0,74,23,31.1%,94.9,95.4,13.8,5.89,13.0%,8.7%,67.6%,52.7%,10.8%,47.8%,66.7%,12.50%,60.00%,29.7%,30.0%,20.0%,28.6%,70.0%,16.7%,.365,.510,0.00,.000,Lookouts,COL vs. CHA (2025-04-26)<br>L 2-8,4/26/25
19,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782860,2025-04-22 19:15:00,COL - AAX,6325,AAX,false,true,true,Columbus,COL,COL,498,CHA,CHA,W 5-1,ATL,CIN,23.2,AA,24,1,1,1.0,33,6,6.1%,90.5,93.2,10.9,5.85,16.7%,50.0%,42.4%,42.4%,30.3%,33.3%,66.7%,20.00%,-,21.2%,22.2%,12.5%,5.3%,77.8%,0.0%,.371,.344,-0.07,-.002,Lookouts,COL vs. CHA (2025-04-22)<br>W 5-1,4/22/25
20,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,782794,2025-04-16 19:05:00,COL - AAX,6325,AAX,true,false,true,Columbus,COL,COL,4124,PNS,PNS,L 1-4,ATL,MIA,23.2,AA,24,1,1,5.2,86,23,5.8%,90.2,92.5,10.5,5.69,13.0%,21.7%,50.0%,38.4%,25.6%,56.5%,52.2%,18.18%,60.00%,20.9%,19.4%,19.0%,18.9%,80.6%,21.4%,.380,.269,-1.54,-.018,Blue Wahoos,COL vs. PNS (2025-04-16)<br>L 1-4,4/16/25
21,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Columbus Clingstones,COL,6325,Columbus,AAX,ATL,2025,783001,2025-04-10 19:35:00,COL - AAX,6325,AAX,false,true,true,Columbus,COL,COL,5015,BLX,BLX,W 5-2,ATL,MIL,23.2,AA,24,1,1,6.0,88,23,12.5%,93.8,93.9,12.2,5.55,13.0%,8.7%,62.5%,48.9%,15.9%,73.9%,78.3%,7.14%,25.00%,27.3%,18.4%,7.1%,22.2%,81.6%,5.9%,.292,.175,0.39,.004,Shuckers,COL vs. BLX (2025-04-10)<br>W 5-2,4/10/25
