Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780443,2025-06-08 13:05:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,422,BUF,BUF,L 6-8 (10),NYM,TOR,23.9,AAA,24,1,0,5.1,78,21,12.8%,94.8,94.9,13.0,6.24,19.0%,9.5%,61.5%,48.7%,16.7%,61.9%,71.4%,25.00%,75.00%,29.5%,19.4%,13.6%,22.5%,80.6%,20.0%,.214,.205,1.68,.022,Bisons,SYR vs. BUF (2025-06-08)<br>L 6-8,6/8/25
12,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780451,2025-06-03 18:35:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,422,BUF,BUF,L 5-8,NYM,TOR,23.9,AAA,24,1,0,4.0,72,17,20.8%,95.3,95.5,14.8,6.26,35.3%,11.8%,63.9%,45.8%,18.1%,64.7%,70.6%,7.69%,60.00%,31.9%,32.4%,10.5%,38.5%,67.6%,11.1%,.291,.259,0.61,.009,Bisons,SYR vs. BUF (2025-06-03)<br>L 5-8,6/3/25
13,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,781289,2025-05-28 15:42:00 (2),SYR - AAA,552,AAA,false,true,true,Syracuse,SYR,SYR,451,IOW,IOW,W 4-2 (7),NYM,CHC,23.9,AAA,24,1,1,5.1,76,22,18.4%,95.2,95.6,13.6,6.29,22.7%,9.1%,65.8%,51.3%,17.1%,68.2%,59.1%,18.18%,62.50%,30.3%,25.0%,16.0%,29.7%,75.0%,6.7%,.230,.240,1.48,.019,Cubs,SYR vs. IOW (2025-05-28)<br>W 4-2,5/28/25
14,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780460,2025-05-22 18:35:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,534,ROC,ROC,L 4-6,NYM,WSH,23.9,AAA,24,1,1,6.0,93,23,21.5%,95.0,95.2,14.1,6.51,26.1%,8.7%,64.5%,44.1%,17.2%,73.9%,47.8%,25.00%,50.00%,33.3%,34.1%,20.0%,36.5%,65.9%,0.0%,.211,.168,2.34,.025,Red Wings,SYR vs. ROC (2025-05-22)<br>L 4-6,5/22/25
15,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780466,2025-05-15 18:35:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,1410,LHV,LHV,L 3-7,NYM,PHI,23.9,AAA,24,1,1,5.0,85,25,34.1%,94.4,95.1,14.9,6.44,16.0%,24.0%,56.5%,50.6%,15.3%,56.0%,53.8%,14.29%,50.00%,21.2%,9.1%,3.7%,14.3%,90.9%,20.0%,.383,.435,-0.49,-.006,IronPigs,SYR vs. LHV (2025-05-15)<br>L 3-7,5/15/25
16,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,781213,2025-05-09 19:05:00,SYR - AAA,552,AAA,false,true,true,Syracuse,SYR,SYR,564,JAX,JAX,W 4-0,NYM,MIA,23.9,AAA,24,1,1,7.0,78,25,14.1%,95.6,95.7,12.0,6.25,28.0%,0.0%,73.1%,62.8%,11.5%,68.0%,72.0%,28.57%,63.64%,35.9%,25.6%,16.1%,27.6%,74.4%,11.1%,.219,.247,1.68,.022,Jumbo Shrimp,SYR vs. JAX (2025-05-09)<br>W 4-0,5/9/25
17,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783542,2025-05-02 12:05:00 (1),BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,106,ERI,ERI,W 4-1 (7),NYM,DET,23.9,AA,24,1,1,6.0,84,24,0.0%,-,95.3,12.9,6.40,16.7%,8.3%,64.3%,53.6%,15.5%,79.2%,75.0%,6.25%,50.00%,29.8%,29.3%,20.7%,30.8%,70.7%,0.0%,.288,.257,1.23,.015,SeaWolves,BNG vs. ERI (2025-05-02)<br>W 4-1,5/2/25
18,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783683,2025-04-25 18:07:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,463,NH,NH,L 0-5 (7),NYM,TOR,23.9,AA,24,1,1,5.1,90,23,10.0%,94.9,95.5,15.9,6.20,17.4%,13.0%,62.2%,53.3%,13.3%,56.5%,56.5%,12.50%,66.67%,20.0%,19.1%,15.8%,21.4%,80.9%,12.5%,.316,.336,0.47,.005,Fisher Cats,BNG vs. NH (2025-04-25)<br>L 0-5,4/25/25
19,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783201,2025-04-19 17:15:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,522,REA,REA,W 6-1,NYM,PHI,23.9,AA,24,1,1,6.0,81,24,4.9%,95.4,96.3,16.0,6.42,33.3%,16.7%,63.0%,48.1%,12.3%,83.3%,79.2%,36.36%,70.00%,33.3%,35.1%,25.9%,23.8%,64.9%,8.3%,.194,.204,2.62,.032,Fightin Phils,BNG vs. REA (2025-04-19)<br>W 6-1,4/19/25
20,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783685,2025-04-13 13:05:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,538,HFD,HFD,W 2-1,NYM,COL,23.9,AA,24,1,1,5.0,81,22,11.1%,94.7,95.0,15.5,6.24,27.3%,13.6%,58.0%,46.9%,14.8%,63.6%,60.9%,36.36%,71.43%,29.6%,34.3%,28.0%,23.3%,65.7%,0.0%,.327,.337,-0.06,-.001,Yard Goats,BNG vs. HFD (2025-04-13)<br>W 2-1,4/13/25
