Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751183,2024-07-20 18:07:00,ERI - AAX,106,AAX,false,true,true,Erie,ERI,ERI,505,BNG,BNG,W 3-0,DET,NYM,21.9,AA,23,1,1,6.0,70,19,42.9%,96.6,97.5,18.3,5.97,26.3%,10.5%,70.0%,57.1%,14.3%,89.5%,84.2%,21.43%,50.00%,32.9%,27.8%,25.9%,30.0%,72.2%,16.7%,.191,.073,2.48,.035,Rumble Ponies,ERI vs. BNG (2024-07-20)<br>W 3-0,7/20/24
12,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751051,2024-07-11 18:05:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,1956,SOM,SOM,W 6-0,DET,NYY,21.9,AA,23,1,1,5.0,82,18,42.7%,97.4,98.1,19.2,6.06,44.4%,16.7%,64.6%,52.4%,8.5%,72.2%,68.4%,29.41%,72.73%,41.5%,40.6%,36.4%,25.6%,59.4%,33.3%,.272,.274,1.11,.014,Patriots,ERI vs. SOM (2024-07-11)<br>W 6-0,7/11/24
13,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751053,2024-07-05 18:35:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,402,AKR,AKR,W 6-1,DET,CLE,21.9,AA,23,1,1,5.0,79,20,40.5%,96.8,97.4,18.9,6.11,40.0%,5.0%,65.8%,58.2%,13.9%,70.0%,65.0%,46.67%,75.00%,35.4%,27.3%,24.0%,24.2%,72.7%,9.1%,.162,.167,1.60,.020,RubberDucks,ERI vs. AKR (2024-07-05)<br>W 6-1,7/5/24
14,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755951,2024-06-29 19:05:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,499,LAN,LAN,W 10-3,DET,ATH,21.9,A+,23,1,1,4.0,60,15,41.7%,97.3,98.1,18.6,5.29,20.0%,6.7%,68.3%,53.3%,13.3%,73.3%,60.0%,16.67%,33.33%,26.7%,26.5%,12.5%,35.7%,73.5%,40.0%,.333,.211,0.44,.007,Lugnuts,WM vs. LAN (2024-06-29)<br>W 10-3,6/29/24
15,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755692,2024-06-23 14:00:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,459,DAY,DAY,W 3-0,DET,CIN,21.9,A+,23,1,1,3.0,32,9,40.6%,97.5,98.1,18.6,5.78,44.4%,0.0%,75.0%,43.8%,18.8%,111.1%,88.9%,50.00%,80.00%,43.8%,41.2%,30.0%,38.9%,58.8%,0.0%,.038,.000,1.66,.052,Dragons,WM vs. DAY (2024-06-23)<br>W 3-0,6/23/24
16,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755695,2024-06-18 18:35:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,459,DAY,DAY,L 2-4,DET,CIN,21.9,A+,23,1,1,2.0,29,9,58.6%,96.4,97.7,18.1,6.07,11.1%,11.1%,55.2%,44.8%,20.7%,44.4%,77.8%,0.00%,33.33%,17.2%,15.4%,11.1%,25.0%,84.6%,14.3%,.269,.353,0.30,.010,Dragons,WM vs. DAY (2024-06-18)<br>L 2-4,6/18/24
17,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751152,2024-05-01 11:05:00,ERI - AAX,106,AAX,false,false,true,Erie,ERI,ERI,418,CHE,CHE,L 4-6,DET,BAL,21.9,AA,23,1,1,3.0,47,10,29.8%,97.3,97.8,18.9,6.13,50.0%,10.0%,68.1%,51.1%,12.8%,80.0%,63.6%,25.00%,100.00%,38.3%,39.1%,21.4%,39.1%,60.9%,25.0%,.115,.069,1.86,.040,Baysox,ERI vs. CHE (2024-05-01)<br>L 4-6,5/1/24
18,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751084,2024-04-25 18:05:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,547,HBG,HBG,W 3-2 (10),DET,WSH,21.9,AA,23,1,1,4.0,59,13,27.1%,96.8,97.5,19.1,6.01,46.2%,7.7%,66.1%,52.5%,15.3%,84.6%,46.2%,30.00%,75.00%,39.0%,42.9%,40.0%,28.6%,57.1%,0.0%,.142,.053,2.07,.035,Senators,ERI vs. HBG (2024-04-25)<br>W 3-2,4/25/24
19,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751363,2024-04-19 19:05:00,ERI - AAX,106,AAX,false,true,true,Erie,ERI,ERI,402,AKR,AKR,W 7-2,DET,CLE,21.9,AA,23,1,1,4.0,66,16,40.9%,97.2,98.1,19.1,6.03,31.3%,6.3%,75.8%,62.1%,10.6%,62.5%,75.0%,13.33%,45.45%,39.4%,35.1%,35.7%,36.0%,64.9%,0.0%,.139,.208,3.13,.047,RubberDucks,ERI vs. AKR (2024-04-19)<br>W 7-2,4/19/24
20,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751087,2024-04-13 13:35:00 (1),ERI - AAX,106,AAX,true,false,true,Erie,ERI,ERI,505,BNG,BNG,L 2-9 (7),DET,NYM,21.9,AA,23,1,1,3.1,68,15,44.1%,97.0,98.2,20.7,6.14,33.3%,26.7%,55.9%,45.6%,16.2%,80.0%,40.0%,30.00%,62.50%,33.8%,40.0%,31.6%,16.2%,60.0%,16.7%,.276,.267,0.98,.014,Rumble Ponies,ERI vs. BNG (2024-04-13)<br>L 2-9,4/13/24
