Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785714,2025-06-22 12:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,450,DBT,DBT,L 6-16,MIA,CIN,20.0,20,1,1,4.2,87,22,34.5%,93.2,93.6,16.8,6.41,13.6%,9.1%,64.4%,50.6%,19.5%,63.6%,57.1%,0.00%,12.50%,24.1%,25.5%,11.4%,27.9%,74.5%,18.8%,.346,.320,0.16,.002,Tortugas,JUP vs. DBT (2025-06-22)<br>L 6-16,6/22/25
12,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,786050,2025-06-15 12:00:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,3390,BRD,BRD,L 1-2,MIA,PIT,20.0,20,1,1,6.0,86,22,47.7%,93.4,94.0,19.1,6.39,36.4%,4.5%,66.3%,50.0%,19.8%,68.2%,50.0%,30.00%,63.64%,36.0%,33.3%,19.2%,30.2%,66.7%,16.7%,.156,.214,2.33,.027,Marauders,JUP vs. BRD (2025-06-15)<br>L 1-2,6/15/25
13,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785712,2025-06-08 12:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,587,TAM,TAM,W 5-4,MIA,NYY,20.0,20,1,1,5.1,85,23,57.6%,92.8,93.6,17.9,6.50,21.7%,13.0%,57.6%,48.2%,25.9%,60.9%,65.2%,22.22%,62.50%,28.2%,34.2%,20.7%,20.5%,65.8%,6.7%,.200,.236,2.03,.024,Tarpons,JUP vs. TAM (2025-06-08)<br>W 5-4,6/8/25
14,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785913,2025-06-01 17:00:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,450,DBT,DBT,L 7-12,MIA,CIN,20.0,20,1,1,4.0,85,20,38.8%,94.7,95.4,19.7,5.61,10.0%,20.0%,54.1%,50.6%,18.8%,65.0%,40.0%,6.67%,40.00%,23.5%,18.8%,19.2%,14.3%,81.3%,14.3%,.392,.439,-0.33,-.004,Tortugas,JUP vs. DBT (2025-06-01)<br>L 7-12,6/1/25
15,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785519,2025-05-25 12:10:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,507,SLU,SLU,W 4-3,MIA,NYM,20.0,20,1,1,5.0,83,20,44.6%,93.7,94.1,18.2,6.49,35.0%,10.0%,59.0%,48.2%,31.3%,60.0%,52.4%,25.00%,77.78%,26.5%,25.0%,25.9%,20.9%,75.0%,18.2%,.225,.322,0.58,.007,Mets,JUP vs. SLU (2025-05-25)<br>W 4-3,5/25/25
16,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785720,2025-05-18 12:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,509,FTM,FTM,L 4-8,MIA,MIN,20.0,20,1,1,4.0,73,19,52.1%,92.4,93.0,17.6,6.58,10.5%,10.5%,58.9%,47.9%,31.5%,52.6%,68.4%,11.11%,33.33%,26.0%,27.3%,26.9%,18.4%,72.7%,26.7%,.335,.339,-0.03,-.000,Mighty Mussels,JUP vs. FTM (2025-05-18)<br>L 4-8,5/18/25
17,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785597,2025-05-10 18:00:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 0-3,MIA,STL,20.0,20,1,1,5.0,78,20,52.6%,92.4,92.9,18.8,6.63,10.0%,20.0%,53.8%,44.9%,29.5%,70.0%,50.0%,8.33%,50.00%,15.4%,9.1%,0.0%,20.9%,90.9%,14.3%,.272,.263,0.91,.012,Cardinals,JUP vs. PMB (2025-05-10)<br>L 0-3,5/10/25
18,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785731,2025-05-03 18:00:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,507,SLU,SLU,L 2-9,MIA,NYM,20.0,20,1,1,3.2,72,18,51.4%,92.3,92.9,19.1,6.57,27.8%,5.6%,56.9%,44.4%,27.8%,55.6%,44.4%,62.50%,42.86%,30.6%,36.7%,23.8%,22.5%,63.3%,10.0%,.317,.444,-0.48,-.007,Mets,JUP vs. SLU (2025-05-03)<br>L 2-9,5/3/25
19,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785734,2025-04-25 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 2-16,MIA,STL,20.0,20,1,1,4.2,72,19,54.2%,93.4,93.9,19.1,6.55,31.6%,15.8%,65.3%,55.6%,13.9%,73.7%,70.0%,25.00%,75.00%,36.1%,30.0%,25.0%,18.8%,70.0%,0.0%,.210,.268,2.06,.029,Cardinals,JUP vs. PMB (2025-04-25)<br>L 2-16,4/25/25
20,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785939,2025-04-18 18:35:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,450,DBT,DBT,L 1-5,MIA,CIN,20.0,20,1,1,3.0,62,14,46.8%,93.9,94.4,20.3,6.01,42.9%,14.3%,69.4%,48.4%,16.1%,64.3%,71.4%,31.25%,62.50%,32.3%,28.1%,22.2%,43.8%,71.9%,40.0%,.259,.276,0.96,.015,Tortugas,JUP vs. DBT (2025-04-18)<br>L 1-5,4/18/25
21,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785743,2025-04-11 18:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,424,DUN,DUN,W 5-4,MIA,TOR,20.0,20,1,0,4.0,58,13,44.8%,93.7,94.2,18.5,6.59,69.2%,0.0%,67.2%,51.7%,24.1%,61.5%,53.8%,44.44%,75.00%,50.0%,54.5%,35.7%,28.6%,45.5%,0.0%,.051,.068,1.79,.031,Blue Jays,JUP vs. DUN (2025-04-11)<br>W 5-4,4/11/25
22,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785546,2025-04-05 18:10:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,507,SLU,SLU,L 5-6,MIA,NYM,20.0,20,1,0,3.2,58,14,29.3%,93.7,93.8,17.1,6.61,57.1%,21.4%,58.6%,31.0%,29.3%,64.3%,63.6%,11.11%,85.71%,36.2%,45.8%,25.0%,40.0%,54.2%,0.0%,.222,.199,1.02,.018,Mets,JUP vs. SLU (2025-04-05)<br>L 5-6,4/5/25
