Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
181,700985,J. Hansell,Josh Hansell,Hansell,Josh,P,Quad Cities River Bandits,QC,565,Quad Cities,afa,KC,Columbia Fireflies,COL,3705,Columbia,AFX,KC,R,R,22.4,24,21,6,64.1,1105,278,48.1%,92.6,93.9,19.1,6.55,25.5%,14.0%,62.2%,47.6%,18.6%,58.6%,58.7%,15.38%,54.46%,28.3%,28.4%,19.6%,25.0%,71.6%,13.0%,.261,.272,15.68,.014
181,801207,E. Olson,Emmett Olson,Olson,Emmett,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,L,L,22.1,23,21,21,102.2,1714,436,48.1%,92.2,93.2,19.4,6.11,21.8%,8.0%,64.9%,52.1%,14.9%,64.9%,62.0%,16.96%,45.35%,29.2%,25.8%,18.0%,28.0%,74.2%,12.4%,.280,.284,21.70,.013
181,683354,C. O'Halloran,Connor O'Halloran,O'Halloran,Connor,P,,,,,,,Vancouver Canadians,VAN,435,Vancouver,AFA,TOR,R,L,21.8,23,21,21,103.2,1757,463,5.5%,88.7,89.5,15.4,5.78,22.7%,10.6%,61.3%,46.6%,19.1%,57.5%,57.5%,22.71%,49.71%,28.8%,27.0%,17.9%,26.7%,73.0%,16.6%,.299,.335,13.47,.008
181,695033,J. Watts-Brown,Juaron Watts-Brown,Watts-Brown,Juaron,P,Frederick Keys,FRE,493,Frederick,afa,BAL,Vancouver Canadians,VAN,435,Vancouver,AFA,TOR,R,R,22.4,24,21,21,103.0,1717,453,45.1%,93.1,94.0,20.0,6.59,28.9%,13.2%,61.6%,42.4%,22.2%,58.5%,54.5%,29.44%,65.70%,31.2%,36.8%,22.6%,32.1%,63.2%,12.2%,.278,.322,32.39,.019
181,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,R,R,18.9,20,21,21,84.1,1422,361,48.1%,93.5,94.5,18.4,6.42,26.6%,11.1%,62.7%,48.4%,16.9%,62.9%,60.3%,20.09%,55.94%,29.3%,28.6%,19.3%,27.0%,71.4%,11.6%,.282,.318,12.59,.009
181,815148,N. German,Nestor German,German,Nestor,P,Norfolk Tides,NOR,568,Norfolk,aaa,BAL,Aberdeen IronBirds,ABD,488,Aberdeen,AFA,BAL,R,R,22.3,24,21,12,73.2,1123,287,46.2%,93.5,94.7,20.7,6.15,31.4%,5.9%,65.4%,48.9%,15.7%,65.2%,59.0%,30.91%,56.62%,31.6%,36.2%,26.0%,33.2%,63.8%,11.3%,.204,.218,27.29,.024
181,694205,V. Lizarraga,Victor Lizarraga,Lizarraga,Victor,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,R,R,20.6,22,21,21,96.0,1558,407,31.3%,90.3,91.1,14.0,6.57,25.1%,10.3%,61.4%,49.4%,17.5%,61.9%,63.2%,24.11%,53.10%,28.3%,27.9%,18.6%,23.9%,72.1%,19.6%,.295,.304,7.86,.005
181,807743,S. Sullivan,Sean Sullivan,Sullivan,Sean,P,Albuquerque Isotopes,ABQ,342,Albuquerque,aaa,COL,Hartford Yard Goats,HFD,538,Hartford,AAX,COL,R,L,21.9,23,21,21,115.1,1671,444,34.4%,87.6,88.5,18.2,7.37,28.2%,3.4%,70.8%,54.8%,12.9%,69.1%,67.4%,23.22%,53.62%,31.6%,31.1%,24.5%,37.9%,68.9%,15.2%,.250,.253,33.37,.020
181,814489,B. Wichrowski,Brett Wichrowski,Wichrowski,Brett,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Biloxi Shuckers,BLX,5015,Biloxi,AAX,MIL,L,R,21.9,23,21,21,89.0,1505,386,38.2%,94.8,95.9,14.0,6.59,21.2%,10.1%,61.3%,48.8%,18.2%,61.7%,60.3%,18.58%,45.14%,27.0%,27.1%,18.5%,24.4%,72.9%,15.0%,.280,.301,14.05,.009
181,695769,D. McCarty,D.J. McCarty,McCarty,D.J.,P,Hub City Spartanburgers,HCS,6324,Hub City,afa,TEX,Hickory Crawdads,HIC,448,Hickory,AFA,TEX,R,R,21.8,23,21,19,91.1,1556,410,6.5%,93.1,93.1,11.8,5.04,26.8%,8.3%,64.5%,48.6%,18.8%,61.7%,60.7%,22.14%,52.38%,31.4%,28.7%,19.7%,28.1%,71.3%,14.4%,.283,.328,13.80,.009
