SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,684516,2021,0,2021,19.2,ROK,23,11,11,49.0,619,200,61.6%,87.6,89.2,19.2,5.46,27.5%,9.5%,65.1%,38.2%,26.3%,63.0%,61.2%,30.00%,71.01%,32.0%,34.5%,19.6%,28.1%,65.5%,13.4%,.268,.250,6.12,.010,SplitBy
2022^1,684516,2022,1,2022,20.2,,23,15,12,64.1,973,272,37.1%,89.0,90.1,16.9,5.72,21.0%,5.5%,66.2%,48.8%,18.3%,65.4%,58.0%,20.16%,48.60%,25.3%,23.5%,14.8%,29.9%,76.5%,12.7%,.284,.311,6.40,.007,SplitBy
2023^2,684516,2023,2,2023,21.2,A,23,24,23,132.2,1916,533,38.3%,90.8,92.2,17.7,5.78,18.2%,3.8%,68.0%,50.5%,15.7%,63.4%,62.9%,19.46%,38.29%,25.0%,22.1%,16.4%,33.9%,77.9%,17.0%,.257,.263,32.30,.017,SplitBy
2024^3,684516,2024,3,2024,22.2,A+,23,24,24,132.2,2041,559,49.4%,92.3,93.8,18.3,5.71,18.8%,8.6%,65.4%,51.8%,15.9%,65.8%,59.8%,18.47%,44.81%,26.3%,25.1%,18.3%,28.9%,74.9%,17.0%,.301,.320,18.72,.009,SplitBy
2025^4,684516,2025,4,2025,23.2,,23,19,17,96.1,1478,403,43.6%,93.5,94.5,18.5,5.64,26.8%,7.4%,65.6%,51.0%,17.1%,64.3%,60.4%,24.77%,57.49%,29.6%,30.3%,18.5%,32.6%,69.7%,19.8%,.269,.300,17.29,.012,SplitBy
2026^5,684516,2026,5,2026,24.2,,23,5,1,11.2,211,52,43.1%,94.7,95.3,16.7,5.88,28.8%,11.5%,64.5%,46.4%,13.7%,63.5%,64.2%,29.73%,52.63%,30.8%,29.0%,19.4%,33.6%,71.0%,22.6%,.262,.364,2.98,.014,SplitBy
