SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2022^0,800320,2022,0,2022,16.9,ROK,20,11,11,36.1,568,161,70.7%,91.0,92.0,19.4,6.24,26.1%,6.8%,68.7%,51.4%,16.6%,62.1%,60.5%,28.13%,52.78%,30.5%,27.4%,20.1%,32.5%,72.6%,9.0%,.228,.279,12.56,.022,SplitBy
2023^1,800320,2023,1,2023,17.9,ROK,20,5,5,17.0,205,65,47.7%,90.2,91.1,17.6,6.73,23.1%,1.5%,69.8%,52.3%,17.0%,67.7%,65.2%,27.59%,63.16%,29.8%,21.9%,8.3%,32.9%,78.1%,11.4%,.238,.234,3.11,.015,SplitBy
2024^2,800320,2024,2,2024,18.9,,20,19,18,79.0,1153,344,38.8%,92.3,93.3,15.9,6.55,19.8%,8.1%,63.1%,47.5%,17.7%,59.6%,62.0%,23.66%,54.29%,29.1%,26.7%,14.3%,26.9%,73.3%,10.4%,.274,.302,10.41,.009,SplitBy
2025^3,800320,2025,3,2025,19.9,A,20,24,24,108.0,1714,473,35.7%,93.3,94.6,16.4,6.75,20.9%,8.7%,62.0%,51.0%,22.2%,61.3%,59.4%,19.84%,53.50%,27.3%,24.4%,13.4%,24.7%,75.6%,11.3%,.274,.306,15.73,.009,SplitBy
2026^4,800320,2026,4,2026,20.9,A+,20,4,4,19.2,310,91,24.9%,93.6,94.9,15.4,6.93,23.1%,7.7%,65.8%,52.5%,20.3%,61.5%,64.0%,22.50%,66.67%,31.3%,28.7%,16.3%,28.0%,71.3%,22.8%,.347,.365,-1.27,-.004,SplitBy
