SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2023^0,800048,2023,0,2023,22.7,,25,26,24,121.2,2051,520,56.2%,91.6,92.7,16.9,6.21,26.2%,7.5%,63.5%,50.6%,15.8%,64.4%,60.8%,20.37%,51.46%,29.0%,29.8%,21.6%,28.8%,70.2%,14.4%,.293,.306,15.57,.008,SplitBy
2024^1,800048,2024,1,2024,23.7,,25,27,26,133.2,2209,547,43.7%,92.1,93.3,18.0,6.32,30.2%,8.0%,63.6%,47.4%,15.1%,61.1%,57.6%,27.68%,57.09%,31.6%,34.7%,24.0%,31.4%,65.3%,11.6%,.260,.285,30.42,.014,SplitBy
2025^2,800048,2025,2,2025,24.7,AAA,25,20,20,98.2,1582,409,49.0%,92.6,93.7,17.9,6.30,29.1%,10.3%,62.2%,46.8%,18.3%,60.9%,59.9%,27.07%,61.69%,29.3%,30.4%,17.9%,28.7%,69.6%,15.5%,.263,.291,17.31,.011,SplitBy
