SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2023^0,677337,2023,0,2023,22.9,,25,24,23,113.2,1745,468,50.0%,90.1,91.0,17.3,6.74,26.9%,8.3%,64.6%,47.3%,18.9%,60.9%,61.1%,29.46%,55.79%,28.7%,27.3%,16.6%,31.7%,72.7%,15.9%,.269,.279,29.61,.017,SplitBy
2024^1,677337,2024,1,2024,23.9,A+,25,24,24,128.1,2047,555,39.3%,89.3,90.2,16.8,6.51,24.1%,7.4%,64.9%,49.1%,16.0%,58.6%,63.4%,22.01%,55.38%,29.7%,24.1%,12.8%,29.4%,75.9%,16.4%,.298,.322,8.08,.004,SplitBy
2025^2,677337,2025,2,2025,24.9,AA,25,26,26,137.1,2093,583,37.9%,90.9,91.6,16.2,6.38,21.1%,6.3%,67.8%,56.4%,11.7%,65.9%,63.5%,21.89%,45.11%,29.3%,25.5%,19.1%,30.1%,74.5%,14.6%,.269,.296,32.13,.015,SplitBy
2026^3,677337,2026,3,2026,25.9,,25,3,3,10.2,151,39,39.1%,90.5,91.0,13.0,6.99,25.6%,7.7%,65.6%,47.0%,17.2%,74.4%,66.7%,23.33%,47.37%,27.2%,21.6%,12.5%,32.5%,78.4%,7.7%,.199,.213,2.76,.018,SplitBy
