Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756085,2024-07-13 19:05:00,GL - AFA,456,AFA,true,true,true,Great Lakes,GL,GL,584,FW,FW,W 7-4,LAD,SD,20.5,22,1,1,6.0,101,23,28.7%,94.2,95.3,16.7,6.77,34.8%,8.7%,61.4%,47.5%,22.8%,60.9%,52.2%,22.22%,66.67%,30.7%,32.6%,20.0%,20.8%,67.4%,7.7%,.164,.191,2.27,.022,TinCaps,GL vs. FW (2024-07-13)<br>W 7-4,7/13/24
12,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756091,2024-07-06 12:05:00 (1),GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,582,WM,WM,L 0-2 (8),LAD,DET,20.5,22,1,1,7.0,96,24,5.2%,94.9,95.8,16.6,6.56,45.8%,0.0%,74.0%,53.1%,11.5%,83.3%,79.2%,35.00%,58.82%,41.7%,38.0%,21.2%,37.8%,62.0%,8.3%,.213,.119,1.76,.018,Whitecaps,GL vs. WM (2024-07-06)<br>L 0-2,7/6/24
13,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756021,2024-06-30 13:00:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,437,LC,LC,W 12-10,LAD,CLE,20.5,22,1,1,0.2,35,8,2.9%,95.9,96.6,14.6,6.78,12.5%,0.0%,80.0%,74.3%,8.6%,50.0%,62.5%,0.00%,25.00%,28.6%,10.0%,11.1%,22.2%,90.0%,14.3%,.380,.772,0.08,.002,Captains,GL vs. LC (2024-06-30)<br>W 12-10,6/30/24
14,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756092,2024-06-23 14:57:00 (2),GL - AFA,456,AFA,true,true,true,Great Lakes,GL,GL,565,QC,QC,W 1-0 (8),LAD,KC,20.5,22,1,1,6.0,87,21,12.6%,94.1,94.5,16.5,6.70,38.1%,4.8%,64.4%,49.4%,13.8%,66.7%,52.4%,23.08%,66.67%,35.6%,39.0%,19.2%,34.1%,61.0%,8.3%,.137,.117,3.17,.036,River Bandits,GL vs. QC (2024-06-23)<br>W 1-0,6/23/24
15,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756098,2024-06-18 13:05:00,GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,565,QC,QC,L 6-7 (10),LAD,KC,20.5,22,1,1,5.1,88,22,17.0%,93.6,94.6,14.8,6.67,36.4%,22.7%,55.7%,47.7%,17.0%,63.6%,50.0%,33.33%,88.89%,33.0%,35.5%,13.6%,19.6%,64.5%,11.1%,.218,.290,2.11,.024,River Bandits,GL vs. QC (2024-06-18)<br>L 6-7,6/18/24
16,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756231,2024-06-12 19:05:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,459,DAY,DAY,W 3-2,LAD,CIN,20.5,22,1,1,5.0,84,19,48.8%,94.3,95.2,17.4,6.80,31.6%,10.5%,60.7%,53.6%,21.4%,52.6%,42.1%,40.00%,62.50%,32.1%,33.3%,28.6%,20.5%,66.7%,18.2%,.234,.185,1.53,.018,Dragons,GL vs. DAY (2024-06-12)<br>W 3-2,6/12/24
17,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756103,2024-06-05 19:05:00,GL - AFA,456,AFA,true,true,true,Great Lakes,GL,GL,492,CR,CR,W 10-3,LAD,MIN,20.5,22,1,1,5.0,83,21,24.1%,93.0,93.7,17.0,6.77,47.6%,9.5%,61.4%,47.0%,18.1%,66.7%,57.1%,27.27%,90.00%,41.0%,48.5%,43.5%,22.7%,51.5%,11.1%,.204,.234,1.18,.014,Kernels,GL vs. CR (2024-06-05)<br>W 10-3,6/5/24
18,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,755709,2024-05-30 18:35:00,GL - AFA,456,AFA,false,false,true,Great Lakes,GL,GL,582,WM,WM,L 5-6,LAD,DET,20.5,22,1,1,5.1,82,20,26.8%,93.1,94.4,17.6,6.57,25.0%,5.0%,59.8%,52.4%,15.9%,55.0%,40.0%,20.00%,60.00%,30.5%,27.3%,25.9%,15.4%,72.7%,28.6%,.325,.288,-0.36,-.004,Whitecaps,GL vs. WM (2024-05-30)<br>L 5-6,5/30/24
19,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756110,2024-05-24 18:05:00,GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,554,BEL,BEL,L 4-5 (10),LAD,MIA,20.5,22,1,1,5.0,87,21,33.3%,93.5,94.3,17.5,6.81,23.8%,9.5%,67.8%,56.3%,13.8%,81.0%,71.4%,15.79%,38.46%,31.0%,20.0%,14.3%,31.6%,80.0%,7.1%,.229,.251,1.88,.022,Sky Carp,GL vs. BEL (2024-05-24)<br>L 4-5,5/24/24
20,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756238,2024-05-17 19:05:00,GL - AFA,456,AFA,false,false,true,Great Lakes,GL,GL,459,DAY,DAY,L 2-5,LAD,CIN,20.5,22,1,1,4.0,76,21,42.1%,92.2,93.2,18.6,6.84,23.8%,14.3%,65.8%,40.8%,14.5%,57.1%,76.2%,18.18%,50.00%,27.6%,17.1%,14.3%,31.1%,82.9%,7.7%,.342,.404,-0.39,-.005,Dragons,GL vs. DAY (2024-05-17)<br>L 2-5,5/17/24
21,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756112,2024-05-11 13:05:00,GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,499,LAN,LAN,L 8-11 (11),LAD,ATH,20.5,22,1,1,5.0,80,22,23.8%,92.3,92.9,18.7,6.85,22.7%,9.1%,63.7%,60.0%,20.0%,63.6%,40.9%,33.33%,55.56%,27.5%,23.7%,14.7%,12.5%,76.3%,13.3%,.343,.365,-0.18,-.002,Lugnuts,GL vs. LAN (2024-05-11)<br>L 8-11,5/11/24
22,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,755648,2024-05-05 14:10:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,572,WIS,WIS,W 5-3,LAD,MIL,20.5,22,1,1,4.0,73,17,21.9%,93.5,94.2,18.4,6.57,35.3%,0.0%,61.6%,57.5%,16.4%,41.2%,52.9%,50.00%,62.50%,30.1%,23.3%,12.0%,16.1%,76.7%,0.0%,.271,.242,0.01,.000,Timber Rattlers,GL vs. WIS (2024-05-05)<br>W 5-3,5/5/24
23,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,755654,2024-04-30 19:40:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,572,WIS,WIS,W 6-4,LAD,MIL,20.5,22,1,1,3.0,71,16,31.0%,91.7,92.6,17.5,6.70,18.8%,18.8%,62.0%,46.5%,16.9%,62.5%,68.8%,5.56%,42.86%,26.8%,21.9%,9.5%,28.9%,78.1%,0.0%,.366,.350,0.05,.001,Timber Rattlers,GL vs. WIS (2024-04-30)<br>W 6-4,4/30/24
24,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756189,2024-04-24 20:40:00 (2),GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,584,FW,FW,W 5-1 (7),LAD,SD,20.5,22,1,1,5.0,78,20,38.5%,90.8,92.2,19.4,6.78,25.0%,5.0%,65.4%,55.1%,14.1%,75.0%,60.0%,18.75%,50.00%,32.1%,31.6%,20.0%,22.9%,68.4%,0.0%,.191,.229,2.13,.027,TinCaps,GL vs. FW (2024-04-24)<br>W 5-1,4/24/24
25,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756120,2024-04-18 18:05:00,GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,582,WM,WM,L 0-12,LAD,DET,20.5,22,1,1,4.2,77,22,33.8%,92.4,93.2,18.6,6.81,36.4%,4.5%,66.2%,49.4%,22.1%,59.1%,77.3%,77.78%,63.64%,33.8%,35.9%,33.3%,30.8%,64.1%,25.0%,.294,.391,0.19,.002,Whitecaps,GL vs. WM (2024-04-18)<br>L 0-12,4/18/24
26,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,755989,2024-04-12 18:05:00,GL - AFA,456,AFA,false,false,true,Great Lakes,GL,GL,499,LAN,LAN,L 3-9,LAD,ATH,20.5,22,1,1,3.1,71,18,52.1%,92.6,93.2,18.8,6.28,16.7%,33.3%,40.8%,32.4%,19.7%,44.4%,27.8%,16.67%,50.00%,25.4%,26.7%,0.0%,12.5%,73.3%,0.0%,.391,.377,-1.26,-.018,Lugnuts,GL vs. LAN (2024-04-12)<br>L 3-9,4/12/24
27,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756125,2024-04-05 18:05:00,GL - AFA,456,AFA,true,true,true,Great Lakes,GL,GL,584,FW,FW,W 3-2 (11),LAD,SD,20.5,22,1,1,3.0,67,15,29.9%,91.8,92.7,17.8,6.93,26.7%,20.0%,55.2%,43.3%,19.4%,66.7%,46.7%,18.75%,50.00%,20.9%,20.7%,8.7%,15.8%,79.3%,12.5%,.348,.339,-0.57,-.009,TinCaps,GL vs. FW (2024-04-05)<br>W 3-2,4/5/24
