SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,693311,2021,0,2021,18.9,ROK,23,8,1,8.0,147,41,65.2%,92.4,96.0,22.0,6.02,34.1%,7.3%,66.7%,50.7%,17.2%,68.3%,65.9%,25.00%,68.42%,39.5%,43.7%,27.9%,24.2%,56.3%,16.7%,.299,.376,1.09,.007,SplitBy
2022^1,693311,2022,1,2022,19.9,A,23,16,16,52.1,810,195,51.9%,96.1,97.2,18.1,6.57,41.5%,7.7%,64.2%,44.0%,18.6%,64.1%,62.6%,34.51%,71.15%,35.6%,38.0%,25.7%,32.6%,62.0%,9.2%,.202,.219,22.33,.028,SplitBy
2023^2,693311,2023,2,2023,20.9,,23,23,23,96.0,1594,404,49.5%,95.7,97.3,16.9,5.87,24.5%,8.4%,61.7%,48.7%,17.8%,58.7%,55.1%,21.63%,53.79%,28.2%,27.6%,18.5%,25.6%,72.4%,14.7%,.303,.320,3.45,.002,SplitBy
2024^3,693311,2024,3,2024,21.9,AA,23,20,20,79.2,1327,320,48.2%,94.0,96.1,18.1,5.91,34.1%,8.1%,63.0%,48.1%,16.8%,62.5%,55.1%,28.05%,65.41%,32.4%,36.4%,26.3%,30.1%,63.6%,16.4%,.248,.255,16.90,.013,SplitBy
2025^4,693311,2025,4,2025,22.9,,23,8,8,21.1,369,86,35.0%,92.8,95.1,15.7,5.70,27.9%,15.1%,57.2%,45.3%,20.9%,59.3%,53.5%,21.54%,60.00%,28.5%,32.5%,26.1%,22.8%,67.5%,10.4%,.283,.264,2.55,.007,SplitBy
2026^5,693311,2026,5,2026,23.9,AAA,23,7,0,7.1,148,40,16.2%,92.1,93.3,14.7,6.00,12.5%,22.5%,52.7%,41.9%,31.8%,55.0%,52.5%,17.65%,33.33%,23.0%,20.0%,15.0%,17.4%,80.0%,36.0%,.377,.417,-1.11,-.007,SplitBy
