SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2022^0,690916,2022,0,2022,22.5,,26,22,22,112.0,1706,445,54.6%,92.6,93.9,19.7,6.59,29.4%,4.5%,68.5%,48.4%,17.0%,68.3%,66.4%,25.00%,51.47%,32.8%,31.6%,26.3%,34.6%,68.4%,12.0%,.256,.275,26.20,.015,SplitBy
2023^1,690916,2023,1,2023,23.5,AA,26,27,27,152.2,2446,629,52.7%,93.5,94.7,19.3,6.43,25.9%,6.8%,66.4%,52.2%,12.3%,65.0%,62.5%,21.38%,50.76%,29.3%,27.9%,21.8%,30.0%,72.1%,19.6%,.285,.289,21.74,.009,SplitBy
2024^2,690916,2024,2,2024,24.5,AAA,26,24,23,116.2,1889,492,42.6%,94.3,95.2,18.0,6.49,22.6%,7.5%,66.9%,53.4%,13.9%,61.8%,63.6%,22.04%,42.50%,28.5%,25.3%,17.5%,30.8%,74.7%,17.7%,.307,.325,15.21,.008,SplitBy
2025^3,690916,2025,3,2025,25.5,,26,7,7,30.0,489,127,28.0%,94.9,95.5,17.9,6.55,21.3%,8.7%,64.2%,48.5%,17.4%,59.1%,61.7%,18.33%,47.06%,29.4%,24.8%,20.5%,29.8%,75.2%,15.3%,.273,.309,4.94,.010,SplitBy
2026^4,690916,2026,4,2026,26.5,AAA,26,3,3,15.1,232,62,39.7%,94.9,95.7,18.4,6.52,17.7%,9.7%,60.8%,47.0%,15.1%,56.5%,53.2%,7.69%,45.00%,25.9%,22.9%,16.0%,24.4%,77.1%,11.4%,.298,.293,1.01,.004,SplitBy
