SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2022^0,800571,2022,0,2022,17.5,ROK,21,11,11,39.0,574,153,55.9%,92.4,93.8,20.3,5.81,24.8%,3.9%,68.6%,43.4%,16.2%,63.4%,65.4%,19.10%,52.94%,29.4%,21.1%,14.8%,31.5%,78.9%,5.8%,.260,.279,4.04,.007,SplitBy
2023^1,800571,2023,1,2023,18.5,,21,15,8,59.1,801,232,50.3%,93.7,94.6,17.1,6.34,22.4%,4.7%,67.4%,52.6%,11.0%,66.8%,72.2%,22.69%,52.87%,29.0%,23.3%,15.3%,27.1%,76.7%,13.5%,.247,.255,12.59,.016,SplitBy
2024^2,800571,2024,2,2024,19.5,A,21,23,23,111.2,1648,448,56.9%,94.5,95.7,20.2,6.78,25.7%,4.7%,69.2%,54.8%,10.7%,65.6%,63.9%,23.60%,53.09%,28.6%,28.1%,21.5%,35.5%,71.9%,16.9%,.267,.285,26.13,.016,SplitBy
2025^3,800571,2025,3,2025,20.5,,21,12,12,51.2,729,210,58.7%,94.5,95.9,19.9,6.79,25.7%,3.8%,71.7%,60.9%,8.8%,75.7%,71.4%,21.21%,53.33%,30.2%,27.0%,21.5%,31.3%,73.0%,17.0%,.235,.275,16.28,.022,SplitBy
2026^4,800571,2026,4,2026,21.5,,21,4,4,16.2,275,74,45.8%,95.0,96.3,19.9,6.99,29.7%,8.1%,70.2%,60.4%,6.2%,68.9%,71.2%,23.40%,52.63%,32.7%,28.0%,20.2%,31.2%,72.0%,22.2%,.346,.344,0.35,.001,SplitBy
