SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2022^0,804973,2022,0,2022,16.9,ROK,20,12,5,35.2,553,153,19.7%,87.5,88.4,20.2,5.64,15.7%,5.9%,67.6%,47.4%,18.8%,69.9%,68.6%,12.20%,30.30%,25.7%,24.9%,17.9%,34.4%,75.1%,10.0%,.285,.320,6.77,.012,SplitBy
2023^1,804973,2023,1,2023,17.9,ROK,20,10,5,41.1,602,175,31.5%,88.0,88.8,16.3,5.80,19.4%,5.7%,68.8%,55.9%,13.9%,70.9%,72.0%,9.80%,50.00%,29.6%,24.6%,17.6%,29.9%,75.4%,10.3%,.328,.314,0.49,.001,SplitBy
2024^2,804973,2024,2,2024,18.9,A,20,18,18,94.2,1280,373,13.1%,88.9,89.2,16.6,5.94,20.6%,2.7%,70.4%,54.3%,12.7%,69.4%,68.9%,19.41%,42.86%,28.9%,24.5%,18.1%,32.3%,75.5%,16.2%,.262,.282,17.34,.014,SplitBy
2025^3,804973,2025,3,2025,19.9,,20,19,19,89.2,1313,352,10.7%,88.5,88.7,17.0,6.05,25.0%,4.3%,66.9%,55.7%,14.5%,65.1%,71.6%,22.69%,46.92%,30.0%,28.7%,22.0%,27.8%,71.3%,15.7%,.265,.281,15.41,.012,SplitBy
2026^4,804973,2026,4,2026,20.9,AA,20,3,3,14.1,240,59,21.7%,88.4,88.6,17.6,6.10,20.3%,8.5%,60.8%,47.5%,20.4%,69.5%,68.3%,13.46%,55.00%,27.9%,27.5%,19.2%,28.6%,72.5%,14.3%,.257,.348,3.36,.014,SplitBy
