SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,691786,2021,0,2021,18.9,ROK,23,1,1,1.0,23,6,47.8%,90.0,90.6,20.6,6.20,16.7%,16.7%,65.2%,39.1%,21.7%,50.0%,66.7%,33.33%,50.00%,34.8%,30.0%,20.0%,35.7%,70.0%,0.0%,.436,.408,-0.42,-.018,SplitBy
2022^1,691786,2022,1,2022,19.9,A,23,26,26,120.1,2037,559,33.7%,91.4,92.0,18.5,5.62,22.4%,8.9%,63.7%,47.2%,17.2%,56.5%,60.0%,24.70%,49.51%,29.6%,26.9%,19.1%,28.8%,73.1%,16.3%,.339,.362,-6.47,-.003,SplitBy
2023^2,691786,2023,2,2023,20.9,A,23,22,22,101.1,1628,435,33.2%,92.7,93.2,19.9,5.76,24.4%,9.2%,62.2%,48.0%,17.7%,62.1%,60.3%,25.00%,55.86%,31.1%,31.6%,23.2%,26.7%,68.4%,12.7%,.290,.301,12.07,.007,SplitBy
2024^3,691786,2024,3,2024,21.9,,23,27,27,149.0,2138,610,37.3%,92.1,92.7,19.6,6.08,24.1%,6.2%,66.3%,53.0%,14.1%,67.5%,66.4%,23.20%,51.32%,30.0%,27.1%,19.4%,29.7%,72.9%,15.4%,.271,.291,23.68,.011,SplitBy
2025^4,691786,2025,4,2025,22.9,AA,23,22,22,101.2,1577,435,28.7%,90.4,91.1,17.1,6.36,16.1%,8.5%,62.4%,48.7%,17.3%,62.3%,60.1%,17.62%,39.44%,26.0%,22.5%,14.8%,24.8%,77.5%,17.9%,.304,.317,4.68,.003,SplitBy
2026^5,691786,2026,5,2026,23.9,AA,23,4,4,13.1,228,62,26.8%,90.9,91.4,16.0,6.25,17.7%,17.7%,58.8%,52.2%,18.0%,62.9%,58.1%,35.00%,45.83%,26.3%,29.5%,23.5%,22.0%,70.5%,12.5%,.316,.330,2.42,.011,SplitBy
