SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2022^0,800338,2022,0,2022,17.0,ROK,20,14,9,35.1,448,158,36.1%,88.5,89.7,19.3,6.02,27.2%,13.3%,62.3%,40.5%,24.5%,59.5%,66.0%,33.33%,84.00%,32.8%,40.3%,14.8%,35.3%,59.7%,25.0%,.302,.332,6.67,.015,SplitBy
2023^1,800338,2023,1,2023,18.0,,20,13,9,50.2,687,210,39.7%,89.0,90.2,18.8,6.26,33.8%,8.1%,67.2%,46.8%,19.6%,69.5%,66.5%,36.49%,73.49%,38.3%,38.0%,21.8%,28.3%,62.0%,6.2%,.208,.236,15.45,.022,SplitBy
2024^2,800338,2024,2,2024,19.0,A,20,23,16,82.0,1332,370,21.6%,90.3,90.4,16.4,6.43,22.4%,11.1%,62.6%,50.4%,14.4%,61.6%,61.2%,23.75%,52.55%,28.8%,24.7%,19.8%,24.7%,75.3%,12.3%,.285,.321,17.69,.013,SplitBy
2025^3,800338,2025,3,2025,20.0,,20,20,13,71.2,1138,307,32.8%,92.5,93.8,17.3,6.19,22.1%,11.1%,64.0%,53.3%,13.0%,62.9%,65.9%,18.64%,49.57%,28.9%,26.0%,20.2%,26.7%,74.0%,12.2%,.271,.293,17.76,.016,SplitBy
2026^4,800338,2026,4,2026,21.0,A+,20,3,3,13.0,192,53,38.5%,92.0,93.0,17.6,6.53,30.2%,7.5%,65.1%,53.6%,10.9%,64.2%,64.2%,25.00%,60.00%,28.6%,25.5%,18.8%,33.7%,74.5%,9.1%,.244,.257,3.22,.017,SplitBy
