SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,694335,2021,0,2021,22.4,A,27,11,0,15.2,248,66,0.0%,-,96.7,9.5,6.47,34.8%,12.1%,64.5%,51.2%,17.7%,65.2%,63.6%,33.33%,66.67%,32.7%,30.7%,23.5%,24.0%,69.3%,9.1%,.248,.218,4.65,.019,SplitBy
2022^1,694335,2022,1,2022,23.4,,27,28,9,82.1,1250,348,0.1%,92.6,95.0,11.6,6.32,23.9%,6.6%,63.0%,50.5%,17.5%,62.4%,58.2%,25.53%,61.82%,26.5%,25.9%,18.4%,27.2%,74.1%,13.7%,.253,.317,20.12,.016,SplitBy
2023^2,694335,2023,2,2023,24.4,,27,41,0,53.1,862,212,0.9%,95.9,95.7,11.0,5.79,30.2%,7.5%,64.0%,53.4%,16.1%,64.6%,64.0%,26.80%,51.06%,30.6%,27.5%,20.7%,25.3%,72.5%,8.3%,.241,.235,11.48,.013,SplitBy
2024^3,694335,2024,3,2024,25.4,AA,27,53,0,63.2,1030,283,3.4%,93.9,96.3,11.5,6.10,20.8%,8.8%,66.6%,55.9%,11.0%,64.7%,63.0%,15.06%,44.44%,28.3%,22.6%,17.8%,26.3%,77.4%,15.1%,.273,.325,15.29,.015,SplitBy
2025^4,694335,2025,4,2025,26.4,AAA,27,15,0,21.2,386,98,3.9%,96.1,97.0,11.7,6.54,22.4%,9.2%,62.4%,48.2%,17.4%,59.2%,61.2%,24.66%,65.52%,23.8%,22.0%,14.6%,30.5%,78.0%,15.4%,.315,.343,0.77,.002,SplitBy
