SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,694358,2021,0,2021,19.8,A,24,6,6,22.0,356,90,54.2%,92.2,93.2,22.3,6.09,38.9%,7.8%,64.6%,43.7%,14.6%,63.3%,64.4%,38.46%,69.05%,33.4%,36.6%,29.2%,29.9%,63.4%,7.7%,.209,.239,6.68,.019,SplitBy
2022^1,694358,2022,1,2022,20.8,A+,24,22,21,104.2,1682,444,52.4%,94.1,95.0,20.0,6.44,28.4%,7.9%,66.9%,51.7%,13.8%,62.6%,62.6%,22.83%,56.38%,31.3%,30.1%,20.5%,30.5%,69.9%,16.6%,.293,.327,14.87,.009,SplitBy
2023^2,694358,2023,2,2023,21.8,AA,24,14,14,58.1,902,239,54.7%,94.8,95.8,19.0,6.21,28.9%,6.3%,65.2%,51.6%,14.2%,64.0%,59.4%,21.64%,57.58%,30.5%,29.8%,21.1%,29.9%,70.2%,20.4%,.283,.313,5.89,.007,SplitBy
2024^3,694358,2024,3,2024,22.8,,24,10,10,38.1,640,176,49.2%,95.9,97.1,18.1,6.32,22.2%,8.5%,63.9%,50.3%,14.5%,55.7%,52.8%,23.33%,49.18%,28.1%,29.3%,21.1%,28.9%,70.7%,18.4%,.339,.388,0.37,.001,SplitBy
2025^4,694358,2025,4,2025,23.8,,24,16,16,78.1,1160,316,40.4%,95.3,96.3,17.6,6.30,27.5%,6.0%,66.0%,50.1%,15.0%,62.0%,62.7%,27.27%,57.60%,30.9%,30.5%,18.3%,33.9%,69.5%,21.8%,.288,.284,7.95,.007,SplitBy
