Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754306,2024-06-27 18:30:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,249,WIL,WIL,W 5-4,CLE,MIL,19.9,21,1,1,3.1,64,14,45.3%,89.4,90.7,18.0,6.11,28.6%,21.4%,54.7%,42.2%,23.4%,42.9%,42.9%,16.67%,60.00%,32.8%,39.1%,43.8%,18.9%,60.9%,28.6%,.312,.300,0.33,.005,Mudcats,HC vs. WIL (2024-06-27)<br>W 5-4,6/27/24
12,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754247,2024-06-21 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,233,CHS,CHS,L 0-3 (8),CLE,TB,19.9,21,1,1,3.0,44,12,20.5%,89.6,90.0,19.5,6.13,16.7%,16.7%,59.1%,52.3%,20.5%,58.3%,58.3%,12.50%,100.00%,29.5%,13.3%,7.7%,9.5%,86.7%,12.5%,.264,.359,0.60,.014,RiverDogs,HC vs. CHS (2024-06-21)<br>L 0-3,6/21/24
13,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753781,2024-06-15 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,478,AUG,AUG,W 7-4,CLE,ATL,19.9,21,1,1,3.2,67,16,53.7%,89.8,91.3,18.2,6.14,25.0%,31.3%,44.8%,34.3%,16.4%,56.3%,37.5%,42.86%,60.00%,31.3%,52.6%,57.1%,11.4%,47.4%,14.3%,.359,.270,-0.51,-.008,GreenJackets,HC vs. AUG (2024-06-15)<br>W 7-4,6/15/24
14,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754117,2024-06-09 14:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,548,DEL,DEL,L 4-8,CLE,BAL,19.9,21,1,1,4.0,58,15,34.5%,91.1,91.6,17.6,6.08,26.7%,13.3%,51.7%,41.4%,24.1%,26.7%,46.7%,50.00%,60.00%,25.9%,34.8%,36.8%,11.8%,65.2%,25.0%,.439,.430,-1.99,-.034,Shorebirds,HC vs. DEL (2024-06-09)<br>L 4-8,6/9/24
15,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753787,2024-06-02 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,414,SAL,SAL,W 4-1,CLE,BOS,19.9,21,1,1,4.0,56,16,46.4%,90.9,92.8,18.4,6.10,25.0%,6.3%,60.7%,44.6%,21.4%,68.8%,68.8%,33.33%,75.00%,25.0%,33.3%,15.8%,35.5%,66.7%,9.1%,.170,.232,1.93,.035,Red Sox,HC vs. SAL (2024-06-02)<br>W 4-1,6/2/24
16,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753789,2024-05-28 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,414,SAL,SAL,W 6-4 (10),CLE,BOS,19.9,21,1,1,2.2,61,15,37.7%,91.1,92.0,17.5,6.15,26.7%,20.0%,59.0%,52.5%,18.0%,66.7%,40.0%,12.50%,66.67%,32.8%,27.3%,18.8%,20.7%,72.7%,25.0%,.313,.314,0.28,.005,Red Sox,HC vs. SAL (2024-05-28)<br>W 6-4,5/28/24
17,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753932,2024-05-22 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,436,FBG,FBG,L 6-10,CLE,WSH,19.9,21,1,1,1.0,44,12,13.6%,89.4,90.9,18.3,6.13,16.7%,33.3%,43.2%,34.1%,27.3%,33.3%,41.7%,40.00%,100.00%,22.7%,40.0%,20.0%,17.2%,60.0%,50.0%,.713,.729,-3.13,-.071,Nationals,HC vs. FBG (2024-05-22)<br>L 6-10,5/22/24
18,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753796,2024-05-16 12:05:00 (1),HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,548,DEL,DEL,L 2-5 (7),CLE,BAL,19.9,21,1,1,4.0,52,18,42.3%,90.4,91.8,16.9,6.09,16.7%,0.0%,71.2%,51.9%,15.4%,66.7%,68.4%,16.67%,42.86%,38.5%,37.0%,31.6%,32.0%,63.0%,14.3%,.275,.522,0.72,.014,Shorebirds,HC vs. DEL (2024-05-16)<br>L 2-5,5/16/24
19,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754065,2024-05-09 18:30:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,485,DE,DE,L 1-2,CLE,TEX,19.9,21,1,1,4.0,43,14,55.8%,90.9,92.0,19.5,5.34,21.4%,14.3%,67.4%,51.2%,14.0%,78.6%,80.0%,20.00%,60.00%,30.2%,20.0%,7.7%,33.3%,80.0%,0.0%,.254,.224,0.97,.023,Wood Ducks,HC vs. DE (2024-05-09)<br>L 1-2,5/9/24
20,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753801,2024-05-03 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,487,KAN,KAN,L 6-12,CLE,CWS,19.9,21,1,1,3.0,39,10,56.4%,90.4,91.5,17.7,6.12,40.0%,10.0%,66.7%,64.1%,12.8%,80.0%,50.0%,25.00%,50.00%,33.3%,23.5%,7.7%,28.6%,76.5%,0.0%,.121,.069,1.74,.045,Cannon Ballers,HC vs. KAN (2024-05-03)<br>L 6-12,5/3/24
21,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753804,2024-04-26 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,521,MB,MB,W 3-2,CLE,CHC,19.9,21,1,1,3.0,34,10,58.8%,90.9,92.5,17.6,6.07,40.0%,0.0%,70.6%,44.1%,14.7%,60.0%,50.0%,50.00%,66.67%,44.1%,52.6%,33.3%,36.8%,47.4%,20.0%,.118,.125,1.57,.046,Pelicans,HC vs. MB (2024-04-26)<br>W 3-2,4/26/24
22,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753675,2024-04-21 15:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 6-2,CLE,BOS,19.9,21,1,1,1.2,34,6,52.9%,91.4,92.4,20.6,6.28,66.7%,16.7%,58.8%,41.2%,29.4%,83.3%,66.7%,22.22%,66.67%,35.3%,38.5%,22.2%,20.0%,61.5%,0.0%,.118,.115,0.51,.015,Red Sox,HC vs. SAL (2024-04-21)<br>W 6-2,4/21/24
23,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753815,2024-04-10 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,436,FBG,FBG,L 8-14,CLE,WSH,19.9,21,1,1,0.0,32,6,37.5%,92.1,92.9,18.5,6.33,0.0%,66.7%,31.3%,28.1%,25.0%,0.0%,50.0%,0.00%,-,21.9%,40.0%,0.0%,13.0%,60.0%,50.0%,.703,.948,-1.18,-.037,Nationals,HC vs. FBG (2024-04-10)<br>L 8-14,4/10/24
