SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2021^0,700669,2021,0,2021,21.3,A,26,11,1,26.0,433,116,5.6%,94.0,95.3,16.0,6.26,31.9%,7.8%,68.6%,52.5%,12.9%,63.8%,70.7%,27.69%,64.81%,35.3%,33.9%,25.5%,34.5%,66.1%,7.7%,.234,.294,11.53,.027,SplitBy
2022^1,700669,2022,1,2022,22.3,,26,26,26,139.1,2051,544,43.3%,94.8,96.3,18.6,5.75,25.6%,5.1%,66.4%,52.4%,13.0%,66.9%,63.1%,22.85%,50.84%,31.7%,31.1%,23.1%,32.2%,68.9%,14.7%,.255,.264,33.98,.017,SplitBy
2023^2,700669,2023,2,2023,23.3,AAA,26,21,18,86.0,1504,387,54.1%,94.1,95.7,17.2,6.36,20.9%,11.6%,62.2%,49.3%,16.1%,55.3%,60.5%,19.90%,46.27%,26.7%,23.9%,13.8%,27.7%,76.1%,17.8%,.317,.334,11.70,.008,SplitBy
2024^3,700669,2024,3,2024,24.3,AAA,26,27,26,130.0,2203,583,50.2%,92.5,93.8,16.9,6.44,18.4%,8.6%,63.2%,50.0%,16.8%,59.0%,59.6%,16.85%,43.39%,25.0%,19.4%,11.3%,27.0%,80.6%,20.0%,.328,.350,4.86,.002,SplitBy
2025^4,700669,2025,4,2025,25.3,AAA,26,24,4,45.1,699,190,43.6%,95.3,96.5,16.8,6.24,23.7%,6.8%,65.1%,49.6%,18.5%,64.7%,63.9%,21.30%,47.44%,29.9%,28.1%,16.6%,30.4%,71.9%,13.7%,.260,.310,8.70,.012,SplitBy
2026^5,700669,2026,5,2026,26.3,AAA,26,1,0,1.1,19,5,57.9%,96.0,96.8,14.7,6.13,20.0%,20.0%,52.6%,31.6%,10.5%,60.0%,60.0%,50.00%,-,21.1%,33.3%,40.0%,30.8%,66.7%,0.0%,.211,.139,0.41,.022,SplitBy
