Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756550,2024-06-16 15:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,516,VIS,VIS,W 15-3,SEA,AZ,20.9,22,1,1,6.0,82,21,24.7%,91.8,92.4,19.2,5.83,23.8%,9.5%,63.4%,44.4%,22.2%,66.7%,61.9%,18.18%,44.44%,36.6%,35.3%,11.1%,35.6%,64.7%,0.0%,.172,.150,2.72,.033,Rawhide,MOD vs. VIS (2024-06-16)<br>W 15-3,6/16/24
12,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756557,2024-06-11 21:30:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,516,VIS,VIS,L 5-6 (10),SEA,AZ,20.9,22,1,1,6.0,76,25,43.4%,92.2,93.1,19.5,5.83,28.0%,0.0%,77.6%,58.7%,18.7%,68.0%,80.0%,40.00%,45.45%,34.2%,23.3%,6.5%,35.5%,76.7%,6.3%,.280,.247,0.35,.005,Rawhide,MOD vs. VIS (2024-06-11)<br>L 5-6,6/11/24
13,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756628,2024-06-05 22:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 9-2,SEA,COL,20.9,22,1,1,6.0,78,22,44.9%,92.2,93.0,21.2,5.84,22.7%,4.5%,66.7%,53.8%,12.8%,50.0%,72.7%,23.08%,60.00%,26.9%,18.4%,13.8%,25.0%,81.6%,20.0%,.268,.258,0.63,.008,Grizzlies,MOD vs. FRE (2024-06-05)<br>W 9-2,6/5/24
14,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756499,2024-05-30 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,524,STK,STK,W 16-4,SEA,ATH,20.9,22,1,1,5.2,82,24,46.3%,91.7,92.5,21.1,5.42,20.8%,8.3%,67.1%,48.8%,13.4%,58.3%,54.2%,28.57%,57.14%,34.1%,25.0%,20.0%,26.2%,75.0%,5.9%,.259,.241,1.20,.015,Ports,MOD vs. STK (2024-05-30)<br>W 16-4,5/30/24
15,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756433,2024-05-24 21:30:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,526,RC,RC,W 11-9,SEA,LAD,20.9,22,1,1,5.0,81,22,44.4%,92.1,92.9,20.1,6.51,40.9%,9.1%,66.7%,56.8%,12.3%,72.7%,68.2%,50.00%,69.23%,39.5%,42.1%,29.6%,31.4%,57.9%,10.0%,.204,.272,2.43,.030,Quakes,MOD vs. RC (2024-05-24)<br>W 11-9,5/24/24
16,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756634,2024-05-18 21:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 1-12,SEA,SF,20.9,22,1,1,4.0,77,21,40.3%,91.8,92.5,21.3,5.86,33.3%,14.3%,62.3%,48.7%,13.2%,57.1%,52.4%,36.36%,71.43%,35.1%,32.3%,23.8%,23.1%,67.7%,0.0%,.291,.301,0.56,.007,Giants,MOD vs. SJ (2024-05-18)<br>L 1-12,5/18/24
17,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756831,2024-05-12 16:05:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,259,FRE,FRE,L 0-1,SEA,COL,20.9,22,1,1,5.0,72,20,34.7%,91.2,91.9,20.1,5.52,20.0%,10.0%,65.3%,51.4%,16.7%,60.0%,65.0%,25.00%,50.00%,29.2%,23.5%,13.0%,31.4%,76.5%,0.0%,.225,.245,1.72,.024,Grizzlies,MOD vs. FRE (2024-05-12)<br>L 0-1,5/12/24
18,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756839,2024-05-07 14:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 5-2,SEA,COL,20.9,22,1,1,4.1,81,18,48.1%,90.8,91.4,20.9,5.45,11.1%,11.1%,63.0%,53.1%,11.1%,61.1%,61.1%,8.33%,12.50%,22.2%,17.5%,16.1%,23.7%,82.5%,21.4%,.343,.288,0.41,.005,Grizzlies,MOD vs. FRE (2024-05-07)<br>W 5-2,5/7/24
19,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756637,2024-05-01 22:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,526,RC,RC,W 9-6,SEA,LAD,20.9,22,1,1,2.2,75,17,44.0%,91.6,92.3,21.5,5.87,11.8%,23.5%,50.7%,49.3%,12.0%,35.3%,35.3%,16.67%,25.00%,24.0%,16.7%,15.0%,10.5%,83.3%,9.1%,.467,.443,-1.29,-.017,Quakes,MOD vs. RC (2024-05-01)<br>W 9-6,5/1/24
20,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756643,2024-04-25 22:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,524,STK,STK,L 2-3,SEA,ATH,20.9,22,1,1,4.1,79,20,35.9%,92.1,92.6,22.3,6.04,30.0%,5.0%,59.5%,55.1%,19.2%,50.0%,50.0%,25.00%,44.44%,32.9%,40.0%,28.0%,28.6%,60.0%,16.7%,.285,.343,0.70,.009,Ports,MOD vs. STK (2024-04-25)<br>L 2-3,4/25/24
21,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756717,2024-04-19 22:00:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,476,SJ,SJ,W 9-3,SEA,SF,20.9,22,1,1,5.0,71,19,50.7%,91.5,92.1,20.6,6.50,21.1%,5.3%,69.0%,54.9%,11.3%,68.4%,57.9%,0.00%,40.00%,29.6%,28.2%,23.3%,28.1%,71.8%,7.1%,.260,.215,1.32,.019,Giants,MOD vs. SJ (2024-04-19)<br>W 9-3,4/19/24
22,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756647,2024-04-11 22:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,103,LE,LE,W 12-3,SEA,SD,20.9,22,1,1,5.0,79,21,57.7%,92.3,93.0,22.2,5.89,23.8%,4.8%,70.9%,64.1%,12.8%,61.9%,76.2%,23.08%,45.45%,31.6%,29.5%,21.9%,39.3%,70.5%,15.4%,.284,.288,1.46,.018,Storm,MOD vs. LE (2024-04-11)<br>W 12-3,4/11/24
23,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756521,2024-04-05 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,524,STK,STK,W 7-2,SEA,ATH,20.9,22,1,1,4.0,78,17,48.7%,91.0,91.7,22.7,5.88,23.5%,17.6%,57.7%,50.0%,19.2%,64.7%,58.8%,12.50%,50.00%,26.9%,20.0%,23.8%,23.1%,80.0%,0.0%,.326,.329,0.29,.004,Ports,MOD vs. STK (2024-04-05)<br>W 7-2,4/5/24
