SplitBy,playerId,Seasons,Seasons_Sort,entityKey,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,splitByName
2023^0,702281,2023,0,2023,19.5,,22,22,22,103.2,1676,416,61.2%,93.0,94.1,19.6,6.20,28.4%,8.2%,64.6%,52.0%,15.8%,64.2%,61.7%,23.30%,51.08%,31.0%,29.1%,21.3%,24.5%,70.9%,14.1%,.260,.267,20.87,.012,SplitBy
2024^1,702281,2024,1,2024,20.5,,22,24,24,115.1,1882,508,51.3%,92.1,93.3,17.3,6.02,22.6%,8.9%,65.0%,52.0%,12.5%,57.9%,60.9%,18.75%,53.44%,29.4%,26.3%,21.3%,27.4%,73.7%,18.7%,.329,.358,1.76,.001,SplitBy
2025^2,702281,2025,2,2025,21.5,,22,25,25,136.0,2148,547,38.5%,94.5,95.2,18.1,6.11,30.3%,7.1%,66.5%,52.9%,13.0%,65.3%,64.5%,25.60%,53.39%,32.8%,30.5%,23.2%,29.0%,69.5%,15.9%,.245,.272,33.67,.016,SplitBy
2026^3,702281,2026,3,2026,22.5,AAA,22,4,4,19.0,319,74,50.2%,94.2,95.1,19.2,6.26,41.9%,12.2%,62.7%,46.7%,16.4%,62.2%,55.4%,37.84%,69.05%,34.2%,31.6%,21.4%,29.0%,68.4%,14.7%,.225,.228,3.85,.012,SplitBy
