Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786119,2025-06-08 13:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 6-5,CLE,BOS,20,1,4.0,65,18,33.8%,93.7,95.1,16.1,6.53,27.8%,0.0%,72.3%,52.3%,10.8%,55.6%,61.1%,66.67%,36.36%,26.2%,21.1%,23.1%,38.7%,78.9%,23.1%,.359,.400,-0.64,-.010,Red Sox,HC vs. SAL (2025-06-08)<br>W 6-5,6/8/25
12,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786122,2025-06-03 18:35:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,414,SAL,SAL,L 3-8,CLE,BOS,20,1,5.0,66,21,42.4%,93.1,94.0,16.8,6.63,4.8%,4.8%,69.7%,56.1%,13.6%,47.6%,71.4%,12.50%,0.00%,16.7%,12.5%,13.8%,37.9%,87.5%,10.5%,.221,.345,2.03,.031,Red Sox,HC vs. SAL (2025-06-03)<br>L 3-8,6/3/25
13,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786250,2025-05-28 12:05:00 (1),HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,436,FBG,FBG,W 5-0 (7),CLE,WSH,20,1,4.2,72,20,56.9%,92.6,93.4,17.5,6.48,25.0%,20.0%,58.3%,59.7%,2.8%,55.0%,45.0%,25.00%,60.00%,26.4%,20.7%,16.7%,17.2%,79.3%,0.0%,.277,.226,1.43,.020,Nationals,HC vs. FBG (2025-05-28)<br>W 5-0,5/28/25
14,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786515,2025-05-22 18:35:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,3712,FAY,FAY,W 5-2,CLE,HOU,20,1,2.1,62,12,53.2%,93.9,94.8,18.9,6.55,33.3%,16.7%,62.9%,50.0%,16.1%,50.0%,50.0%,15.38%,66.67%,32.3%,36.7%,22.7%,25.8%,63.3%,0.0%,.211,.397,1.60,.026,Woodpeckers,HC vs. FAY (2025-05-22)<br>W 5-2,5/22/25
15,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786257,2025-05-16 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,521,MB,MB,W 12-4,CLE,CHC,20,1,4.0,60,15,48.3%,92.9,93.4,19.4,6.51,20.0%,6.7%,68.3%,51.7%,13.3%,73.3%,68.8%,23.08%,33.33%,26.7%,24.2%,15.0%,44.8%,75.8%,0.0%,.271,.306,1.01,.017,Pelicans,HC vs. MB (2025-05-16)<br>W 12-4,5/16/25
16,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786464,2025-05-10 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,436,FBG,FBG,W 7-2,CLE,WSH,20,1,4.0,55,13,50.9%,93.4,94.3,20.1,6.44,30.8%,0.0%,74.5%,58.2%,7.3%,69.2%,61.5%,42.86%,50.00%,36.4%,30.0%,24.0%,21.7%,70.0%,0.0%,.163,.136,1.70,.031,Nationals,HC vs. FBG (2025-05-10)<br>W 7-2,5/10/25
17,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786258,2025-05-04 13:00:00 (1),HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,233,CHS,CHS,L 1-3 (7),CLE,TB,20,1,3.0,59,14,54.2%,93.8,94.5,18.5,6.49,21.4%,7.1%,61.0%,59.3%,6.8%,50.0%,78.6%,25.00%,40.00%,25.4%,16.0%,9.1%,12.5%,84.0%,10.0%,.299,.411,0.23,.004,RiverDogs,HC vs. CHS (2025-05-04)<br>L 1-3,5/4/25
18,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786265,2025-04-27 14:00:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,3712,FAY,FAY,L 2-10,CLE,HOU,20,1,2.0,56,12,55.4%,93.4,94.3,18.9,6.41,41.7%,8.3%,60.7%,50.0%,7.1%,41.7%,58.3%,42.86%,42.86%,28.6%,30.8%,29.4%,32.1%,69.2%,16.7%,.223,.456,1.03,.018,Woodpeckers,HC vs. FAY (2025-04-27)<br>L 2-10,4/27/25
19,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786270,2025-04-22 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,3712,FAY,FAY,W 6-5,CLE,HOU,20,1,4.0,64,17,43.8%,93.4,94.1,20.4,6.33,35.3%,11.8%,70.3%,64.1%,17.2%,82.4%,88.2%,50.00%,55.56%,37.5%,32.3%,20.8%,30.4%,67.7%,22.2%,.246,.259,1.62,.025,Woodpeckers,HC vs. FAY (2025-04-22)<br>W 6-5,4/22/25
20,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786139,2025-04-16 11:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,414,SAL,SAL,L 7-9,CLE,BOS,20,1,3.2,63,17,66.7%,92.2,93.2,21.3,6.58,23.5%,11.8%,63.5%,55.6%,9.5%,70.6%,58.8%,28.57%,42.86%,25.4%,29.4%,20.0%,32.1%,70.6%,0.0%,.182,.237,2.32,.037,Red Sox,HC vs. SAL (2025-04-16)<br>L 7-9,4/16/25
21,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786274,2025-04-10 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,487,KAN,KAN,L 6-13,CLE,CWS,20,1,4.0,60,16,45.0%,93.4,94.0,21.4,7.02,25.0%,6.3%,71.7%,60.0%,5.0%,81.3%,87.5%,9.09%,44.44%,35.0%,31.3%,18.5%,20.8%,68.8%,18.2%,.250,.253,1.23,.021,Cannon Ballers,HC vs. KAN (2025-04-10)<br>L 6-13,4/10/25
22,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786538,2025-04-04 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,3712,FAY,FAY,L 0-7,CLE,HOU,20,1,3.0,61,15,50.8%,91.7,92.8,19.2,6.55,40.0%,0.0%,73.8%,59.0%,8.2%,60.0%,50.0%,40.00%,50.00%,41.0%,28.6%,25.0%,32.0%,71.4%,11.1%,.163,.341,1.75,.029,Woodpeckers,HC vs. FAY (2025-04-04)<br>L 0-7,4/4/25
