Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750912,2024-07-05 18:10:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,538,HFD,HFD,W 7-3,NYM,COL,22.9,24,1,5.0,72,25,12.7%,95.3,95.4,12.1,5.28,20.0%,8.0%,65.3%,47.9%,16.9%,52.0%,76.0%,25.00%,80.00%,31.9%,35.1%,23.1%,29.7%,64.9%,6.3%,.277,.367,0.75,.010,Yard Goats,BNG vs. HFD (2024-07-05)<br>W 7-3,7/5/24
12,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751196,2024-06-28 12:05:00 (1),BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,546,POR,POR,L 0-2 (7),NYM,BOS,22.9,24,1,5.0,80,21,7.5%,93.9,94.8,14.9,6.19,23.8%,4.8%,65.0%,53.8%,13.8%,71.4%,57.1%,28.57%,40.00%,28.7%,23.7%,20.7%,24.3%,76.3%,7.1%,.199,.235,1.71,.021,Sea Dogs,BNG vs. POR (2024-06-28)<br>L 0-2,6/28/24
13,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751333,2024-06-21 19:05:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,402,AKR,AKR,L 4-11,NYM,CLE,22.9,24,1,2.1,61,12,0.0%,-,95.0,12.6,6.25,33.3%,16.7%,62.3%,54.1%,24.6%,66.7%,53.8%,11.11%,66.67%,24.6%,14.8%,13.0%,14.3%,85.2%,33.3%,.566,.603,-2.46,-.040,RubberDucks,BNG vs. AKR (2024-06-21)<br>L 4-11,6/21/24
14,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751197,2024-06-15 18:07:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,1956,SOM,SOM,L 4-6 (10),NYM,NYY,22.9,24,1,5.2,82,24,37.8%,94.2,95.3,15.8,6.11,8.3%,12.5%,56.1%,51.2%,15.9%,62.5%,45.8%,0.00%,40.00%,22.0%,20.0%,10.0%,12.5%,80.0%,16.7%,.395,.376,-0.93,-.011,Patriots,BNG vs. SOM (2024-06-15)<br>L 4-6,6/15/24
15,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751127,2024-06-09 13:05:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,418,CHE,CHE,L 0-3,NYM,BAL,22.9,24,1,2.2,47,11,27.7%,94.7,95.0,16.0,5.98,54.5%,0.0%,72.3%,53.2%,10.6%,72.7%,63.6%,28.57%,57.14%,44.7%,40.9%,21.4%,36.4%,59.1%,40.0%,.295,.414,-0.10,-.002,Baysox,BNG vs. CHE (2024-06-09)<br>L 0-3,6/9/24
16,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751130,2024-06-04 18:35:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,418,CHE,CHE,L 1-4,NYM,BAL,22.9,24,1,5.0,80,20,11.3%,94.5,94.9,16.3,6.11,40.0%,0.0%,65.0%,53.8%,11.3%,65.0%,75.0%,42.86%,55.56%,32.5%,27.8%,20.0%,29.7%,72.2%,25.0%,.129,.333,2.27,.028,Baysox,BNG vs. CHE (2024-06-04)<br>L 1-4,6/4/24
17,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751206,2024-05-29 11:05:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,547,HBG,HBG,L 0-2 (7),NYM,WSH,22.9,24,1,5.0,76,23,27.6%,94.7,95.8,16.7,6.20,17.4%,8.7%,63.2%,55.3%,11.8%,69.6%,65.2%,33.33%,33.33%,26.3%,22.2%,18.5%,26.5%,77.8%,18.8%,.365,.321,-0.32,-.004,Senators,BNG vs. HBG (2024-05-29)<br>L 0-2,5/29/24
18,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750726,2024-05-22 18:45:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,522,REA,REA,L 7-12,NYM,PHI,22.9,24,1,4.0,78,19,12.8%,95.2,96.0,15.7,6.30,26.3%,0.0%,65.4%,51.3%,12.8%,36.8%,63.2%,33.33%,50.00%,26.9%,16.7%,8.0%,28.9%,83.3%,23.1%,.406,.467,-1.98,-.025,Fightin Phils,BNG vs. REA (2024-05-22)<br>L 7-12,5/22/24
19,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,755051,2024-05-16 13:05:00 (1),BRK - AFA,453,AFA,false,false,true,Brooklyn,BRK,BRK,2498,BG,BG,L 0-1 (7),NYM,TB,22.9,24,1,4.0,73,20,11.0%,95.7,96.2,16.0,6.29,45.0%,5.0%,71.2%,67.1%,11.0%,75.0%,80.0%,21.43%,66.67%,41.1%,37.1%,29.0%,16.7%,62.9%,22.2%,.257,.291,0.92,.013,Hot Rods,BRK vs. BG (2024-05-16)<br>L 0-1,5/16/24
20,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,754587,2024-05-10 19:00:00,BRK - AFA,453,AFA,false,true,true,Brooklyn,BRK,BRK,432,ROM,ROM,W 6-3 (10),NYM,ATL,22.9,24,1,5.0,70,20,27.1%,95.2,95.9,15.1,6.11,25.0%,10.0%,62.9%,55.7%,11.4%,65.0%,60.0%,16.67%,50.00%,25.7%,21.2%,15.4%,22.6%,78.8%,15.4%,.189,.283,2.23,.032,Emperors,BRK vs. ROM (2024-05-10)<br>W 6-3,5/10/24
21,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,754988,2024-05-04 14:00:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,488,ABD,ABD,W 4-0,NYM,BAL,22.9,24,1,5.0,71,16,11.3%,95.1,95.5,16.4,6.08,50.0%,6.3%,60.6%,47.9%,15.5%,62.5%,43.8%,63.64%,77.78%,31.0%,19.2%,11.1%,21.6%,80.8%,28.6%,.185,.232,0.39,.005,IronBirds,BRK vs. ABD (2024-05-04)<br>W 4-0,5/4/24
22,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,754992,2024-04-28 14:00:00,BRK - AFA,453,AFA,true,false,true,Brooklyn,BRK,BRK,426,WIL,WIL,L 1-5,NYM,WSH,22.9,24,1,3.0,37,9,18.9%,95.2,95.4,17.8,6.10,22.2%,11.1%,56.8%,54.1%,24.3%,55.6%,40.0%,0.00%,50.00%,29.7%,37.5%,38.5%,17.6%,62.5%,0.0%,.226,.175,0.86,.023,Blue Rocks,BRK vs. WIL (2024-04-28)<br>L 1-5,4/28/24
23,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,754997,2024-04-23 19:00:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,426,WIL,WIL,W 5-0,NYM,WSH,22.9,24,1,5.0,66,19,4.5%,95.1,95.9,17.9,6.02,31.6%,5.3%,74.2%,65.2%,9.1%,73.7%,84.2%,30.00%,62.50%,39.4%,23.3%,17.4%,30.4%,76.7%,18.2%,.191,.167,2.05,.031,Blue Rocks,BRK vs. WIL (2024-04-23)<br>W 5-0,4/23/24
24,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,754670,2024-04-17 18:35:00,BRK - AFA,453,AFA,false,false,true,Brooklyn,BRK,BRK,427,JS,JS,L 0-9,NYM,PHI,22.9,24,1,2.2,64,15,6.3%,96.4,96.6,18.0,6.28,26.7%,20.0%,59.4%,45.3%,10.9%,60.0%,60.0%,21.43%,60.00%,26.6%,19.2%,11.8%,25.7%,80.8%,0.0%,.311,.303,0.33,.005,BlueClaws,BRK vs. JS (2024-04-17)<br>L 0-9,4/17/24
25,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2024,755001,2024-04-10 14:00:00,BRK - AFA,453,AFA,true,false,true,Brooklyn,BRK,BRK,573,ASH,ASH,L 3-7,NYM,HOU,22.9,24,1,3.1,56,13,3.6%,96.1,95.6,14.8,6.14,15.4%,7.7%,64.3%,48.2%,14.3%,46.2%,78.6%,25.00%,16.67%,32.1%,18.2%,14.3%,27.6%,81.8%,37.5%,.367,.367,-0.24,-.004,Tourists,BRK vs. ASH (2024-04-10)<br>L 3-7,4/10/24
