Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785450,2025-06-25 17:00:00,TAM - AFX,587,AFX,true,false,true,Tampa,TAM,TAM,509,FTM,FTM,L 1-3,NYY,MIN,22,1,8.0,93,30,-,-,-,-,-,6.7%,0.0%,76.3%,-,-,73.3%,76.7%,8.33%,15.38%,30.1%,15.7%,-,-,84.3%,7.1%,.245,.245,2.70,.029,Mighty Mussels,TAM vs. FTM (2025-06-25)<br>L 1-3,6/25/25
12,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,786047,2025-06-19 18:30:00,TAM - AFX,587,AFX,false,false,true,Tampa,TAM,TAM,3390,BRD,BRD,L 5-6 (11),NYY,PIT,22,1,6.1,89,24,3.4%,90.8,89.5,9.2,6.57,33.3%,12.5%,65.2%,49.4%,22.5%,58.3%,79.2%,25.00%,58.33%,37.1%,35.9%,23.1%,28.9%,64.1%,7.7%,.238,.264,1.68,.019,Marauders,TAM vs. BRD (2025-06-19)<br>L 5-6,6/19/25
13,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785459,2025-06-13 18:52:00 (2),TAM - AFX,587,AFX,true,true,true,Tampa,TAM,TAM,566,CLR,CLR,W 7-6 (7),NYY,PHI,22,1,5.0,87,24,-,-,-,-,-,16.7%,4.2%,67.8%,-,-,54.2%,75.0%,20.00%,25.00%,23.0%,18.8%,-,-,81.3%,11.1%,.368,.368,-0.06,-.001,Threshers,TAM vs. CLR (2025-06-13)<br>W 7-6,6/13/25
14,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785719,2025-06-05 18:30:00,TAM - AFX,587,AFX,false,true,true,Tampa,TAM,TAM,479,JUP,JUP,W 6-1,NYY,MIA,22,1,6.0,84,21,22.6%,91.2,91.5,15.5,6.56,28.6%,0.0%,70.2%,58.3%,16.7%,81.0%,71.4%,19.05%,60.00%,25.0%,13.6%,5.9%,28.6%,86.4%,13.3%,.216,.182,1.03,.012,Hammerheads,TAM vs. JUP (2025-06-05)<br>W 6-1,6/5/25
15,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785463,2025-05-30 18:30:00,TAM - AFX,587,AFX,true,true,true,Tampa,TAM,TAM,509,FTM,FTM,W 9-3,NYY,MIN,22,1,5.0,78,22,-,-,-,-,-,18.2%,0.0%,66.7%,-,-,77.3%,63.6%,16.67%,37.50%,32.1%,25.0%,-,-,75.0%,16.7%,.294,.294,0.79,.010,Mighty Mussels,TAM vs. FTM (2025-05-30)<br>W 9-3,5/30/25
16,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785852,2025-05-24 18:30:00,TAM - AFX,587,AFX,false,true,true,Tampa,TAM,TAM,424,DUN,DUN,W 4-3,NYY,TOR,22,1,5.0,85,22,23.5%,92.1,92.0,16.3,6.48,31.8%,0.0%,67.1%,45.9%,30.6%,63.6%,68.2%,20.00%,50.00%,30.6%,29.5%,19.2%,39.1%,70.5%,21.4%,.281,.290,0.22,.003,Blue Jays,TAM vs. DUN (2025-05-24)<br>W 4-3,5/24/25
17,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785464,2025-05-18 12:00:00,TAM - AFX,587,AFX,true,true,true,Tampa,TAM,TAM,279,PMB,PMB,W 5-4,NYY,STL,22,1,4.1,83,19,-,-,-,-,-,26.3%,15.8%,63.9%,-,-,57.9%,52.6%,22.22%,71.43%,25.3%,20.0%,-,-,80.0%,18.2%,.329,.329,1.14,.014,Cardinals,TAM vs. PMB (2025-05-18)<br>W 5-4,5/18/25
18,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785926,2025-05-11 17:00:00,TAM - AFX,587,AFX,false,false,true,Tampa,TAM,TAM,450,DBT,DBT,L 1-2,NYY,CIN,22,1,6.2,77,23,26.0%,92.9,92.9,18.5,6.05,17.4%,0.0%,67.5%,50.6%,19.5%,82.6%,78.3%,15.38%,25.00%,28.6%,31.8%,25.0%,31.6%,68.2%,16.7%,.176,.124,2.61,.034,Tortugas,TAM vs. DBT (2025-05-11)<br>L 1-2,5/11/25
19,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783128,2025-05-04 13:35:00,SOM - AAX,1956,AAX,false,true,true,Somerset,SOM,SOM,3410,RIC,RIC,W 5-4,NYY,SF,22,1,4.0,67,21,10.4%,91.7,92.4,15.4,6.40,19.0%,0.0%,73.1%,55.2%,11.9%,57.1%,71.4%,18.18%,50.00%,25.4%,17.9%,11.1%,40.0%,82.1%,11.8%,.329,.434,-0.34,-.005,Flying Squirrels,SOM vs. RIC (2025-05-04)<br>W 5-4,5/4/25
20,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785471,2025-04-27 12:00:00,TAM - AFX,587,AFX,true,false,true,Tampa,TAM,TAM,424,DUN,DUN,L 5-8,NYY,TOR,22,1,4.0,62,19,-,-,-,-,-,5.3%,0.0%,74.2%,-,-,52.6%,68.4%,0.00%,11.11%,25.8%,6.3%,-,-,93.8%,23.5%,.437,.437,-1.30,-.021,Blue Jays,TAM vs. DUN (2025-04-27)<br>L 5-8,4/27/25
21,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785540,2025-04-20 12:10:00,TAM - AFX,587,AFX,false,false,true,Tampa,TAM,TAM,507,SLU,SLU,L 2-8,NYY,NYM,22,1,2.2,59,16,47.5%,92.5,93.4,16.9,6.42,12.5%,18.8%,54.2%,32.2%,45.8%,56.3%,58.8%,11.11%,25.00%,16.9%,24.1%,0.0%,35.0%,75.9%,0.0%,.319,.450,0.06,.001,Mets,TAM vs. SLU (2025-04-20)<br>L 2-8,4/20/25
22,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785807,2025-04-13 12:05:00,TAM - AFX,587,AFX,false,true,true,Tampa,TAM,TAM,509,FTM,FTM,W 4-2,NYY,MIN,22,1,4.1,46,15,41.3%,92.5,93.3,17.0,6.39,13.3%,0.0%,65.2%,47.8%,15.2%,73.3%,60.0%,0.00%,50.00%,26.1%,28.0%,17.6%,33.3%,72.0%,16.7%,.198,.176,1.41,.031,Mighty Mussels,TAM vs. FTM (2025-04-13)<br>W 4-2,4/13/25
