Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784055,2025-07-19 19:05:00,HV - AFA,537,AFA,false,false,true,Hudson Valley,HV,HV,427,JS,JS,L 1-4,NYY,PHI,22.8,23,1,4.0,62,16,1.6%,92.8,94.9,20.2,6.76,18.8%,0.0%,67.7%,53.2%,12.9%,75.0%,68.8%,0.00%,30.00%,37.1%,32.1%,27.3%,20.7%,67.9%,8.3%,.255,.221,0.91,.015,BlueClaws,HV vs. JS (2025-07-19)<br>L 1-4,7/19/25
12,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784120,2025-07-13 14:05:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,573,ASH,ASH,W 3-2,NYY,HOU,22.8,23,1,3.2,58,14,12.1%,93.7,94.5,19.9,6.53,57.1%,7.1%,67.2%,39.7%,19.0%,71.4%,61.5%,57.14%,77.78%,43.1%,54.8%,37.5%,42.9%,45.2%,20.0%,.198,.226,1.31,.023,Tourists,HV vs. ASH (2025-07-13)<br>W 3-2,7/13/25
13,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784125,2025-07-08 18:35:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,573,ASH,ASH,W 7-6,NYY,HOU,22.8,23,1,3.2,53,14,26.4%,92.0,93.1,19.7,-,42.9%,21.4%,62.3%,34.0%,20.8%,64.3%,78.6%,62.50%,100.00%,32.1%,33.3%,0.0%,31.4%,66.7%,0.0%,.261,.211,0.33,.006,Tourists,HV vs. ASH (2025-07-08)<br>W 7-6,7/8/25
14,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784127,2025-07-02 12:05:00 (1),HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,453,BRK,BRK,W 5-3 (7),NYY,NYM,22.8,23,1,4.0,49,15,12.2%,92.2,93.6,18.6,6.67,26.7%,6.7%,63.3%,49.0%,22.4%,60.0%,80.0%,33.33%,100.00%,32.7%,21.1%,7.1%,20.0%,78.9%,40.0%,.285,.325,-0.14,-.003,Cyclones,HV vs. BRK (2025-07-02)<br>W 5-3,7/2/25
15,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,783926,2025-06-25 18:35:00,HV - AFA,537,AFA,false,true,true,Hudson Valley,HV,HV,426,WIL,WIL,W 10-3,NYY,WSH,22.8,23,1,1.2,42,9,47.6%,93.8,94.5,19.9,6.86,33.3%,33.3%,57.1%,45.2%,19.0%,66.7%,66.7%,14.29%,60.00%,33.3%,33.3%,11.1%,26.1%,66.7%,33.3%,.307,.369,0.59,.014,Blue Rocks,HV vs. WIL (2025-06-25)<br>W 10-3,6/25/25
16,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784138,2025-05-29 18:05:00,HV - AFA,537,AFA,true,false,true,Hudson Valley,HV,HV,426,WIL,WIL,L 6-7 (10),NYY,WSH,22.8,23,1,4.1,99,25,38.4%,92.9,94.4,21.3,6.85,28.0%,16.0%,60.6%,47.5%,24.2%,52.0%,64.0%,46.15%,60.00%,25.3%,30.0%,22.9%,28.8%,70.0%,28.6%,.371,.430,-0.67,-.007,Blue Rocks,HV vs. WIL (2025-05-29)<br>L 6-7,5/29/25
17,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,783877,2025-05-22 18:30:00,HV - AFA,537,AFA,false,true,true,Hudson Valley,HV,HV,580,WS,WS,W 13-2,NYY,CWS,22.8,23,1,5.0,97,23,50.5%,92.8,94.0,19.0,6.47,30.4%,17.4%,57.7%,51.5%,17.5%,52.2%,43.5%,9.09%,77.78%,33.0%,40.0%,35.3%,12.8%,60.0%,18.2%,.304,.391,0.81,.008,Dash,HV vs. WS (2025-05-22)<br>W 13-2,5/22/25
18,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784144,2025-05-15 12:05:00 (1),HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,488,ABD,ABD,W 4-2 (7),NYY,BAL,22.8,23,1,5.2,97,23,24.7%,90.6,91.6,19.0,6.69,26.1%,17.4%,66.0%,50.5%,12.4%,69.6%,65.2%,20.00%,55.56%,26.8%,20.8%,11.8%,29.2%,79.2%,7.7%,.302,.267,1.01,.010,IronBirds,HV vs. ABD (2025-05-15)<br>W 4-2,5/15/25
19,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,783949,2025-05-08 18:35:00,HV - AFA,537,AFA,false,true,true,Hudson Valley,HV,HV,426,WIL,WIL,W 12-1,NYY,WSH,22.8,23,1,6.2,88,22,31.8%,92.8,94.6,20.2,6.66,40.9%,4.5%,71.6%,50.0%,14.8%,86.4%,72.7%,23.08%,60.00%,37.5%,31.8%,15.4%,40.9%,68.2%,9.1%,.167,.075,2.29,.026,Blue Rocks,HV vs. WIL (2025-05-08)<br>W 12-1,5/8/25
20,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784152,2025-04-30 11:05:00,HV - AFA,537,AFA,true,false,true,Hudson Valley,HV,HV,427,JS,JS,L 2-4,NYY,PHI,22.8,23,1,5.0,85,20,42.4%,92.3,93.3,19.2,6.99,40.0%,10.0%,58.8%,43.5%,18.8%,55.0%,65.0%,30.00%,66.67%,36.5%,29.6%,27.8%,18.8%,70.4%,20.0%,.199,.176,0.74,.009,BlueClaws,HV vs. JS (2025-04-30)<br>L 2-4,4/30/25
21,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784550,2025-04-23 12:05:00 (1),HV - AFA,537,AFA,false,false,true,Hudson Valley,HV,HV,573,ASH,ASH,L 5-9 (7),NYY,HOU,22.8,23,1,3.2,82,23,32.9%,92.3,93.4,18.4,6.62,17.4%,26.1%,53.7%,45.1%,13.4%,39.1%,60.9%,8.33%,60.00%,22.0%,16.1%,16.7%,15.6%,83.9%,25.0%,.398,.431,-0.87,-.011,Tourists,HV vs. ASH (2025-04-23)<br>L 5-9,4/23/25
22,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784157,2025-04-16 18:05:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,426,WIL,WIL,W 10-7,NYY,WSH,22.8,23,1,5.0,75,21,28.0%,91.1,92.3,21.6,6.60,42.9%,9.5%,66.7%,57.3%,17.3%,61.9%,57.1%,60.00%,72.73%,36.0%,42.5%,35.5%,28.1%,57.5%,0.0%,.259,.261,1.21,.016,Blue Rocks,HV vs. WIL (2025-04-16)<br>W 10-7,4/16/25
23,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784420,2025-04-09 12:00:00,HV - AFA,537,AFA,false,true,true,Hudson Valley,HV,HV,453,BRK,BRK,W 7-2,NYY,NYM,22.8,23,1,4.2,70,17,24.3%,92.9,94.3,21.2,6.55,52.9%,5.9%,72.9%,54.3%,14.3%,70.6%,58.8%,31.25%,80.00%,41.4%,33.3%,15.0%,40.6%,66.7%,0.0%,.105,.144,2.50,.036,Cyclones,HV vs. BRK (2025-04-09)<br>W 7-2,4/9/25
