Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754374,2024-06-27 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 4-1,TB,ATL,19.8,21,1,6.0,85,24,1.2%,93.8,93.2,13.6,6.34,29.2%,4.2%,68.2%,58.8%,18.8%,66.7%,69.6%,33.33%,60.00%,31.8%,27.9%,19.4%,34.3%,72.1%,6.3%,.263,.261,0.93,.011,GreenJackets,CHS vs. AUG (2024-06-27)<br>W 4-1,6/27/24
12,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754247,2024-06-21 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,481,HC,HC,W 3-0 (8),TB,CLE,19.8,21,1,6.0,80,22,7.5%,93.7,94.6,13.9,6.18,27.3%,0.0%,66.3%,51.2%,11.3%,59.1%,54.5%,28.57%,66.67%,27.5%,27.9%,13.8%,35.9%,72.1%,6.3%,.224,.200,1.26,.016,Hillcats,CHS vs. HC (2024-06-21)<br>W 3-0,6/21/24
13,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754049,2024-06-14 19:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,485,DE,DE,L 2-3,TB,TEX,19.8,21,1,7.0,76,23,15.8%,93.4,95.2,13.5,5.30,39.1%,4.3%,72.4%,46.1%,14.5%,78.3%,77.3%,44.44%,75.00%,40.8%,38.5%,28.0%,34.1%,61.5%,8.3%,.237,.157,1.01,.013,Wood Ducks,CHS vs. DE (2024-06-14)<br>L 2-3,6/14/24
14,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754252,2024-06-08 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,249,WIL,WIL,L 1-2,TB,MIL,19.8,21,1,5.2,92,22,8.7%,93.4,95.0,13.7,6.24,22.7%,0.0%,68.5%,60.9%,14.1%,72.7%,27.3%,18.18%,41.67%,31.5%,26.1%,18.4%,22.2%,73.9%,5.9%,.177,.217,2.74,.030,Mudcats,CHS vs. WIL (2024-06-08)<br>L 1-2,6/8/24
15,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753725,2024-06-02 18:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,521,MB,MB,W 7-4,TB,CHC,19.8,21,1,4.0,75,23,4.0%,93.3,95.1,14.0,6.34,17.4%,8.7%,69.3%,64.0%,14.7%,52.2%,73.9%,16.67%,40.00%,26.7%,27.3%,28.6%,33.3%,72.7%,18.8%,.280,.437,1.81,.024,Pelicans,CHS vs. MB (2024-06-02)<br>W 7-4,6/2/24
16,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753729,2024-05-28 19:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,521,MB,MB,L 4-7,TB,CHC,19.8,21,1,2.0,31,7,3.2%,97.2,95.8,14.1,6.22,14.3%,14.3%,64.5%,64.5%,12.9%,85.7%,28.6%,16.67%,25.00%,16.1%,6.3%,7.1%,18.2%,93.8%,0.0%,.224,.098,0.92,.030,Pelicans,CHS vs. MB (2024-05-28)<br>L 4-7,5/28/24
17,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754265,2024-05-21 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,485,DE,DE,W 6-3,TB,TEX,19.8,21,1,5.0,50,16,10.0%,94.2,94.9,15.6,6.19,18.8%,0.0%,68.0%,62.0%,18.0%,68.8%,50.0%,50.00%,75.00%,32.0%,25.0%,20.0%,21.1%,75.0%,15.4%,.143,.055,1.96,.039,Wood Ducks,CHS vs. DE (2024-05-21)<br>W 6-3,5/21/24
18,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754193,2024-05-14 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-1,TB,KC,19.8,21,1,6.0,83,22,3.6%,95.1,94.8,13.4,6.34,36.4%,0.0%,74.7%,63.9%,15.7%,77.3%,77.3%,23.53%,70.00%,33.7%,30.6%,23.1%,33.3%,69.4%,14.3%,.217,.213,1.88,.023,Fireflies,CHS vs. COL (2024-05-14)<br>W 3-1,5/14/24
19,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754271,2024-05-07 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,436,FBG,FBG,L 4-5 (10),TB,WSH,19.8,21,1,6.0,77,23,1.3%,92.1,95.3,12.9,6.12,30.4%,4.3%,66.2%,55.8%,10.4%,52.2%,56.5%,83.33%,66.67%,32.5%,40.9%,34.4%,35.3%,59.1%,14.3%,.213,.316,2.23,.029,Nationals,CHS vs. FBG (2024-05-07)<br>L 4-5,5/7/24
20,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754400,2024-04-30 11:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 5-9 (7),TB,ATL,19.8,21,1,5.0,85,21,3.5%,93.2,94.5,13.3,6.13,19.0%,9.5%,61.2%,50.6%,11.8%,57.1%,57.1%,12.50%,37.50%,20.0%,16.7%,9.7%,26.2%,83.3%,7.1%,.308,.310,0.25,.003,GreenJackets,CHS vs. AUG (2024-04-30)<br>L 5-9,4/30/24
21,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753875,2024-04-24 11:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 1-2,TB,CWS,19.8,21,1,4.0,71,17,22.5%,93.4,94.7,14.6,5.92,17.6%,17.6%,64.8%,54.9%,16.9%,76.5%,58.8%,18.18%,30.00%,23.9%,12.1%,8.3%,28.1%,87.9%,0.0%,.206,.346,2.21,.031,Cannon Ballers,CHS vs. KAN (2024-04-24)<br>L 1-2,4/24/24
22,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754274,2024-04-17 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-2,TB,KC,19.8,21,1,5.0,63,18,1.6%,91.6,95.2,14.0,6.19,22.2%,11.1%,60.3%,50.8%,7.9%,66.7%,50.0%,12.50%,60.00%,23.8%,25.8%,18.2%,29.0%,74.2%,8.3%,.207,.224,1.91,.030,Fireflies,CHS vs. COL (2024-04-17)<br>W 3-2,4/17/24
23,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754011,2024-04-11 18:35:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 2-0,TB,HOU,19.8,21,1,4.0,65,16,3.1%,93.2,95.1,13.7,6.37,50.0%,12.5%,64.6%,53.1%,18.8%,68.8%,62.5%,60.00%,80.00%,36.9%,35.7%,22.2%,33.3%,64.3%,33.3%,.203,.220,1.41,.022,Woodpeckers,CHS vs. FAY (2024-04-11)<br>W 2-0,4/11/24
