Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788602,2025-06-27 21:45:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,103,LE,LE,L 3-5,SEA,SD,21,1,5.2,85,21,16.5%,89.6,89.6,15.6,6.40,28.6%,9.5%,62.4%,45.9%,25.9%,81.0%,66.7%,15.79%,83.33%,25.9%,27.9%,21.4%,32.6%,72.1%,30.8%,.221,.125,1.54,.018,Storm,MOD vs. LE (2025-06-27)<br>L 3-5,6/27/25
12,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788540,2025-06-20 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,476,SJ,SJ,W 3-2,SEA,SF,21,1,7.1,85,28,45.9%,87.9,89.0,19.9,6.17,21.4%,3.6%,68.2%,48.2%,14.1%,78.6%,75.0%,37.50%,60.00%,29.4%,25.0%,6.7%,31.8%,75.0%,21.1%,.245,.227,1.12,.013,Giants,MOD vs. SJ (2025-06-20)<br>W 3-2,6/20/25
13,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788747,2025-06-13 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 4-2,SEA,COL,21,1,7.0,70,25,38.6%,89.6,90.5,16.6,5.55,16.0%,0.0%,77.1%,57.1%,14.3%,72.0%,72.0%,22.22%,66.67%,28.6%,19.0%,6.7%,40.0%,81.0%,38.1%,.464,.288,-3.01,-.043,Grizzlies,MOD vs. FRE (2025-06-13)<br>W 4-2,6/13/25
14,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788546,2025-06-06 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,103,LE,LE,W 4-1,SEA,SD,21,1,7.0,70,25,47.1%,88.3,89.0,19.0,6.06,24.0%,0.0%,70.0%,61.4%,8.6%,84.0%,68.0%,33.33%,62.50%,30.0%,30.0%,18.8%,29.6%,70.0%,22.2%,.235,.121,1.41,.020,Storm,MOD vs. LE (2025-06-06)<br>W 4-1,6/6/25
15,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788551,2025-05-30 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,526,RC,RC,W 2-1,SEA,LAD,21,1,6.0,74,20,32.4%,89.0,89.5,17.9,5.98,25.0%,0.0%,73.0%,55.4%,17.6%,70.0%,71.4%,18.18%,50.00%,37.8%,18.8%,4.3%,27.3%,81.3%,13.3%,.261,.222,0.50,.007,Quakes,MOD vs. RC (2025-05-30)<br>W 2-1,5/30/25
16,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788685,2025-05-23 21:35:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,401,IE,IE,W 10-3,SEA,LAA,21,1,6.0,69,22,49.3%,90.2,91.0,16.9,5.89,22.7%,4.5%,73.9%,59.4%,8.7%,77.3%,73.9%,33.33%,55.56%,24.6%,17.1%,0.0%,39.3%,82.9%,18.8%,.231,.192,1.56,.023,66ers,MOD vs. IE (2025-05-23)<br>W 10-3,5/23/25
17,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788555,2025-05-16 21:40:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,516,VIS,VIS,L 6-9,SEA,AZ,21,1,3.0,66,18,23.1%,89.1,89.2,17.8,6.03,11.1%,5.6%,63.6%,47.7%,21.5%,50.0%,83.3%,11.76%,40.00%,22.7%,12.9%,8.3%,20.6%,87.1%,14.3%,.470,.492,-2.77,-.042,Rawhide,MOD vs. VIS (2025-05-16)<br>L 6-9,5/16/25
18,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788760,2025-05-09 22:05:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,259,FRE,FRE,L 1-8,SEA,COL,21,1,4.0,77,21,44.2%,89.3,89.8,18.3,5.51,14.3%,14.3%,66.2%,55.8%,10.4%,57.1%,61.9%,33.33%,30.00%,26.0%,24.4%,15.6%,26.5%,75.6%,13.3%,.325,.444,1.11,.014,Grizzlies,MOD vs. FRE (2025-05-09)<br>L 1-8,5/9/25
19,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788566,2025-05-02 21:40:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 1-4,SEA,SF,21,1,6.0,80,27,43.8%,88.6,89.5,19.6,6.23,11.1%,3.7%,75.0%,57.5%,7.5%,70.4%,63.0%,9.09%,33.33%,20.0%,17.0%,10.0%,38.2%,83.0%,13.0%,.308,.325,0.83,.010,Giants,MOD vs. SJ (2025-05-02)<br>L 1-4,5/2/25
20,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788370,2025-04-25 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,524,STK,STK,W 3-2,SEA,ATH,21,1,4.0,78,19,48.7%,89.2,90.2,18.8,6.04,31.6%,21.1%,56.4%,51.3%,11.5%,57.9%,36.8%,50.00%,75.00%,30.8%,37.5%,32.0%,18.4%,62.5%,11.1%,.358,.346,-0.12,-.002,Ports,MOD vs. STK (2025-04-25)<br>W 3-2,4/25/25
21,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788567,2025-04-18 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,401,IE,IE,W 10-8,SEA,LAA,21,1,5.0,66,20,-,-,-,-,-,10.0%,5.0%,59.1%,-,-,60.0%,50.0%,16.67%,0.00%,27.3%,19.2%,-,-,80.8%,-,.257,.257,1.49,.023,66ers,MOD vs. IE (2025-04-18)<br>W 10-8,4/18/25
22,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788637,2025-04-11 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,103,LE,LE,W 13-9,SEA,SD,21,1,2.2,67,18,32.8%,88.8,89.8,17.7,6.06,11.1%,5.6%,67.2%,59.7%,9.0%,38.9%,61.1%,0.00%,28.57%,22.4%,16.7%,13.3%,22.2%,83.3%,6.7%,.286,.579,0.47,.007,Storm,MOD vs. LE (2025-04-11)<br>W 13-9,4/11/25
23,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788573,2025-04-04 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,476,SJ,SJ,W 6-3,SEA,SF,21,1,4.2,75,19,53.3%,89.0,90.1,19.6,6.41,15.8%,10.5%,60.0%,52.0%,16.0%,63.2%,57.9%,11.11%,37.50%,24.0%,22.9%,25.0%,19.4%,77.1%,7.7%,.297,.273,0.60,.008,Giants,MOD vs. SJ (2025-04-04)<br>W 6-3,4/4/25
