Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750287,2024-07-12 19:35:00,MIS - AAX,430,AAX,true,false,true,Mississippi,MIS,MIS,247,BIR,BIR,L 4-7,ATL,CWS,22.3,24,1,4.0,73,20,24.7%,94.6,95.1,12.1,5.63,15.0%,20.0%,61.6%,50.7%,13.7%,65.0%,60.0%,13.33%,50.00%,26.0%,23.5%,4.8%,36.1%,76.5%,23.1%,.376,.358,0.11,.002,Barons,MIS vs. BIR (2024-07-12)<br>L 4-7,7/12/24
12,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750501,2024-07-01 19:35:00,MIS - AAX,430,AAX,false,false,true,Mississippi,MIS,MIS,5015,BLX,BLX,L 5-7,ATL,MIL,22.3,24,1,4.0,91,25,15.4%,94.7,95.1,12.9,5.52,24.0%,16.0%,57.1%,48.4%,12.1%,44.0%,60.0%,25.00%,55.56%,29.7%,21.9%,8.3%,17.0%,78.1%,21.4%,.415,.516,-1.73,-.019,Shuckers,MIS vs. BLX (2024-07-01)<br>L 5-7,7/1/24
13,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750297,2024-06-25 19:35:00,MIS - AAX,430,AAX,true,true,true,Mississippi,MIS,MIS,421,MTG,MTG,W 4-1,ATL,TB,22.3,24,1,6.0,85,22,7.1%,94.7,94.6,10.6,5.62,36.4%,13.6%,56.5%,40.0%,23.5%,54.5%,72.7%,18.18%,87.50%,32.9%,33.3%,6.3%,27.5%,66.7%,10.0%,.270,.207,0.54,.006,Biscuits,MIS vs. MTG (2024-06-25)<br>W 4-1,6/25/24
14,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754577,2024-06-18 19:00:00,ROM - AFA,432,AFA,true,true,true,Rome,ROM,ROM,428,GVL,GVL,W 1-0,ATL,BOS,22.3,24,1,7.0,84,27,13.1%,93.9,94.3,13.3,5.57,25.9%,3.7%,66.7%,51.2%,19.0%,70.4%,77.8%,42.86%,50.00%,40.5%,31.3%,15.0%,29.3%,68.8%,12.5%,.323,.236,-0.58,-.007,Drive,ROM vs. GVL (2024-06-18)<br>W 1-0,6/18/24
15,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,755044,2024-06-11 19:35:00,ROM - AFA,432,AFA,false,false,true,Rome,ROM,ROM,2498,BG,BG,L 2-4,ATL,TB,22.3,24,1,6.2,85,24,32.9%,94.3,94.6,12.3,5.70,25.0%,8.3%,57.6%,49.4%,20.0%,58.3%,50.0%,33.33%,66.67%,27.1%,31.6%,25.0%,14.0%,68.4%,0.0%,.302,.198,-0.12,-.001,Hot Rods,ROM vs. BG (2024-06-11)<br>L 2-4,6/11/24
16,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754578,2024-06-05 12:00:00,ROM - AFA,432,AFA,true,false,true,Rome,ROM,ROM,580,WS,WS,L 2-6,ATL,CWS,22.3,24,1,2.2,51,12,39.2%,94.0,94.4,13.1,5.69,25.0%,0.0%,60.8%,45.1%,13.7%,58.3%,58.3%,0.00%,50.00%,23.5%,24.0%,17.6%,28.6%,76.0%,11.1%,.339,.496,-0.71,-.014,Dash,ROM vs. WS (2024-06-05)<br>L 2-6,6/5/24
17,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754844,2024-05-29 19:05:00,ROM - AFA,432,AFA,false,true,true,Rome,ROM,ROM,428,GVL,GVL,W 10-8,ATL,BOS,22.3,24,1,3.2,85,24,18.8%,93.8,94.3,9.9,5.61,20.8%,12.5%,56.5%,47.1%,21.2%,54.2%,66.7%,20.00%,66.67%,23.5%,24.3%,11.5%,24.4%,75.7%,42.9%,.402,.464,-1.46,-.017,Drive,ROM vs. GVL (2024-05-29)<br>W 10-8,5/29/24
18,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754582,2024-05-23 19:00:00,ROM - AFA,432,AFA,true,true,true,Rome,ROM,ROM,426,WIL,WIL,W 2-1,ATL,WSH,22.3,24,1,7.0,87,25,29.9%,94.2,94.9,12.5,5.56,32.0%,8.0%,60.9%,40.2%,14.9%,80.0%,60.0%,62.50%,63.64%,26.4%,25.0%,4.0%,28.8%,75.0%,0.0%,.231,.134,0.93,.011,Blue Rocks,ROM vs. WIL (2024-05-23)<br>W 2-1,5/23/24
19,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,755121,2024-05-16 12:05:00 (1),ROM - AFA,432,AFA,false,true,true,Rome,ROM,ROM,573,ASH,ASH,W 6-1 (7),ATL,HOU,22.3,24,1,4.2,85,20,5.9%,94.7,93.9,8.1,5.58,20.0%,5.0%,67.1%,56.5%,16.5%,80.0%,57.1%,14.29%,23.08%,32.9%,14.7%,8.0%,24.3%,85.3%,21.4%,.378,.326,-0.91,-.011,Tourists,ROM vs. ASH (2024-05-16)<br>W 6-1,5/16/24
20,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754587,2024-05-10 19:00:00,ROM - AFA,432,AFA,true,false,true,Rome,ROM,ROM,453,BRK,BRK,L 3-6 (10),ATL,NYM,22.3,24,1,5.1,86,25,1.2%,92.6,93.0,5.8,5.57,20.0%,16.0%,55.8%,45.3%,11.6%,68.0%,50.0%,33.33%,50.00%,30.2%,35.3%,23.8%,27.7%,64.7%,13.3%,.306,.280,0.89,.010,Cyclones,ROM vs. BRK (2024-05-10)<br>L 3-6,5/10/24
21,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754592,2024-05-04 17:00:00,ROM - AFA,432,AFA,true,true,true,Rome,ROM,ROM,448,HIC,HIC,W 3-1,ATL,TEX,22.3,24,1,6.0,76,21,0.0%,-,92.7,6.6,5.52,23.8%,4.8%,67.1%,60.5%,13.2%,57.1%,52.4%,20.00%,62.50%,28.9%,27.5%,21.2%,23.3%,72.5%,0.0%,.216,.117,1.93,.025,Crawdads,ROM vs. HIC (2024-05-04)<br>W 3-1,5/4/24
22,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754464,2024-04-28 14:00:00,ROM - AFA,432,AFA,false,false,true,Rome,ROM,ROM,580,WS,WS,L 2-5,ATL,CWS,22.3,24,1,2.2,75,18,0.0%,-,93.1,4.6,4.84,11.1%,27.8%,58.7%,44.6%,14.9%,50.0%,72.2%,14.29%,25.00%,32.0%,28.6%,23.5%,24.4%,71.4%,11.1%,.358,.436,1.06,.014,Dash,ROM vs. WS (2024-04-28)<br>L 2-5,4/28/24
23,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754470,2024-04-23 19:00:00,ROM - AFA,432,AFA,false,false,true,Rome,ROM,ROM,580,WS,WS,L 7-8 (10),ATL,CWS,22.3,24,1,4.0,82,22,0.0%,-,91.6,5.0,4.87,27.3%,27.3%,56.1%,39.5%,22.2%,50.0%,68.2%,16.67%,62.50%,29.3%,29.0%,0.0%,26.5%,71.0%,12.5%,.359,.308,-0.22,-.003,Dash,ROM vs. WS (2024-04-23)<br>L 7-8,4/23/24
24,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,755135,2024-04-16 18:35:00,ROM - AFA,432,AFA,false,false,true,Rome,ROM,ROM,573,ASH,ASH,L 2-4,ATL,HOU,22.3,24,1,3.2,75,20,4.0%,91.5,92.3,9.0,5.57,25.0%,15.0%,62.7%,44.0%,13.3%,55.0%,60.0%,12.50%,50.00%,29.3%,32.4%,22.7%,35.7%,67.6%,9.1%,.412,.374,-0.66,-.009,Tourists,ROM vs. ASH (2024-04-16)<br>L 2-4,4/16/24
25,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754606,2024-04-06 17:00:00,ROM - AFA,432,AFA,true,true,true,Rome,ROM,ROM,448,HIC,HIC,W 4-1,ATL,TEX,22.3,24,1,6.0,70,20,1.4%,90.4,91.7,7.0,5.67,30.0%,0.0%,72.9%,57.1%,21.4%,75.0%,90.0%,20.00%,71.43%,28.6%,24.4%,13.8%,40.0%,75.6%,7.1%,.136,.132,2.28,.033,Crawdads,ROM vs. HIC (2024-04-06)<br>W 4-1,4/6/24
