Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670219,2022-06-26 11:30:00 (1),LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 0-2 (7),DET,MIN,19.9,23,1,1,2.0,20,7,50.0%,93.4,94.0,17.7,6.12,28.6%,0.0%,80.0%,70.0%,10.0%,71.4%,100.0%,100.00%,50.00%,35.0%,30.8%,20.0%,50.0%,69.2%,0.0%,.139,.253,1.07,.053,Mighty Mussels,LAK vs. FTM (2022-06-26)<br>L 0-2,6/26/22
12,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670228,2022-06-17 18:30:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,450,DBT,DBT,L 8-12,DET,CIN,19.9,23,1,1,4.0,76,19,42.1%,92.6,94.5,17.1,6.22,26.3%,15.8%,52.6%,35.5%,28.9%,57.9%,47.4%,23.08%,60.00%,25.0%,34.4%,22.2%,28.6%,65.6%,50.0%,.391,.433,-1.33,-.017,Tortugas,LAK vs. DBT (2022-06-17)<br>L 8-12,6/17/22
13,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670394,2022-06-10 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,424,DUN,DUN,W 7-1,DET,TOR,19.9,23,1,1,5.0,75,22,45.3%,94.8,96.4,18.2,6.19,18.2%,9.1%,58.7%,41.3%,30.7%,63.6%,50.0%,28.57%,57.14%,24.0%,27.8%,4.8%,34.1%,72.2%,6.7%,.207,.290,1.95,.026,Blue Jays,LAK vs. DUN (2022-06-10)<br>W 7-1,6/10/22
14,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670237,2022-06-04 13:05:00 (1),LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 0-3 (7),DET,PIT,19.9,23,1,1,3.0,63,15,63.5%,94.4,96.2,16.8,6.13,20.0%,13.3%,63.5%,39.7%,25.4%,66.7%,66.7%,10.00%,42.86%,23.8%,28.6%,27.3%,34.2%,71.4%,20.0%,.340,.294,0.10,.002,Marauders,LAK vs. BRD (2022-06-04)<br>L 0-3,6/4/22
15,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670027,2022-05-27 18:30:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,587,TAM,TAM,W 10-9 (10),DET,NYY,19.9,23,1,1,3.0,67,15,58.2%,94.5,95.6,17.6,6.10,40.0%,20.0%,55.2%,35.8%,26.9%,46.7%,60.0%,23.08%,80.00%,35.8%,56.7%,50.0%,23.3%,43.3%,25.0%,.435,.431,-0.95,-.014,Tarpons,LAK vs. TAM (2022-05-27)<br>W 10-9,5/27/22
16,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,669370,2022-05-21 13:05:00 (1),LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,479,JUP,JUP,W 3-2 (7),DET,MIA,19.9,23,1,1,4.0,54,16,44.4%,94.0,94.8,16.6,6.08,31.3%,6.3%,64.8%,48.1%,18.5%,75.0%,75.0%,40.00%,83.33%,24.1%,15.4%,6.3%,35.7%,84.6%,10.0%,.188,.307,0.98,.018,Hammerheads,LAK vs. JUP (2022-05-21)<br>W 3-2,5/21/22
17,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670134,2022-05-13 18:10:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,507,SLU,SLU,L 4-7,DET,NYM,19.9,23,1,1,3.0,28,11,53.6%,95.6,96.3,20.5,6.02,18.2%,0.0%,64.3%,39.3%,25.0%,81.8%,72.7%,50.00%,66.67%,28.6%,16.7%,0.0%,41.2%,83.3%,0.0%,.186,.146,0.76,.027,Mets,LAK vs. SLU (2022-05-13)<br>L 4-7,5/13/22
18,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670238,2022-05-07 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,509,FTM,FTM,W 12-7,DET,MIN,19.9,23,1,1,1.1,53,12,34.0%,94.5,96.2,16.5,6.18,16.7%,25.0%,56.6%,41.5%,28.3%,58.3%,75.0%,22.22%,50.00%,34.0%,40.0%,31.3%,12.9%,60.0%,42.9%,.421,.467,-0.99,-.019,Mighty Mussels,LAK vs. FTM (2022-05-07)<br>W 12-7,5/7/22
19,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670043,2022-05-01 11:00:00 (1),LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,587,TAM,TAM,L 2-3 (7),DET,NYY,19.9,23,1,1,3.0,39,12,56.4%,95.8,96.8,16.3,6.08,25.0%,8.3%,59.0%,38.5%,25.6%,58.3%,69.2%,100.00%,75.00%,28.2%,25.0%,12.5%,33.3%,75.0%,37.5%,.361,.409,-0.81,-.021,Tarpons,LAK vs. TAM (2022-05-01)<br>L 2-3,5/1/22
20,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670254,2022-04-23 18:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,279,PMB,PMB,L 3-7,DET,STL,19.9,23,1,1,2.0,23,7,26.1%,95.7,96.3,14.8,6.23,57.1%,0.0%,78.3%,43.5%,8.7%,85.7%,42.9%,100.00%,100.00%,30.4%,35.3%,14.3%,76.9%,64.7%,33.3%,.167,.126,0.76,.033,Cardinals,LAK vs. PMB (2022-04-23)<br>L 3-7,4/23/22
21,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670811,2022-04-17 12:00:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 7-17,DET,PIT,19.9,23,1,1,1.0,20,6,36.8%,95.7,96.0,14.8,6.00,0.0%,16.7%,45.0%,52.6%,10.5%,50.0%,40.0%,0.00%,0.00%,20.0%,16.7%,0.0%,22.2%,83.3%,0.0%,.221,.262,0.31,.015,Marauders,LAK vs. BRD (2022-04-17)<br>L 7-17,4/17/22
