Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786712,2025-06-15 14:30:00 (1),CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 7-4 (7),TB,ATL,19.7,20,1,1,5.0,87,18,48.3%,96.5,98.1,16.6,6.57,33.3%,5.6%,64.4%,48.3%,20.7%,61.1%,50.0%,21.05%,44.44%,25.3%,22.7%,25.0%,35.6%,77.3%,18.2%,.180,.157,1.67,.019,GreenJackets,CHS vs. AUG (2025-06-15)<br>W 7-4,6/15/25
12,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786771,2025-06-07 18:30:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 5-2,TB,MIL,19.7,20,1,1,5.0,86,19,51.2%,96.1,98.0,17.9,6.60,47.4%,10.5%,64.0%,36.0%,12.8%,63.2%,63.2%,42.86%,70.00%,38.4%,46.3%,36.4%,34.5%,53.7%,12.5%,.143,.227,2.60,.030,Mudcats,CHS vs. WIL (2025-06-07)<br>W 5-2,6/7/25
13,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786718,2025-05-31 19:17:00 (2),CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 5-3 (7),TB,CWS,19.7,20,1,1,6.0,87,24,35.6%,96.7,97.6,16.9,6.55,16.7%,16.7%,58.6%,46.0%,11.5%,58.3%,61.5%,28.57%,42.86%,20.7%,21.4%,14.8%,31.9%,78.6%,6.3%,.366,.400,-0.13,-.001,Cannon Ballers,CHS vs. KAN (2025-05-31)<br>W 5-3,5/31/25
14,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786852,2025-05-24 18:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 5-6,TB,ATL,19.7,20,1,1,6.0,84,21,32.1%,96.6,97.4,16.8,6.46,19.0%,9.5%,59.5%,46.4%,13.1%,61.9%,50.0%,10.00%,60.00%,25.0%,17.1%,4.2%,24.4%,82.9%,20.0%,.294,.283,0.22,.003,GreenJackets,CHS vs. AUG (2025-05-24)<br>L 5-6,5/24/25
15,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786714,2025-05-17 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,414,SAL,SAL,L 2-4,TB,BOS,19.7,20,1,1,6.0,76,21,40.8%,96.8,97.9,17.8,6.46,28.6%,4.8%,68.4%,55.3%,11.8%,61.9%,66.7%,40.00%,100.00%,27.6%,32.6%,29.4%,35.3%,67.4%,14.3%,.280,.256,0.96,.013,Red Sox,CHS vs. SAL (2025-05-17)<br>L 2-4,5/17/25
16,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786725,2025-05-10 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 10-6,TB,KC,19.7,20,1,1,4.0,76,19,39.5%,97.1,98.0,18.9,6.49,31.6%,15.8%,61.8%,46.1%,13.2%,47.4%,68.4%,29.41%,66.67%,26.3%,20.6%,18.2%,29.3%,79.4%,25.0%,.290,.363,0.38,.005,Fireflies,CHS vs. COL (2025-05-10)<br>W 10-6,5/10/25
17,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786258,2025-05-04 13:00:00 (1),CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,481,HC,HC,W 3-1 (7),TB,CLE,19.7,20,1,1,5.0,66,20,33.3%,96.1,97.0,15.6,6.36,25.0%,0.0%,65.2%,54.5%,18.2%,45.0%,55.0%,60.00%,66.67%,24.2%,22.9%,17.9%,23.3%,77.1%,13.3%,.207,.297,0.93,.014,Hillcats,CHS vs. HC (2025-05-04)<br>W 3-1,5/4/25
18,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786461,2025-04-26 19:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,436,FBG,FBG,L 3-5,TB,WSH,19.7,20,1,1,4.0,52,15,59.6%,95.3,96.6,17.3,6.37,26.7%,0.0%,69.2%,63.5%,5.8%,73.3%,57.1%,60.00%,44.44%,25.0%,25.8%,25.9%,21.1%,74.2%,27.3%,.278,.176,0.38,.007,Nationals,CHS vs. FBG (2025-04-26)<br>L 3-5,4/26/25
19,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786731,2025-04-19 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,448,HIC,HIC,W 3-0,TB,TEX,19.7,20,1,1,3.0,49,12,42.9%,95.9,97.1,16.5,6.54,25.0%,8.3%,59.2%,57.1%,18.4%,75.0%,58.3%,33.33%,50.00%,30.6%,30.0%,25.0%,19.0%,70.0%,28.6%,.245,.222,0.74,.015,Crawdads,CHS vs. HIC (2025-04-19)<br>W 3-0,4/19/25
20,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786737,2025-04-05 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 3-4,TB,CHC,19.7,20,1,1,4.0,64,18,34.4%,95.0,97.8,17.4,-,33.3%,11.1%,62.5%,50.8%,19.0%,61.1%,50.0%,28.57%,75.00%,25.0%,27.3%,24.0%,25.8%,72.7%,11.1%,.241,.244,0.98,.015,Pelicans,CHS vs. MB (2025-04-05)<br>L 3-4,4/5/25
