Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
11,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785379,2025-07-03 19:35:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,554,BEL,BEL,L 5-12,MIL,MIA,22,1,1.2,49,9,28.6%,91.6,91.9,22.5,6.61,11.1%,33.3%,53.1%,40.8%,20.4%,55.6%,33.3%,0.00%,33.33%,28.6%,29.4%,20.0%,24.1%,70.6%,0.0%,.321,.328,0.84,.017,Sky Carp,WIS vs. BEL (2025-07-03)<br>L 5-12,7/3/25
12,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784654,2025-06-27 19:40:00,WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,565,QC,QC,W 7-1,MIL,KC,22,1,5.1,87,22,42.5%,92.3,93.0,21.5,6.79,22.7%,18.2%,62.1%,48.3%,17.2%,68.2%,72.7%,23.53%,50.00%,31.0%,27.0%,20.8%,28.9%,73.0%,15.4%,.361,.303,-0.06,-.001,River Bandits,WIS vs. QC (2025-06-27)<br>W 7-1,6/27/25
13,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784723,2025-06-21 19:05:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,582,WM,WM,L 1-4,MIL,DET,22,1,4.0,84,21,28.6%,92.2,93.1,20.6,6.38,14.3%,14.3%,57.1%,50.6%,19.3%,47.6%,66.7%,20.00%,42.86%,29.8%,30.3%,20.0%,19.5%,69.7%,0.0%,.321,.343,0.89,.011,Whitecaps,WIS vs. WM (2025-06-21)<br>L 1-4,6/21/25
14,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785118,2025-06-15 13:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,456,GL,GL,W 10-4,MIL,LAD,22,1,3.0,61,14,23.0%,92.5,92.8,21.4,6.71,14.3%,21.4%,50.8%,45.9%,11.5%,35.7%,57.1%,14.29%,50.00%,29.5%,35.0%,35.3%,9.1%,65.0%,33.3%,.353,.453,0.05,.001,Loons,WIS vs. GL (2025-06-15)<br>W 10-4,6/15/25
15,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785123,2025-06-10 19:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,456,GL,GL,W 10-3,MIL,LAD,22,1,4.0,84,19,45.2%,92.4,93.4,24.2,6.68,31.6%,31.6%,48.8%,39.3%,21.4%,57.9%,42.1%,41.67%,80.00%,33.3%,43.5%,43.8%,13.7%,56.5%,0.0%,.313,.310,0.08,.001,Loons,WIS vs. GL (2025-06-10)<br>W 10-3,6/10/25
16,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784661,2025-06-04 13:10:00 (1),WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,492,CR,CR,W 8-2 (7),MIL,MIN,22,1,5.2,92,23,43.5%,93.0,94.2,22.5,6.67,43.5%,8.7%,63.0%,50.0%,19.6%,56.5%,54.5%,28.57%,72.73%,38.0%,46.5%,35.7%,32.6%,53.5%,18.2%,.342,.353,-0.32,-.004,Kernels,WIS vs. CR (2025-06-04)<br>W 8-2,6/4/25
17,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784665,2025-05-29 19:40:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,443,PEO,PEO,L 1-10,MIL,STL,22,1,1.2,50,11,54.0%,93.3,94.1,22.6,6.55,9.1%,27.3%,52.0%,40.0%,16.0%,45.5%,27.3%,0.00%,33.33%,24.0%,39.1%,33.3%,26.7%,60.9%,0.0%,.310,.428,1.01,.020,Chiefs,WIS vs. PEO (2025-05-29)<br>L 1-10,5/29/25
18,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784798,2025-05-23 19:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,550,SB,SB,W 2-1,MIL,CHC,22,1,6.0,80,23,38.8%,92.2,92.7,23.8,6.47,30.4%,4.3%,72.5%,55.0%,15.0%,65.2%,69.6%,36.36%,53.85%,40.0%,39.5%,28.6%,41.7%,60.5%,6.7%,.225,.272,2.26,.028,Cubs,WIS vs. SB (2025-05-23)<br>W 2-1,5/23/25
19,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784670,2025-05-17 14:10:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,554,BEL,BEL,L 3-4,MIL,MIA,22,1,4.2,89,22,44.9%,91.9,92.6,22.8,6.67,31.8%,18.2%,59.6%,48.3%,11.2%,59.1%,68.2%,35.71%,71.43%,37.1%,44.4%,36.0%,23.9%,55.6%,20.0%,.323,.295,0.55,.006,Sky Carp,WIS vs. BEL (2025-05-17)<br>L 3-4,5/17/25
20,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784933,2025-05-11 15:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,443,PEO,PEO,W 5-4,MIL,STL,22,1,2.2,57,12,42.1%,92.9,93.8,21.6,6.40,25.0%,25.0%,57.9%,50.9%,21.1%,66.7%,41.7%,30.00%,75.00%,28.1%,34.6%,31.6%,25.0%,65.4%,0.0%,.256,.246,1.35,.024,Chiefs,WIS vs. PEO (2025-05-11)<br>W 5-4,5/11/25
21,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784939,2025-05-06 19:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,443,PEO,PEO,W 14-9,MIL,STL,22,1,5.0,84,24,48.2%,91.6,93.2,21.7,6.25,16.7%,0.0%,65.5%,54.2%,12.0%,45.8%,56.5%,33.33%,44.44%,23.8%,16.7%,9.7%,28.9%,83.3%,10.5%,.261,.325,0.74,.009,Chiefs,WIS vs. PEO (2025-05-06)<br>W 14-9,5/6/25
22,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784681,2025-04-29 19:40:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,582,WM,WM,L 4-7,MIL,DET,22,1,4.0,81,18,46.9%,93.1,93.8,22.8,6.62,38.9%,16.7%,63.0%,50.6%,13.6%,50.0%,52.6%,25.00%,70.00%,37.0%,44.7%,34.6%,30.0%,55.3%,25.0%,.287,.327,1.23,.015,Whitecaps,WIS vs. WM (2025-04-29)<br>L 4-7,4/29/25
23,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785343,2025-04-23 19:35:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,492,CR,CR,L 2-3,MIL,MIN,22,1,5.0,68,18,69.1%,91.5,92.8,21.9,6.45,27.8%,5.6%,60.3%,51.5%,11.8%,66.7%,47.4%,11.11%,66.67%,35.3%,37.0%,27.8%,27.3%,63.0%,25.0%,.257,.206,0.80,.012,Kernels,WIS vs. CR (2025-04-23)<br>L 2-3,4/23/25
24,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784687,2025-04-15 19:40:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,499,LAN,LAN,L 2-6,MIL,ATH,22,1,4.0,76,18,40.8%,92.2,93.1,22.9,6.75,27.8%,16.7%,56.6%,47.4%,9.2%,50.0%,44.4%,37.50%,37.50%,31.6%,38.7%,40.9%,22.5%,61.3%,0.0%,.230,.262,1.70,.022,Lugnuts,WIS vs. LAN (2025-04-15)<br>L 2-6,4/15/25
25,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784886,2025-04-09 19:30:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,565,QC,QC,L 0-1,MIL,KC,22,1,3.2,72,16,40.3%,92.4,93.0,21.8,6.60,25.0%,25.0%,52.8%,48.6%,8.3%,68.8%,43.8%,16.67%,80.00%,30.6%,46.7%,45.8%,16.2%,53.3%,14.3%,.248,.251,1.62,.022,River Bandits,WIS vs. QC (2025-04-09)<br>L 0-1,4/9/25
